sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
25960,26492,Auto,13506.0,146138,46401,42959,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,31269,136165,163395,23973,66134,0
25620,26820,Wyrmwind Thrust,77806.0,146138,46401,42959,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,31269,136165,163395,23973,66134,77806
5000,28500,Chaotic Spring (dot),6137.0,146138,46401,49096,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,31269,136165,163395,23973,66134,77806
27500,28880,Spiral Blow,37218.0,146138,46401,49096,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,66134,77806
28760,29292,Auto,10412.0,156550,46401,49096,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,66134,77806
30000,30450,Chaotic Spring,42182.0,156550,88583,49096,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,66134,77806
30000,31500,Chaotic Spring (dot),5579.0,156550,88583,54675,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,66134,77806
31560,32092,Auto,10412.0,166962,88583,54675,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,66134,77806
32500,33120,Wheeling Thrust,42182.0,166962,88583,54675,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,108316,77806
30000,34500,Chaotic Spring (dot),5579.0,166962,88583,60254,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,108316,77806
34360,34892,Auto,9619.0,176581,88583,60254,97256,215762,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,108316,77806
35000,35620,Drakesbane,52741.0,176581,88583,60254,97256,268503,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,108316,77806
30000,37500,Chaotic Spring (dot),5579.0,176581,88583,65833,97256,268503,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,108316,77806
37160,37692,Auto,9619.0,186200,88583,65833,97256,268503,66134,44206,126286,77804,66134,73912,140049,0,118824,106986,68487,136165,163395,23973,108316,77806
