sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
84501,88500,Combust III (dot),70,1.0,2250,2030,8910,400,860,620
87701,88771,Fall Malefic,270,1.0,2250,2030,9180,400,860,620
90511,91043,Auto,90,1.0,2340,2030,9180,400,860,620
90011,91081,Fall Malefic,270,1.0,2340,2030,9450,400,860,620
84501,91500,Combust III (dot),70,1.0,2340,2100,9450,400,860,620
92321,93391,Fall Malefic,270,1.0,2340,2100,9720,400,860,620
93711,94243,Auto,90,1.0,2430,2100,9720,400,860,620
84501,94500,Combust III (dot),70,1.0,2430,2170,9720,400,860,620
94631,95701,Fall Malefic,270,1.0,2430,2170,9990,400,860,620
84501,97500,Combust III (dot),70,1.0,2430,2240,9990,400,860,620
97441,97973,Auto,90,1.0,2520,2240,9990,400,860,620
96941,98011,Fall Malefic,270,1.0,2520,2240,10260,400,860,620
99251,100321,Fall Malefic,270,1.0,2520,2240,10530,400,860,620
84501,100500,Combust III (dot),70,1.0,2520,2310,10530,400,860,620
100641,101173,Auto,90,1.0,2610,2310,10530,400,860,620
101561,102631,Fall Malefic,270,1.0,2610,2310,10800,400,860,620
84501,103500,Combust III (dot),70,1.0,2610,2380,10800,400,860,620
104371,104903,Auto,90,1.0,2700,2380,10800,400,860,620
103871,104941,Fall Malefic,270,1.0,2700,2380,11070,400,860,620
84501,106500,Combust III (dot),70,1.0,2700,2450,11070,400,860,620
106181,107251,Fall Malefic,270,1.0,2700,2450,11340,400,860,620
107571,108103,Auto,90,1.0,2790,2450,11340,400,860,620
84501,109500,Combust III (dot),70,1.0,2790,2520,11340,400,860,620
108491,109561,Fall Malefic,270,1.0,2790,2520,11610,400,860,620
111301,111833,Auto,90,1.0,2880,2520,11610,400,860,620
110801,111871,Fall Malefic,270,1.0,2880,2520,11880,400,860,620
84501,112500,Combust III (dot),70,1.0,2880,2590,11880,400,860,620
113111,114181,Fall Malefic,270,1.0,2880,2590,12150,400,860,620
114501,115033,Auto,90,1.0,2970,2590,12150,400,860,620
114532,115500,Combust III (dot),70,1.0,2970,2660,12150,400,860,620
114532,118500,Combust III (dot),70,1.0,2970,2730,12150,400,860,620
118232,118764,Auto,90,1.0,3060,2730,12150,400,860,620
117732,118802,Fall Malefic,270,1.0,3060,2730,12420,400,860,620
119152,120222,Fall Malefic,270,1.0,3060,2730,12690,400,860,620
114532,121500,Combust III (dot),70,1.0,3060,2800,12690,400,860,620
121432,121964,Auto,90,1.0,3150,2800,12690,400,860,620
121462,122532,Fall Malefic,270,1.0,3150,2800,12960,400,860,620
114532,124500,Combust III (dot),70,1.0,3150,2870,12960,400,860,620
123772,124842,Fall Malefic,270,1.0,3150,2870,13230,400,860,620
124632,125164,Auto,90,1.0,3240,2870,13230,400,860,620
126082,127152,Fall Malefic,270,1.0,3240,2870,13500,400,860,620
114532,127500,Combust III (dot),70,1.0,3240,2940,13500,400,860,620
127322,127942,Lord of Crowns,400,1.0,3240,2940,13500,800,860,620
127832,128364,Auto,90,1.0,3330,2940,13500,800,860,620
129091,129091,Stellar Explosion (pet),310,1.0,3330,2940,13500,800,860,930
128392,129462,Fall Malefic,270,1.0,3330,2940,13770,800,860,930
114532,130500,Combust III (dot),70,1.0,3330,3010,13770,800,860,930
131032,131564,Auto,90,1.0,3420,3010,13770,800,860,930
130702,131772,Fall Malefic,270,1.0,3420,3010,14040,800,860,930
131322,133062,Oracle,860,1.0,3420,3010,14040,800,1720,930
114532,133500,Combust III (dot),70,1.0,3420,3080,14040,800,1720,930
133012,134082,Fall Malefic,270,1.0,3420,3080,14310,800,1720,930
134232,134764,Auto,90,1.0,3510,3080,14310,800,1720,930
114532,136500,Combust III (dot),70,1.0,3510,3150,14310,800,1720,930
136212,137282,Fall Malefic,270,1.0,3510,3150,14580,800,1720,930
137432,137964,Auto,90,1.0,3600,3150,14580,800,1720,930
114532,139500,Combust III (dot),70,1.0,3600,3220,14580,800,1720,930
138522,139592,Fall Malefic,270,1.0,3600,3220,14850,800,1720,930
141332,141864,Auto,90,1.0,3690,3220,14850,800,1720,930
140832,141902,Fall Malefic,270,1.0,3690,3220,15120,800,1720,930
114532,142500,Combust III (dot),70,1.0,3690,3290,15120,800,1720,930
142252,143322,Fall Malefic,270,1.0,3690,3290,15390,800,1720,930
144532,145064,Auto,90,1.0,3780,3290,15390,800,1720,930
144562,145500,Combust III (dot),70,1.0,3780,3360,15390,800,1720,930
144562,148500,Combust III (dot),70,1.0,3780,3430,15390,800,1720,930
148262,148794,Auto,90,1.0,3870,3430,15390,800,1720,930
147762,148832,Fall Malefic,270,1.0,3870,3430,15660,800,1720,930
150072,151142,Fall Malefic,270,1.0,3870,3430,15930,800,1720,930
144562,151500,Combust III (dot),70,1.0,3870,3500,15930,800,1720,930
151462,151994,Auto,90,1.0,3960,3500,15930,800,1720,930
152382,153452,Fall Malefic,270,1.0,3960,3500,16200,800,1720,930
144562,154500,Combust III (dot),70,1.0,3960,3570,16200,800,1720,930
155192,155724,Auto,90,1.0,4050,3570,16200,800,1720,930
154692,155762,Fall Malefic,270,1.0,4050,3570,16470,800,1720,930
144562,157500,Combust III (dot),70,1.0,4050,3640,16470,800,1720,930
157002,158072,Fall Malefic,270,1.0,4050,3640,16740,800,1720,930
158392,158924,Auto,90,1.0,4140,3640,16740,800,1720,930
159312,160382,Fall Malefic,270,1.0,4140,3640,17010,800,1720,930
144562,160500,Combust III (dot),70,1.0,4140,3710,17010,800,1720,930
162122,162654,Auto,90,1.0,4230,3710,17010,800,1720,930
161622,162692,Fall Malefic,270,1.0,4230,3710,17280,800,1720,930
144562,163500,Combust III (dot),70,1.0,4230,3780,17280,800,1720,930
163932,165002,Fall Malefic,270,1.0,4230,3780,17550,800,1720,930
165322,165854,Auto,90,1.0,4320,3780,17550,800,1720,930
144562,166500,Combust III (dot),70,1.0,4320,3850,17550,800,1720,930
166242,167312,Fall Malefic,270,1.0,4320,3850,17820,800,1720,930
144562,169500,Combust III (dot),70,1.0,4320,3920,17820,800,1720,930
169052,169584,Auto,90,1.0,4410,3920,17820,800,1720,930
168552,169622,Fall Malefic,270,1.0,4410,3920,18090,800,1720,930
170862,171932,Fall Malefic,270,1.0,4410,3920,18360,800,1720,930
144562,172500,Combust III (dot),70,1.0,4410,3990,18360,800,1720,930
172252,172784,Auto,90,1.0,4500,3990,18360,800,1720,930
173172,174242,Fall Malefic,270,1.0,4500,3990,18630,800,1720,930
174592,175500,Combust III (dot),70,1.0,4500,4060,18630,800,1720,930
175452,175984,Auto,90,1.0,4590,4060,18630,800,1720,930
174592,178500,Combust III (dot),70,1.0,4590,4130,18630,800,1720,930
177792,178862,Fall Malefic,270,1.0,4590,4130,18900,800,1720,930
178652,179184,Auto,90,1.0,4680,4130,18900,800,1720,930
180102,181172,Fall Malefic,270,1.0,4680,4130,19170,800,1720,930
174592,181500,Combust III (dot),70,1.0,4680,4200,19170,800,1720,930
182912,183444,Auto,90,1.0,4770,4200,19170,800,1720,930
182412,183482,Fall Malefic,270,1.0,4770,4200,19440,800,1720,930
174592,184500,Combust III (dot),70,1.0,4770,4270,19440,800,1720,930
184722,185792,Fall Malefic,270,1.0,4770,4270,19710,800,1720,930
186112,186644,Auto,90,1.0,4860,4270,19710,800,1720,930
174592,187500,Combust III (dot),70,1.0,4860,4340,19710,800,1720,930
187032,188102,Fall Malefic,270,1.0,4860,4340,19980,800,1720,930
189152,189152,Stellar Explosion (pet),310,1.0,4860,4340,19980,800,1720,1240
189843,190375,Auto,90,1.0,4950,4340,19980,800,1720,1240
189343,190413,Fall Malefic,270,1.0,4950,4340,20250,800,1720,1240
174592,190500,Combust III (dot),70,1.0,4950,4410,20250,800,1720,1240
191653,192723,Fall Malefic,270,1.0,4950,4410,20520,800,1720,1240
174592,193500,Combust III (dot),70,1.0,4950,4480,20520,800,1720,1240
193043,193575,Auto,90,1.0,5040,4480,20520,800,1720,1240
193963,195033,Fall Malefic,270,1.0,5040,4480,20790,800,1720,1240
174592,196500,Combust III (dot),70,1.0,5040,4550,20790,800,1720,1240
196773,197305,Auto,90,1.0,5130,4550,20790,800,1720,1240
196273,197343,Fall Malefic,270,1.0,5130,4550,21060,800,1720,1240
174592,199500,Combust III (dot),70,1.0,5130,4620,21060,800,1720,1240
198583,199653,Fall Malefic,270,1.0,5130,4620,21330,800,1720,1240
199973,200505,Auto,90,1.0,5220,4620,21330,800,1720,1240
200893,201963,Fall Malefic,270,1.0,5220,4620,21600,800,1720,1240
174592,202500,Combust III (dot),70,1.0,5220,4690,21600,800,1720,1240
203703,204235,Auto,90,1.0,5310,4690,21600,800,1720,1240
203203,204273,Fall Malefic,270,1.0,5310,4690,21870,800,1720,1240
204623,205500,Combust III (dot),70,1.0,5310,4760,21870,800,1720,1240
206903,207435,Auto,90,1.0,5400,4760,21870,800,1720,1240
204623,208500,Combust III (dot),70,1.0,5400,4830,21870,800,1720,1240
207823,208893,Fall Malefic,270,1.0,5400,4830,22140,800,1720,1240
210633,211165,Auto,90,1.0,5490,4830,22140,800,1720,1240
210133,211203,Fall Malefic,270,1.0,5490,4830,22410,800,1720,1240
204623,211500,Combust III (dot),70,1.0,5490,4900,22410,800,1720,1240
212443,213513,Fall Malefic,270,1.0,5490,4900,22680,800,1720,1240
213833,214365,Auto,90,1.0,5580,4900,22680,800,1720,1240
204623,214500,Combust III (dot),70,1.0,5580,4970,22680,800,1720,1240
214753,215823,Fall Malefic,270,1.0,5580,4970,22950,800,1720,1240
204623,217500,Combust III (dot),70,1.0,5580,5040,22950,800,1720,1240
217563,218095,Auto,90,1.0,5670,5040,22950,800,1720,1240
217063,218133,Fall Malefic,270,1.0,5670,5040,23220,800,1720,1240
219373,220443,Fall Malefic,270,1.0,5670,5040,23490,800,1720,1240
204623,220500,Combust III (dot),70,1.0,5670,5110,23490,800,1720,1240
220763,221295,Auto,90,1.0,5760,5110,23490,800,1720,1240
221683,222753,Fall Malefic,270,1.0,5760,5110,23760,800,1720,1240
204623,223500,Combust III (dot),70,1.0,5760,5180,23760,800,1720,1240
224493,225025,Auto,90,1.0,5850,5180,23760,800,1720,1240
223993,225063,Fall Malefic,270,1.0,5850,5180,24030,800,1720,1240
204623,226500,Combust III (dot),70,1.0,5850,5250,24030,800,1720,1240
226303,227373,Fall Malefic,270,1.0,5850,5250,24300,800,1720,1240
227693,228225,Auto,90,1.0,5940,5250,24300,800,1720,1240
204623,229500,Combust III (dot),70,1.0,5940,5320,24300,800,1720,1240
228613,229683,Fall Malefic,270,1.0,5940,5320,24570,800,1720,1240
231423,231955,Auto,90,1.0,6030,5320,24570,800,1720,1240
230923,231993,Fall Malefic,270,1.0,6030,5320,24840,800,1720,1240
204623,232500,Combust III (dot),70,1.0,6030,5390,24840,800,1720,1240
233233,234303,Fall Malefic,270,1.0,6030,5390,25110,800,1720,1240
234623,235155,Auto,90,1.0,6120,5390,25110,800,1720,1240
234653,235500,Combust III (dot),70,1.0,6120,5460,25110,800,1720,1240
234653,238500,Combust III (dot),70,1.0,6120,5530,25110,800,1720,1240
238353,238885,Auto,90,1.0,6210,5530,25110,800,1720,1240
237853,238923,Fall Malefic,270,1.0,6210,5530,25380,800,1720,1240
239273,240343,Fall Malefic,270,1.0,6210,5530,25650,800,1720,1240
234653,241500,Combust III (dot),70,1.0,6210,5600,25650,800,1720,1240
241553,242085,Auto,90,1.0,6300,5600,25650,800,1720,1240
241583,242653,Fall Malefic,270,1.0,6300,5600,25920,800,1720,1240
234653,244500,Combust III (dot),70,1.0,6300,5670,25920,800,1720,1240
243893,244963,Fall Malefic,270,1.0,6300,5670,26190,800,1720,1240
244753,245285,Auto,90,1.0,6390,5670,26190,800,1720,1240
246203,247273,Fall Malefic,270,1.0,6390,5670,26460,800,1720,1240
234653,247500,Combust III (dot),70,1.0,6390,5740,26460,800,1720,1240
247443,248063,Lord of Crowns,400,1.0,6390,5740,26460,1200,1720,1240
247953,248485,Auto,90,1.0,6480,5740,26460,1200,1720,1240
249213,249213,Stellar Explosion (pet),310,1.0,6480,5740,26460,1200,1720,1550
248513,249583,Fall Malefic,270,1.0,6480,5740,26730,1200,1720,1550
234653,250500,Combust III (dot),70,1.0,6480,5810,26730,1200,1720,1550
251153,251685,Auto,90,1.0,6570,5810,26730,1200,1720,1550
250823,251893,Fall Malefic,270,1.0,6570,5810,27000,1200,1720,1550
251443,253183,Oracle,860,1.0,6570,5810,27000,1200,2580,1550
234653,253500,Combust III (dot),70,1.0,6570,5880,27000,1200,2580,1550
253133,254203,Fall Malefic,270,1.0,6570,5880,27270,1200,2580,1550
254353,254885,Auto,90,1.0,6660,5880,27270,1200,2580,1550
234653,256500,Combust III (dot),70,1.0,6660,5950,27270,1200,2580,1550
256333,257403,Fall Malefic,270,1.0,6660,5950,27540,1200,2580,1550
257553,258085,Auto,90,1.0,6750,5950,27540,1200,2580,1550
234653,259500,Combust III (dot),70,1.0,6750,6020,27540,1200,2580,1550
258643,259713,Fall Malefic,270,1.0,6750,6020,27810,1200,2580,1550
261453,261985,Auto,90,1.0,6840,6020,27810,1200,2580,1550
260953,262023,Fall Malefic,270,1.0,6840,6020,28080,1200,2580,1550
234653,262500,Combust III (dot),70,1.0,6840,6090,28080,1200,2580,1550
262374,263444,Fall Malefic,270,1.0,6840,6090,28350,1200,2580,1550
264653,265185,Auto,90,1.0,6930,6090,28350,1200,2580,1550
264684,265500,Combust III (dot),70,1.0,6930,6160,28350,1200,2580,1550
264684,268500,Combust III (dot),70,1.0,6930,6230,28350,1200,2580,1550
268384,268916,Auto,90,1.0,7020,6230,28350,1200,2580,1550
267884,268954,Fall Malefic,270,1.0,7020,6230,28620,1200,2580,1550
270194,271264,Fall Malefic,270,1.0,7020,6230,28890,1200,2580,1550
264684,271500,Combust III (dot),70,1.0,7020,6300,28890,1200,2580,1550
271584,272116,Auto,90,1.0,7110,6300,28890,1200,2580,1550
272504,273574,Fall Malefic,270,1.0,7110,6300,29160,1200,2580,1550
264684,274500,Combust III (dot),70,1.0,7110,6370,29160,1200,2580,1550
275314,275846,Auto,90,1.0,7200,6370,29160,1200,2580,1550
274814,275884,Fall Malefic,270,1.0,7200,6370,29430,1200,2580,1550
264684,277500,Combust III (dot),70,1.0,7200,6440,29430,1200,2580,1550
277124,278194,Fall Malefic,270,1.0,7200,6440,29700,1200,2580,1550
278514,279046,Auto,90,1.0,7290,6440,29700,1200,2580,1550
264684,280500,Combust III (dot),70,1.0,7290,6510,29700,1200,2580,1550
279434,280504,Fall Malefic,270,1.0,7290,6510,29970,1200,2580,1550
282244,282776,Auto,90,1.0,7380,6510,29970,1200,2580,1550
281744,282814,Fall Malefic,270,1.0,7380,6510,30240,1200,2580,1550
264684,283500,Combust III (dot),70,1.0,7380,6580,30240,1200,2580,1550
284054,285124,Fall Malefic,270,1.0,7380,6580,30510,1200,2580,1550
285444,285976,Auto,90,1.0,7470,6580,30510,1200,2580,1550
264684,286500,Combust III (dot),70,1.0,7470,6650,30510,1200,2580,1550
286364,287434,Fall Malefic,270,1.0,7470,6650,30780,1200,2580,1550
264684,289500,Combust III (dot),70,1.0,7470,6720,30780,1200,2580,1550
289174,289706,Auto,90,1.0,7560,6720,30780,1200,2580,1550
288674,289744,Fall Malefic,270,1.0,7560,6720,31050,1200,2580,1550
290984,292054,Fall Malefic,270,1.0,7560,6720,31320,1200,2580,1550
264684,292500,Combust III (dot),70,1.0,7560,6790,31320,1200,2580,1550
292374,292906,Auto,90,1.0,7650,6790,31320,1200,2580,1550
293294,294364,Fall Malefic,270,1.0,7650,6790,31590,1200,2580,1550
294714,295500,Combust III (dot),70,1.0,7650,6860,31590,1200,2580,1550
295574,296106,Auto,90,1.0,7740,6860,31590,1200,2580,1550
294714,298500,Combust III (dot),70,1.0,7740,6930,31590,1200,2580,1550
297914,298984,Fall Malefic,270,1.0,7740,6930,31860,1200,2580,1550
298774,299306,Auto,90,1.0,7830,6930,31860,1200,2580,1550
300224,301294,Fall Malefic,270,1.0,7830,6930,32130,1200,2580,1550
294714,301500,Combust III (dot),70,1.0,7830,7000,32130,1200,2580,1550
303034,303566,Auto,90,1.0,7920,7000,32130,1200,2580,1550
302534,303604,Fall Malefic,270,1.0,7920,7000,32400,1200,2580,1550
294714,304500,Combust III (dot),70,1.0,7920,7070,32400,1200,2580,1550
304844,305914,Fall Malefic,270,1.0,7920,7070,32670,1200,2580,1550
306234,306766,Auto,90,1.0,8010,7070,32670,1200,2580,1550
294714,307500,Combust III (dot),70,1.0,8010,7140,32670,1200,2580,1550
307154,308224,Fall Malefic,270,1.0,8010,7140,32940,1200,2580,1550
309274,309274,Stellar Explosion (pet),310,1.0,8010,7140,32940,1200,2580,1860
309964,310496,Auto,90,1.0,8100,7140,32940,1200,2580,1860
294714,310500,Combust III (dot),70,1.0,8100,7210,32940,1200,2580,1860
309464,310534,Fall Malefic,270,1.0,8100,7210,33210,1200,2580,1860
311774,312844,Fall Malefic,270,1.0,8100,7210,33480,1200,2580,1860
294714,313500,Combust III (dot),70,1.0,8100,7280,33480,1200,2580,1860
313164,313696,Auto,90,1.0,8190,7280,33480,1200,2580,1860
314084,315154,Fall Malefic,270,1.0,8190,7280,33750,1200,2580,1860
294714,316500,Combust III (dot),70,1.0,8190,7350,33750,1200,2580,1860
316894,317426,Auto,90,1.0,8280,7350,33750,1200,2580,1860
316394,317464,Fall Malefic,270,1.0,8280,7350,34020,1200,2580,1860
294714,319500,Combust III (dot),70,1.0,8280,7420,34020,1200,2580,1860
318704,319774,Fall Malefic,270,1.0,8280,7420,34290,1200,2580,1860
320094,320626,Auto,90,1.0,8370,7420,34290,1200,2580,1860
321014,322084,Fall Malefic,270,1.0,8370,7420,34560,1200,2580,1860
294714,322500,Combust III (dot),70,1.0,8370,7490,34560,1200,2580,1860
323824,324356,Auto,90,1.0,8460,7490,34560,1200,2580,1860
323324,324394,Fall Malefic,270,1.0,8460,7490,34830,1200,2580,1860
324744,325500,Combust III (dot),70,1.0,8460,7560,34830,1200,2580,1860
327024,327556,Auto,90,1.0,8550,7560,34830,1200,2580,1860
324744,328500,Combust III (dot),70,1.0,8550,7630,34830,1200,2580,1860
327944,329014,Fall Malefic,270,1.0,8550,7630,35100,1200,2580,1860
330754,331286,Auto,90,1.0,8640,7630,35100,1200,2580,1860
330254,331324,Fall Malefic,270,1.0,8640,7630,35370,1200,2580,1860
324744,331500,Combust III (dot),70,1.0,8640,7700,35370,1200,2580,1860
332564,333634,Fall Malefic,270,1.0,8640,7700,35640,1200,2580,1860
333954,334486,Auto,90,1.0,8730,7700,35640,1200,2580,1860
324744,334500,Combust III (dot),70,1.0,8730,7770,35640,1200,2580,1860
334874,335944,Fall Malefic,270,1.0,8730,7770,35910,1200,2580,1860
324744,337500,Combust III (dot),70,1.0,8730,7840,35910,1200,2580,1860
337684,338216,Auto,90,1.0,8820,7840,35910,1200,2580,1860
337184,338254,Fall Malefic,270,1.0,8820,7840,36180,1200,2580,1860
324744,340500,Combust III (dot),70,1.0,8820,7910,36180,1200,2580,1860
339495,340565,Fall Malefic,270,1.0,8820,7910,36450,1200,2580,1860
340884,341416,Auto,90,1.0,8910,7910,36450,1200,2580,1860
341805,342875,Fall Malefic,270,1.0,8910,7910,36720,1200,2580,1860
324744,343500,Combust III (dot),70,1.0,8910,7980,36720,1200,2580,1860
344615,345147,Auto,90,1.0,9000,7980,36720,1200,2580,1860
344115,345185,Fall Malefic,270,1.0,9000,7980,36990,1200,2580,1860
324744,346500,Combust III (dot),70,1.0,9000,8050,36990,1200,2580,1860
346425,347495,Fall Malefic,270,1.0,9000,8050,37260,1200,2580,1860
347815,348347,Auto,90,1.0,9090,8050,37260,1200,2580,1860
324744,349500,Combust III (dot),70,1.0,9090,8120,37260,1200,2580,1860
348735,349805,Fall Malefic,270,1.0,9090,8120,37530,1200,2580,1860
351545,352077,Auto,90,1.0,9180,8120,37530,1200,2580,1860
351045,352115,Fall Malefic,270,1.0,9180,8120,37800,1200,2580,1860
324744,352500,Combust III (dot),70,1.0,9180,8190,37800,1200,2580,1860
353355,354425,Fall Malefic,270,1.0,9180,8190,38070,1200,2580,1860
354745,355277,Auto,90,1.0,9270,8190,38070,1200,2580,1860
354775,355500,Combust III (dot),70,1.0,9270,8260,38070,1200,2580,1860
354775,358500,Combust III (dot),70,1.0,9270,8330,38070,1200,2580,1860
358475,359007,Auto,90,1.0,9360,8330,38070,1200,2580,1860
357975,359045,Fall Malefic,270,1.0,9360,8330,38340,1200,2580,1860
359395,360465,Fall Malefic,270,1.0,9360,8330,38610,1200,2580,1860
354775,361500,Combust III (dot),70,1.0,9360,8400,38610,1200,2580,1860
361675,362207,Auto,90,1.0,9450,8400,38610,1200,2580,1860
361705,362775,Fall Malefic,270,1.0,9450,8400,38880,1200,2580,1860
354775,364500,Combust III (dot),70,1.0,9450,8470,38880,1200,2580,1860
364015,365085,Fall Malefic,270,1.0,9450,8470,39150,1200,2580,1860
364875,365407,Auto,90,1.0,9540,8470,39150,1200,2580,1860
366325,367395,Fall Malefic,270,1.0,9540,8470,39420,1200,2580,1860
354775,367500,Combust III (dot),70,1.0,9540,8540,39420,1200,2580,1860
367565,368185,Lord of Crowns,400,1.0,9540,8540,39420,1600,2580,1860
368075,368607,Auto,90,1.0,9630,8540,39420,1600,2580,1860
369335,369335,Stellar Explosion (pet),310,1.0,9630,8540,39420,1600,2580,2170
368635,369705,Fall Malefic,270,1.0,9630,8540,39690,1600,2580,2170
354775,370500,Combust III (dot),70,1.0,9630,8610,39690,1600,2580,2170
371275,371807,Auto,90,1.0,9720,8610,39690,1600,2580,2170
370945,372015,Fall Malefic,270,1.0,9720,8610,39960,1600,2580,2170
