sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
1310,4500,Combust III (dot),70,1.0,0,70,0,0,0,0
3620,4690,Fall Malefic,270,1.0,0,70,270,0,0,0
4500,5032,Auto,90,1.0,90,70,270,0,0,0
5960,7030,Fall Malefic,270,1.0,90,70,540,0,0,0
1310,7500,Combust III (dot),70,1.0,90,140,540,0,0,0
7200,7820,Lord of Crowns,400,1.0,90,140,540,400,0,0
8000,8000,Stellar Explosion (pet),310,1.0,90,140,540,400,0,310
7700,8232,Auto,90,1.0,180,140,540,400,0,310
8270,9340,Fall Malefic,270,1.0,180,140,810,400,0,310
1310,10500,Combust III (dot),70,1.0,180,210,810,400,0,310
10900,11432,Auto,90,1.0,270,210,810,400,0,310
10580,11650,Fall Malefic,270,1.0,270,210,1080,400,0,310
11200,12940,Oracle,860,1.0,270,210,1080,400,860,310
1310,13500,Combust III (dot),70,1.0,270,280,1080,400,860,310
12890,13960,Fall Malefic,270,1.0,270,280,1350,400,860,310
14100,14632,Auto,90,1.0,360,280,1350,400,860,310
1310,16500,Combust III (dot),70,1.0,360,350,1350,400,860,310
16090,17160,Fall Malefic,270,1.0,360,350,1620,400,860,310
17300,17832,Auto,90,1.0,450,350,1620,400,860,310
18400,19470,Fall Malefic,270,1.0,450,350,1890,400,860,310
1310,19500,Combust III (dot),70,1.0,450,420,1890,400,860,310
21210,21742,Auto,90,1.0,540,420,1890,400,860,310
20710,21780,Fall Malefic,270,1.0,540,420,2160,400,860,310
1310,22500,Combust III (dot),70,1.0,540,490,2160,400,860,310
23020,24090,Fall Malefic,270,1.0,540,490,2430,400,860,310
24410,24942,Auto,90,1.0,630,490,2430,400,860,310
24440,25500,Combust III (dot),70,1.0,630,560,2430,400,860,310
26750,27820,Fall Malefic,270,1.0,630,560,2700,400,860,310
27610,28142,Auto,90,1.0,720,560,2700,400,860,310
24440,28500,Combust III (dot),70,1.0,720,630,2700,400,860,310
29950,31020,Fall Malefic,270,1.0,720,630,2970,400,860,310
30810,31342,Auto,90,1.0,810,630,2970,400,860,310
24440,31500,Combust III (dot),70,1.0,810,700,2970,400,860,310
32260,33330,Fall Malefic,270,1.0,810,700,3240,400,860,310
24440,34500,Combust III (dot),70,1.0,810,770,3240,400,860,310
35070,35602,Auto,90,1.0,900,770,3240,400,860,310
34570,35640,Fall Malefic,270,1.0,900,770,3510,400,860,310
24440,37500,Combust III (dot),70,1.0,900,840,3510,400,860,310
36880,37950,Fall Malefic,270,1.0,900,840,3780,400,860,310
38270,38802,Auto,90,1.0,990,840,3780,400,860,310
39190,40260,Fall Malefic,270,1.0,990,840,4050,400,860,310
24440,40500,Combust III (dot),70,1.0,990,910,4050,400,860,310
42001,42533,Auto,90,1.0,1080,910,4050,400,860,310
41501,42571,Fall Malefic,270,1.0,1080,910,4320,400,860,310
24440,43500,Combust III (dot),70,1.0,1080,980,4320,400,860,310
43811,44881,Fall Malefic,270,1.0,1080,980,4590,400,860,310
45201,45733,Auto,90,1.0,1170,980,4590,400,860,310
24440,46500,Combust III (dot),70,1.0,1170,1050,4590,400,860,310
46121,47191,Fall Malefic,270,1.0,1170,1050,4860,400,860,310
48931,49463,Auto,90,1.0,1260,1050,4860,400,860,310
24440,49500,Combust III (dot),70,1.0,1260,1120,4860,400,860,310
48431,49501,Fall Malefic,270,1.0,1260,1120,5130,400,860,310
50741,51811,Fall Malefic,270,1.0,1260,1120,5400,400,860,310
24440,52500,Combust III (dot),70,1.0,1260,1190,5400,400,860,310
52131,52663,Auto,90,1.0,1350,1190,5400,400,860,310
53051,54121,Fall Malefic,270,1.0,1350,1190,5670,400,860,310
54471,55500,Combust III (dot),70,1.0,1350,1260,5670,400,860,310
55331,55863,Auto,90,1.0,1440,1260,5670,400,860,310
54471,58500,Combust III (dot),70,1.0,1440,1330,5670,400,860,310
57671,58741,Fall Malefic,270,1.0,1440,1330,5940,400,860,310
58531,59063,Auto,90,1.0,1530,1330,5940,400,860,310
59981,61051,Fall Malefic,270,1.0,1530,1330,6210,400,860,310
54471,61500,Combust III (dot),70,1.0,1530,1400,6210,400,860,310
62791,63323,Auto,90,1.0,1620,1400,6210,400,860,310
62291,63361,Fall Malefic,270,1.0,1620,1400,6480,400,860,310
54471,64500,Combust III (dot),70,1.0,1620,1470,6480,400,860,310
64601,65671,Fall Malefic,270,1.0,1620,1470,6750,400,860,310
65991,66523,Auto,90,1.0,1710,1470,6750,400,860,310
54471,67500,Combust III (dot),70,1.0,1710,1540,6750,400,860,310
66911,67981,Fall Malefic,270,1.0,1710,1540,7020,400,860,310
69031,69031,Stellar Explosion (pet),310,1.0,1710,1540,7020,400,860,620
69721,70253,Auto,90,1.0,1800,1540,7020,400,860,620
69221,70291,Fall Malefic,270,1.0,1800,1540,7290,400,860,620
54471,70500,Combust III (dot),70,1.0,1800,1610,7290,400,860,620
71531,72601,Fall Malefic,270,1.0,1800,1610,7560,400,860,620
72921,73453,Auto,90,1.0,1890,1610,7560,400,860,620
54471,73500,Combust III (dot),70,1.0,1890,1680,7560,400,860,620
73841,74911,Fall Malefic,270,1.0,1890,1680,7830,400,860,620
54471,76500,Combust III (dot),70,1.0,1890,1750,7830,400,860,620
76651,77183,Auto,90,1.0,1980,1750,7830,400,860,620
76151,77221,Fall Malefic,270,1.0,1980,1750,8100,400,860,620
54471,79500,Combust III (dot),70,1.0,1980,1820,8100,400,860,620
78461,79531,Fall Malefic,270,1.0,1980,1820,8370,400,860,620
79851,80383,Auto,90,1.0,2070,1820,8370,400,860,620
80771,81841,Fall Malefic,270,1.0,2070,1820,8640,400,860,620
54471,82500,Combust III (dot),70,1.0,2070,1890,8640,400,860,620
83581,84113,Auto,90,1.0,2160,1890,8640,400,860,620
83081,84151,Fall Malefic,270,1.0,2160,1890,8910,400,860,620
84501,85500,Combust III (dot),70,1.0,2160,1960,8910,400,860,620
86781,87313,Auto,90,1.0,2250,1960,8910,400,860,620
