sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
1310,4500,Combust III (dot),10097.0,0,10097,0,0,0,0
3620,4690,Fall Malefic,38226.0,0,10097,38226,0,0,0
4500,5032,Auto,0.0,0,10097,38226,0,0,0
5960,7030,Fall Malefic,46894.0,0,10097,85120,0,0,0
1310,7500,Combust III (dot),10097.0,0,20194,85120,0,0,0
7200,7820,Lord of Crowns,70941.0,0,20194,85120,70941,0,0
8000,8000,Stellar Explosion (pet),52841.0,0,20194,85120,70941,0,52841
7700,8232,Auto,0.0,0,20194,85120,70941,0,52841
8270,9340,Fall Malefic,47832.0,0,20194,132952,70941,0,52841
1310,10500,Combust III (dot),10097.0,0,30291,132952,70941,0,52841
10900,11432,Auto,0.0,0,30291,132952,70941,0,52841
10580,11650,Fall Malefic,47832.0,0,30291,180784,70941,0,52841
11200,12940,Oracle,152459.0,0,30291,180784,70941,152459,52841
1310,13500,Combust III (dot),10097.0,0,40388,180784,70941,152459,52841
12890,13960,Fall Malefic,47832.0,0,40388,228616,70941,152459,52841
14100,14632,Auto,0.0,0,40388,228616,70941,152459,52841
1310,16500,Combust III (dot),10097.0,0,50485,228616,70941,152459,52841
16090,17160,Fall Malefic,47832.0,0,50485,276448,70941,152459,52841
17300,17832,Auto,0.0,0,50485,276448,70941,152459,52841
18400,19470,Fall Malefic,47832.0,0,50485,324280,70941,152459,52841
1310,19500,Combust III (dot),10097.0,0,60582,324280,70941,152459,52841
21210,21742,Auto,0.0,0,60582,324280,70941,152459,52841
20710,21780,Fall Malefic,47832.0,0,60582,372112,70941,152459,52841
1310,22500,Combust III (dot),10097.0,0,70679,372112,70941,152459,52841
23020,24090,Fall Malefic,47832.0,0,70679,419944,70941,152459,52841
24410,24942,Auto,0.0,0,70679,419944,70941,152459,52841
24440,25500,Combust III (dot),13266.0,0,83945,419944,70941,152459,52841
26750,27820,Fall Malefic,36406.0,0,83945,456350,70941,152459,52841
27610,28142,Auto,0.0,0,83945,456350,70941,152459,52841
24440,28500,Combust III (dot),13266.0,0,97211,456350,70941,152459,52841
29950,31020,Fall Malefic,36406.0,0,97211,492756,70941,152459,52841
30810,31342,Auto,0.0,0,97211,492756,70941,152459,52841
24440,31500,Combust III (dot),13266.0,0,110477,492756,70941,152459,52841
