sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
-600,640,Rainbow Drip,133983.0,0,0,0,0,0,0,0,0,0,0,0,0,0,133983,0,0,0,0,0,0
640,1172,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,133983,0,0,0,0,0,0
700,1320,Pom Muse,117220.0,0,0,0,0,0,0,0,0,0,0,0,0,117220,133983,0,0,0,0,0,0
5100,5632,Auto,0.0,0,0,0,0,0,0,0,0,0,0,0,0,117220,133983,0,0,0,0,0,0
6100,7350,Star Prism,195677.0,0,0,0,0,0,0,0,0,0,0,0,0,117220,133983,0,195677,0,0,0,0
9190,9940,Blizzard in Cyan,155973.0,0,0,155973,0,0,0,0,0,0,0,0,0,117220,133983,0,195677,0,0,0,0
9690,10222,Auto,0.0,0,0,155973,0,0,0,0,0,0,0,0,0,117220,133983,0,195677,0,0,0,0
11660,12460,Stone in Yellow,163301.0,0,0,155973,0,0,0,0,0,0,0,0,0,117220,133983,0,195677,163301,0,0,0
12650,13182,Auto,0.0,0,0,155973,0,0,0,0,0,0,0,0,0,117220,133983,0,195677,163301,0,0,0
14130,14980,Thunder in Magenta,170543.0,0,0,155973,0,0,0,0,0,0,0,0,0,117220,133983,0,195677,163301,170543,0,0
15610,16142,Auto,0.0,0,0,155973,0,0,0,0,0,0,0,0,0,117220,133983,0,195677,163301,170543,0,0
16079,17059,Winged Muse,145156.0,0,0,155973,0,0,0,0,0,0,0,0,0,117220,133983,0,195677,163301,170543,0,145156
15380,17250,Comet in Black,170543.0,0,0,155973,0,170543,0,0,0,0,0,0,0,117220,133983,0,195677,163301,170543,0,145156
17850,19090,Rainbow Drip,181447.0,0,0,155973,0,170543,0,0,0,0,0,0,0,117220,315430,0,195677,163301,170543,0,145156
18570,19102,Auto,0.0,0,0,155973,0,170543,0,0,0,0,0,0,0,117220,315430,0,195677,163301,170543,0,145156
18550,19700,Mog of the Ages,181447.0,0,0,155973,0,170543,0,0,0,0,0,181447,0,117220,315430,0,195677,163301,170543,0,145156
20351,21731,Hammer Stamp,176905.0,0,0,155973,0,170543,0,0,0,176905,0,181447,0,117220,315430,0,195677,163301,170543,0,145156
21530,22062,Auto,0.0,0,0,155973,0,170543,0,0,0,176905,0,181447,0,117220,315430,0,195677,163301,170543,0,145156
22851,24101,Hammer Brush,183289.0,0,0,155973,0,170543,0,0,183289,176905,0,181447,0,117220,315430,0,195677,163301,170543,0,145156
24490,25022,Auto,0.0,0,0,155973,0,170543,0,0,183289,176905,0,181447,0,117220,315430,0,195677,163301,170543,0,145156
25351,27451,Polishing Hammer,180637.0,0,0,155973,0,170543,0,0,183289,176905,0,181447,180637,117220,315430,0,195677,163301,170543,0,145156
27450,27982,Auto,0.0,0,0,155973,0,170543,0,0,183289,176905,0,181447,180637,117220,315430,0,195677,163301,170543,0,145156
