sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,574,17981.284,174.147,18966.488,215.518,130760,14241177,161824
Fall Malefic,300,34007.497,107.876,13587.418,178.815,81000,10202249,134265
Combust III (dot),247,9485.053,23.027,3120.166,45.255,17290,2342808,33980
Oracle,7,116453.143,8.017,1085.651,93.518,6020,815172,70219
Stellar Explosion (pet),13,38587.462,5.367,668.083,42.265,4030,501637,31735
Lord of Crowns,7,54187.286,3.729,505.169,43.515,2800,379311,32674
