sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
355805,356655,Thunder in Magenta,126797.0,787390,0,1524005,333476,1203677,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1187239,903912,1077726,407110
356305,356837,Auto,0.0,787390,0,1524005,333476,1203677,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1187239,903912,1077726,407110
357305,359175,Comet in Black,126797.0,787390,0,1524005,333476,1330474,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1187239,903912,1077726,407110
359265,359797,Auto,0.0,787390,0,1524005,333476,1330474,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1187239,903912,1077726,407110
362405,363155,Blizzard in Cyan,116404.0,787390,0,1640409,333476,1330474,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1187239,903912,1077726,407110
362905,363437,Auto,0.0,787390,0,1640409,333476,1330474,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1187239,903912,1077726,407110
365705,366505,Stone in Yellow,131872.0,787390,0,1640409,333476,1330474,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1319111,903912,1077726,407110
366205,366737,Auto,0.0,787390,0,1640409,333476,1330474,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1319111,903912,1077726,407110
368425,369275,Thunder in Magenta,186128.0,787390,0,1640409,333476,1330474,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1319111,1090040,1077726,407110
369165,369697,Auto,0.0,787390,0,1640409,333476,1330474,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1319111,1090040,1077726,407110
369675,371545,Comet in Black,186128.0,787390,0,1640409,333476,1516602,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1319111,1090040,1077726,407110
372125,372657,Auto,0.0,787390,0,1640409,333476,1516602,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1319111,1090040,1077726,407110
373365,374115,Blizzard in Cyan,170227.0,787390,0,1810636,333476,1516602,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1319111,1090040,1077726,407110
375085,375617,Auto,0.0,787390,0,1810636,333476,1516602,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,598303,1319111,1090040,1077726,407110
374615,375865,Star Prism,217831.0,787390,0,1810636,333476,1516602,254667,728137,1105207,1066727,307996,461294,1134174,333810,649408,402626,816134,1319111,1090040,1077726,407110
376485,377865,Hammer Stamp,194089.0,787390,0,1810636,333476,1516602,254667,728137,1105207,1260816,307996,461294,1134174,333810,649408,402626,816134,1319111,1090040,1077726,407110
377185,378345,Fanged Muse,158422.0,787390,0,1810636,333476,1516602,413089,728137,1105207,1260816,307996,461294,1134174,333810,649408,402626,816134,1319111,1090040,1077726,407110
378045,378577,Auto,0.0,787390,0,1810636,333476,1516602,413089,728137,1105207,1260816,307996,461294,1134174,333810,649408,402626,816134,1319111,1090040,1077726,407110
378985,380855,Comet in Black,186128.0,787390,0,1810636,333476,1702730,413089,728137,1105207,1260816,307996,461294,1134174,333810,649408,402626,816134,1319111,1090040,1077726,407110
381005,381537,Auto,0.0,787390,0,1810636,333476,1702730,413089,728137,1105207,1260816,307996,461294,1134174,333810,649408,402626,816134,1319111,1090040,1077726,407110
381455,382695,Rainbow Drip,198029.0,787390,0,1810636,333476,1702730,413089,728137,1105207,1260816,307996,461294,1134174,333810,847437,402626,816134,1319111,1090040,1077726,407110
382155,383455,Retribution of the Madeen,217831.0,787390,0,1810636,333476,1702730,413089,728137,1105207,1260816,307996,461294,1134174,333810,847437,620457,816134,1319111,1090040,1077726,407110
383965,384497,Auto,0.0,787390,0,1810636,333476,1702730,413089,728137,1105207,1260816,307996,461294,1134174,333810,847437,620457,816134,1319111,1090040,1077726,407110
383955,385205,Hammer Brush,201089.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,307996,461294,1134174,333810,847437,620457,816134,1319111,1090040,1077726,407110
386925,387457,Auto,0.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,307996,461294,1134174,333810,847437,620457,816134,1319111,1090040,1077726,407110
386455,388555,Polishing Hammer,177368.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,307996,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
388955,390295,Holy in White,83477.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,391473,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
389885,390417,Auto,0.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,391473,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
391455,392795,Holy in White,83477.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
