#use_strict_skill_naming = False
#stats = {"job_class":"WHM","det_stat":3340,"crit_stat":3301,"dh_stat":906,"tenacity":420,"speed_stat":958,"version":"7.4","level":100,"wd":158,"main_stat":6819,"healer_or_caster_strength":244}
time,skill_name,job_class,skill_conditional,targets,players_to_buff,overriding_skill_conditional_for_other_players
-2.6,Medica,,,,,
-0.1699569956995699,Dia,,,"Boss0",,
0.4500430043004302,Grade 4 Gemdraught,,,,,
2.2600860086008603,Glare III,,,"Boss0",,
4.69012901290129,Glare III,,,"Boss0",,
6.252185218521854,Presence of Mind,,,,,
7.120172017201723,Glare III,,,"Boss0",,
8.389198919891992,Assize,,,"Boss0",,
9.060266026602664,Afflatus Misery,,,"Boss0",,
11.000360036003606,Glare IV,,,"Boss0",,
12.940454045404545,Glare IV,,,"Boss0",,
14.880548054805486,Glare IV,,,"Boss0",,
15.500548054805487,Lucid Dreaming,,,,,
16.820642064206424,Glare III,,,"Boss0",,
18.76073607360736,Glare III,,,"Boss0",,
20.029762976297633,Thin Air,,,,,
20.700830083008306,Glare III,,,"Boss0",,
21.969856985698573,Thin Air,,,,,
22.640924092409247,Glare III,,,"Boss0",,
25.070967096709673,Dia,,,"Boss0",,
27.501010101010106,Glare III,,,"Boss0",,
29.93105310531054,Afflatus Rapture,,,,,
32.361096109610976,Afflatus Rapture,,,,,
34.791139113911406,Afflatus Rapture,,,,,
37.221182118211836,Afflatus Misery,,,"Boss0",,
39.651225122512265,Glare III,,,"Boss0",,
42.08126812681269,Glare III,,,"Boss0",,
44.51131113111311,Glare III,,,"Boss0",,
46.94135413541354,Glare III,,,"Boss0",,
48.5034103410341,Assize,,,"Boss0",,
49.371397139713956,Glare III,,,"Boss0",,
51.80144014401438,Glare III,,,"Boss0",,
54.2314831483148,Dia,,,"Boss0",,
56.66152615261524,Glare III,,,"Boss0",,
59.09156915691567,Glare III,,,"Boss0",,
61.521612161216105,Glare III,,,"Boss0",,
63.95165516551655,Glare III,,,"Boss0",,
66.38169816981697,Glare III,,,"Boss0",,
68.81174117411742,Glare III,,,"Boss0",,
71.24178417841784,Glare III,,,"Boss0",,
73.67182718271827,Glare III,,,"Boss0",,
76.10187018701872,Glare III,,,"Boss0",,
77.66392639263928,Lucid Dreaming,,,,,
78.53191319131915,Glare III,,,"Boss0",,
80.96195619561958,Glare III,,,"Boss0",,
83.39199919992002,Dia,,,"Boss0",,
85.82204220422047,Glare III,,,"Boss0",,
88.25208520852091,Glare III,,,"Boss0",,
89.81414141414147,Assize,,,"Boss0",,
90.68212821282133,Afflatus Rapture,,,,,
93.11217121712176,Afflatus Rapture,,,,,
95.54221422142219,Afflatus Rapture,,,,,
97.97225722572263,Glare III,,,"Boss0",,
100.40230023002304,Glare III,,,"Boss0",,
102.83234323432347,Glare III,,,"Boss0",,
105.2623862386239,Glare III,,,"Boss0",,
107.69242924292433,Glare III,,,"Boss0",,
110.12247224722478,Glare III,,,"Boss0",,
112.55251525152521,Glare III,,,"Boss0",,
114.98255825582565,Dia,,,"Boss0",,
117.4126012601261,Glare III,,,"Boss0",,
119.84264426442653,Glare III,,,"Boss0",,
122.27268726872697,Glare III,,,"Boss0",,
