sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,550,25851.141,210.097,25221.565,362.952,157845,18948886,272685
Glare III,226,46187.429,105.285,13893.785,226.165,79100,10438359,169917
Dia (dot),246,11539.008,27.832,3778.261,59.156,20910,2838596,44444
Afflatus Misery,13,190297.923,24.225,3292.803,226.969,18200,2473873,170521
Glare IV,21,90413.571,17.889,2527.21,139.064,13440,1898685,104478
Assize,19,53577.895,10.116,1354.963,76.754,7600,1017980,57665
Dia,25,11255.72,2.828,374.543,18.391,2125,281393,13817
