sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
0,760,True Thrust,23719.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23719,0,0
760,1292,Auto,8653.0,8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23719,0,0
2500,3880,Spiral Blow,30938.0,8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30938,0,0,23719,0,0
3560,4092,Auto,9517.0,18170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30938,0,0,23719,0,0
5000,5450,Chaotic Spring,45909.0,18170,45909,0,0,0,0,0,0,0,0,0,0,0,0,0,30938,0,0,23719,0,0
6360,6892,Auto,13729.0,31899,45909,0,0,0,0,0,0,0,0,0,0,0,0,0,30938,0,0,23719,0,0
6240,6910,Geirskogul,37805.0,31899,45909,0,0,0,0,37805,0,0,0,0,0,0,0,0,30938,0,0,23719,0,0
5000,7500,Chaotic Spring (dot),6072.0,31899,45909,6072,0,0,0,37805,0,0,0,0,0,0,0,0,30938,0,0,23719,0,0
7500,8120,Wheeling Thrust,55621.0,31899,45909,6072,0,0,0,37805,0,0,0,0,0,0,0,0,30938,0,0,23719,55621,0
8119,8919,Dragonfire Dive,81795.0,31899,45909,6072,81795,0,0,37805,0,0,0,0,0,0,0,0,30938,0,0,23719,55621,0
9160,9692,Auto,13729.0,45628,45909,6072,81795,0,0,37805,0,0,0,0,0,0,0,0,30938,0,0,23719,55621,0
5000,10500,Chaotic Spring (dot),6072.0,45628,45909,12144,81795,0,0,37805,0,0,0,0,0,0,0,0,30938,0,0,23719,55621,0
10000,10620,Drakesbane,105212.0,45628,45909,12144,81795,105212,0,37805,0,0,0,0,0,0,0,0,30938,0,0,23719,55621,0
10620,11110,High Jump,65436.0,45628,45909,12144,81795,105212,0,37805,0,65436,0,0,0,0,0,0,30938,0,0,23719,55621,0
11420,12180,Nastrond,117786.0,45628,45909,12144,81795,105212,0,37805,0,65436,0,0,117786,0,0,0,30938,0,0,23719,55621,0
11960,12492,Auto,13729.0,59357,45909,12144,81795,105212,0,37805,0,65436,0,0,117786,0,0,0,30938,0,0,23719,55621,0
12500,13120,Raiden Thrust,52347.0,59357,45909,12144,81795,105212,0,37805,0,65436,0,0,117786,0,52347,0,30938,0,0,23719,55621,0
5000,13500,Chaotic Spring (dot),6072.0,59357,45909,18216,81795,105212,0,37805,0,65436,0,0,117786,0,52347,0,30938,0,0,23719,55621,0
13120,14410,Stardiver,137421.0,59357,45909,18216,81795,105212,0,37805,0,65436,0,0,117786,0,52347,0,30938,0,137421,23719,55621,0
14760,15292,Auto,13729.0,73086,45909,18216,81795,105212,0,37805,0,65436,0,0,117786,0,52347,0,30938,0,137421,23719,55621,0
15000,15940,Lance Barrage,55621.0,73086,45909,18216,81795,105212,0,37805,0,65436,55621,0,117786,0,52347,0,30938,0,137421,23719,55621,0
5000,16500,Chaotic Spring (dot),6072.0,73086,45909,24288,81795,105212,0,37805,0,65436,55621,0,117786,0,52347,0,30938,0,137421,23719,55621,0
15620,16600,Starcross,114519.0,73086,45909,24288,81795,105212,0,37805,0,65436,55621,0,117786,0,52347,0,30938,114519,137421,23719,55621,0
17560,18092,Auto,13729.0,86815,45909,24288,81795,105212,0,37805,0,65436,55621,0,117786,0,52347,0,30938,114519,137421,23719,55621,0
17500,18210,Heavens' Thrust,105212.0,86815,45909,24288,81795,105212,0,37805,105212,65436,55621,0,117786,0,52347,0,30938,114519,137421,23719,55621,0
18120,19280,Rise of the Dragon,89978.0,86815,45909,24288,81795,105212,0,37805,105212,65436,55621,0,117786,0,52347,89978,30938,114519,137421,23719,55621,0
5000,19500,Chaotic Spring (dot),6072.0,86815,45909,30360,81795,105212,0,37805,105212,65436,55621,0,117786,0,52347,89978,30938,114519,137421,23719,55621,0
18740,19540,Mirage Dive,62163.0,86815,45909,30360,81795,105212,0,37805,105212,65436,55621,62163,117786,0,52347,89978,30938,114519,137421,23719,55621,0
20000,20620,Fang and Claw,55621.0,86815,45909,30360,81795,105212,55621,37805,105212,65436,55621,62163,117786,0,52347,89978,30938,114519,137421,23719,55621,0
20360,20892,Auto,13729.0,100544,45909,30360,81795,105212,55621,37805,105212,65436,55621,62163,117786,0,52347,89978,30938,114519,137421,23719,55621,0
5000,22500,Chaotic Spring (dot),6072.0,100544,45909,36432,81795,105212,55621,37805,105212,65436,55621,62163,117786,0,52347,89978,30938,114519,137421,23719,55621,0
22500,23120,Drakesbane,75252.0,100544,45909,36432,81795,180464,55621,37805,105212,65436,55621,62163,117786,0,52347,89978,30938,114519,137421,23719,55621,0
