sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,771,25178.752,220.644,25887.347,330.08,165460,19412818,247526
Dosis III,259,50456.896,131.245,17426.865,266.334,98420,13068336,199723
Eukrasian Dosis III (dot),241,12283.241,28.924,3947.562,62.543,21690,2960261,46901
Phlegma III,20,97006.2,18.403,2587.191,142.409,13800,1940124,106792
Psyche,13,95502.462,11.962,1655.606,113.046,8970,1241532,84773
Toxikon II,3,49391.0,1.52,197.591,28.029,1140,148173,21019
Pneuma,1,49391.0,0.507,65.864,16.182,380,49391,12135
Auto,234,21.372,28.084,6.669,0.103,21060,5001,77
