sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Communio,Cross Reaping,Executioner's Gallows,Executioner's Gibbet,Gallows,Gibbet,Gluttony,Harpe,Harvest Moon,Infernal Slice,Lemure's Slice,Perfectio,Plentiful Harvest,Sacrificium,Shadow of Death,Slice,Soul Slice,Unveiled Gallows,Unveiled Gibbet,Void Reaping,Waxing Slice
60144,60724,Waxing Slice,56579.0,219594,270180,314376,108612,95873,70159,146092,68583,30859,0,67895,137528,172198,132459,171931,101544,98958,191403,49788,108065,299640,113158
61445,61977,Auto,10837.0,230431,270180,314376,108612,95873,70159,146092,68583,30859,0,67895,137528,172198,132459,171931,101544,98958,191403,49788,108065,299640,113158
62634,63174,Infernal Slice,67895.0,230431,270180,314376,108612,95873,70159,146092,68583,30859,0,135790,137528,172198,132459,171931,101544,98958,191403,49788,108065,299640,113158
64645,65177,Auto,10837.0,241268,270180,314376,108612,95873,70159,146092,68583,30859,0,135790,137528,172198,132459,171931,101544,98958,191403,49788,108065,299640,113158
65125,66155,Soul Slice,58841.0,241268,270180,314376,108612,95873,70159,146092,68583,30859,0,135790,137528,172198,132459,171931,101544,98958,250244,49788,108065,299640,113158
65745,66815,Gluttony,63367.0,241268,270180,314376,108612,95873,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,98958,250244,49788,108065,299640,113158
67845,68377,Auto,10837.0,252105,270180,314376,108612,95873,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,98958,250244,49788,108065,299640,113158
67615,69755,Executioner's Gallows,92789.0,252105,270180,314376,201401,95873,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,98958,250244,49788,108065,299640,113158
70106,70726,Executioner's Gibbet,92789.0,252105,270180,314376,201401,188662,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,98958,250244,49788,108065,299640,113158
71045,71577,Auto,10837.0,262942,270180,314376,201401,188662,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,98958,250244,49788,108065,299640,113158
72596,73086,Slice,47524.0,262942,270180,314376,201401,188662,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,146482,250244,49788,108065,299640,113158
74245,74777,Auto,10837.0,273779,270180,314376,201401,188662,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,146482,250244,49788,108065,299640,113158
75087,75667,Waxing Slice,56579.0,273779,270180,314376,201401,188662,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,146482,250244,49788,108065,299640,169737
77445,77977,Auto,10837.0,284616,270180,314376,201401,188662,70159,146092,131950,30859,0,135790,137528,172198,132459,171931,101544,146482,250244,49788,108065,299640,169737
77577,78117,Infernal Slice,67895.0,284616,270180,314376,201401,188662,70159,146092,131950,30859,0,203685,137528,172198,132459,171931,101544,146482,250244,49788,108065,299640,169737
80645,81177,Auto,10837.0,295453,270180,314376,201401,188662,70159,146092,131950,30859,0,203685,137528,172198,132459,171931,101544,146482,250244,49788,108065,299640,169737
