sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Blizzard III,Blizzard IV,Despair,Fire III,Fire IV,Flare Star,High Thunder,Paradox,Thunder (dot),Xenoglossy
67612,68282,Paradox,79886.0,0,85786,88774,186426,93826,1573472,422211,69602,319544,234284,154131
68511,69043,Auto,0.0,0,85786,88774,186426,93826,1573472,422211,69602,319544,234284,154131
55802,70500,Thunder (dot),10027.0,0,85786,88774,186426,93826,1573472,422211,69602,319544,244311,154131
69762,71052,Fire III,60051.0,0,85786,88774,186426,153877,1573472,422211,69602,319544,244311,154131
71791,72323,Auto,0.0,0,85786,88774,186426,153877,1573472,422211,69602,319544,244311,154131
55802,73500,Thunder (dot),10027.0,0,85786,88774,186426,153877,1573472,422211,69602,319544,254338,154131
73132,74292,Fire IV,79898.0,0,85786,88774,186426,153877,1653370,422211,69602,319544,254338,154131
75782,76314,Auto,0.0,0,85786,88774,186426,153877,1653370,422211,69602,319544,254338,154131
75282,76442,Fire IV,79898.0,0,85786,88774,186426,153877,1733268,422211,69602,319544,254338,154131
55802,76500,Thunder (dot),10027.0,0,85786,88774,186426,153877,1733268,422211,69602,319544,264365,154131
77432,78592,Fire IV,79898.0,0,85786,88774,186426,153877,1813166,422211,69602,319544,264365,154131
55802,79500,Thunder (dot),10027.0,0,85786,88774,186426,153877,1813166,422211,69602,319544,274392,154131
80082,80614,Auto,0.0,0,85786,88774,186426,153877,1813166,422211,69602,319544,274392,154131
79582,80742,Fire IV,79898.0,0,85786,88774,186426,153877,1893064,422211,69602,319544,274392,154131
55802,82500,Thunder (dot),10027.0,0,85786,88774,186426,153877,1893064,422211,69602,319544,284419,154131
81732,82892,Fire IV,79898.0,0,85786,88774,186426,153877,1972962,422211,69602,319544,284419,154131
84382,84914,Auto,0.0,0,85786,88774,186426,153877,1972962,422211,69602,319544,284419,154131
83882,85042,Fire IV,79898.0,0,85786,88774,186426,153877,2052860,422211,69602,319544,284419,154131
55802,85500,Thunder (dot),10027.0,0,85786,88774,186426,153877,2052860,422211,69602,319544,294446,154131
86462,87222,High Thunder,22191.0,0,85786,88774,186426,153877,2052860,422211,91793,319544,294446,154131
86462,88500,Thunder (dot),10027.0,0,85786,88774,186426,153877,2052860,422211,91793,319544,304473,154131
88182,88802,Flare Star,133166.0,0,85786,88774,186426,153877,2052860,555377,91793,319544,304473,154131
88682,89214,Auto,0.0,0,85786,88774,186426,153877,2052860,555377,91793,319544,304473,154131
89112,89602,Despair,93213.0,0,85786,88774,279639,153877,2052860,555377,91793,319544,304473,154131
86462,91500,Thunder (dot),10027.0,0,85786,88774,279639,153877,2052860,555377,91793,319544,314500,154131
91262,92102,Blizzard III,42893.0,0,128679,88774,279639,153877,2052860,555377,91793,319544,314500,154131
91962,92494,Auto,0.0,0,128679,88774,279639,153877,2052860,555377,91793,319544,314500,154131
86462,94500,Thunder (dot),10027.0,0,128679,88774,279639,153877,2052860,555377,91793,319544,324527,154131
95242,95774,Auto,0.0,0,128679,88774,279639,153877,2052860,555377,91793,319544,324527,154131
94632,95792,Blizzard IV,44387.0,0,128679,133161,279639,153877,2052860,555377,91793,319544,324527,154131
95562,96232,Paradox,79886.0,0,128679,133161,279639,153877,2052860,555377,91793,399430,324527,154131
86462,97500,Thunder (dot),10027.0,0,128679,133161,279639,153877,2052860,555377,91793,399430,334554,154131
97712,98382,Paradox,79886.0,0,128679,133161,279639,153877,2052860,555377,91793,479316,334554,154131
98522,99054,Auto,0.0,0,128679,133161,279639,153877,2052860,555377,91793,479316,334554,154131
86462,100500,Thunder (dot),10027.0,0,128679,133161,279639,153877,2052860,555377,91793,479316,344581,154131
99862,101152,Fire III,60051.0,0,128679,133161,279639,213928,2052860,555377,91793,479316,344581,154131
101802,102334,Auto,0.0,0,128679,133161,279639,213928,2052860,555377,91793,479316,344581,154131
86462,103500,Thunder (dot),10027.0,0,128679,133161,279639,213928,2052860,555377,91793,479316,354608,154131
103232,104392,Fire IV,79898.0,0,128679,133161,279639,213928,2132758,555377,91793,479316,354608,154131
105882,106414,Auto,0.0,0,128679,133161,279639,213928,2132758,555377,91793,479316,354608,154131
86462,106500,Thunder (dot),10027.0,0,128679,133161,279639,213928,2132758,555377,91793,479316,364635,154131
105382,106542,Fire IV,79898.0,0,128679,133161,279639,213928,2212656,555377,91793,479316,364635,154131
107532,108692,Fire IV,79898.0,0,128679,133161,279639,213928,2292554,555377,91793,479316,364635,154131
86462,109500,Thunder (dot),10027.0,0,128679,133161,279639,213928,2292554,555377,91793,479316,374662,154131
110182,110714,Auto,0.0,0,128679,133161,279639,213928,2292554,555377,91793,479316,374662,154131
109682,110842,Fire IV,79898.0,0,128679,133161,279639,213928,2372452,555377,91793,479316,374662,154131
86462,112500,Thunder (dot),10027.0,0,128679,133161,279639,213928,2372452,555377,91793,479316,384689,154131
111832,112992,Fire IV,79898.0,0,128679,133161,279639,213928,2452350,555377,91793,479316,384689,154131
114482,115014,Auto,0.0,0,128679,133161,279639,213928,2452350,555377,91793,479316,384689,154131
113982,115142,Fire IV,79898.0,0,128679,133161,279639,213928,2532248,555377,91793,479316,384689,154131
86462,115500,Thunder (dot),10027.0,0,128679,133161,279639,213928,2532248,555377,91793,479316,394716,154131
114912,115532,Xenoglossy,131676.0,0,128679,133161,279639,213928,2532248,555377,91793,479316,394716,285807
117062,117552,Despair,93213.0,0,128679,133161,372852,213928,2532248,555377,91793,479316,394716,285807
117762,118294,Auto,0.0,0,128679,133161,372852,213928,2532248,555377,91793,479316,394716,285807
120432,121052,Flare Star,133166.0,0,128679,133161,372852,213928,2532248,688543,91793,479316,394716,285807
121042,121574,Auto,0.0,0,128679,133161,372852,213928,2532248,688543,91793,479316,394716,285807
122582,123742,Fire IV,79898.0,0,128679,133161,372852,213928,2612146,688543,91793,479316,394716,285807
123512,124182,Paradox,79886.0,0,128679,133161,372852,213928,2612146,688543,91793,559202,394716,285807
124322,124854,Auto,0.0,0,128679,133161,372852,213928,2612146,688543,91793,559202,394716,285807
126672,127832,Fire IV,86409.0,0,128679,133161,372852,213928,2698555,688543,91793,559202,394716,285807
128863,129623,High Thunder,24000.0,0,128679,133161,372852,213928,2698555,688543,115793,559202,394716,285807
129363,129895,Auto,0.0,0,128679,133161,372852,213928,2698555,688543,115793,559202,394716,285807
