sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
-630,37,Onslaught,150,1.0,0,0,0,0,0,150,0,0,0,0,0,0
37,569,Auto,90,1.0,90,0,0,0,0,150,0,0,0,0,0,0
170,702,Heavy Swing,240,1.0,90,0,240,0,0,150,0,0,0,0,0,0
2670,3293,Maim,340,1.0,90,0,240,0,340,150,0,0,0,0,0,0
3397,3929,Auto,90,1.0,180,0,240,0,340,150,0,0,0,0,0,0
5170,6819,Storm's Eye,500,1.0,180,0,240,0,340,150,0,0,0,500,0,0
6757,7289,Auto,90,1.0,270,0,240,0,340,150,0,0,0,500,0,0
7670,8607,Inner Chaos,700,1.0,270,0,240,700,340,150,0,0,0,500,0,0
8295,8918,Upheaval,420,1.0,270,0,240,700,340,150,0,0,0,500,0,420
8920,9587,Onslaught,150,1.0,270,0,240,700,340,300,0,0,0,500,0,420
10117,10649,Auto,90,1.0,360,0,240,700,340,300,0,0,0,500,0,420
10170,10793,Fell Cleave,580,1.0,360,580,240,700,340,300,0,0,0,500,0,420
10795,11462,Onslaught,150,1.0,360,580,240,700,340,450,0,0,0,500,0,420
12670,13293,Fell Cleave,580,1.0,360,1160,240,700,340,450,0,0,0,500,0,420
13477,14009,Auto,90,1.0,450,1160,240,700,340,450,0,0,0,500,0,420
15170,15793,Fell Cleave,580,1.0,450,1740,240,700,340,450,0,0,0,500,0,420
15795,16945,Primal Wrath,700,1.0,450,1740,240,700,340,450,0,0,700,500,0,420
16837,17369,Auto,90,1.0,540,1740,240,700,340,450,0,0,700,500,0,420
17670,18830,Primal Rend,720,1.0,540,1740,240,700,340,450,720,0,700,500,0,420
20197,20729,Auto,90,1.0,630,1740,240,700,340,450,720,0,700,500,0,420
20170,21230,Primal Ruination,800,1.0,630,1740,240,700,340,450,720,800,700,500,0,420
22670,23607,Inner Chaos,700,1.0,630,1740,240,1400,340,450,720,800,700,500,0,420
23557,24089,Auto,90,1.0,720,1740,240,1400,340,450,720,800,700,500,0,420
25171,25703,Heavy Swing,240,1.0,720,1740,480,1400,340,450,720,800,700,500,0,420
26917,27449,Auto,90,1.0,810,1740,480,1400,340,450,720,800,700,500,0,420
27671,28294,Maim,340,1.0,810,1740,480,1400,680,450,720,800,700,500,0,420
30277,30809,Auto,90,1.0,900,1740,480,1400,680,450,720,800,700,500,0,420
30796,31463,Onslaught,150,1.0,900,1740,480,1400,680,600,720,800,700,500,0,420
30171,31686,Storm's Path,500,1.0,900,1740,480,1400,680,600,720,800,700,500,500,420
32671,33294,Fell Cleave,580,1.0,900,2320,480,1400,680,600,720,800,700,500,500,420
33637,34169,Auto,90,1.0,990,2320,480,1400,680,600,720,800,700,500,500,420
35171,36108,Inner Chaos,700,1.0,990,2320,480,2100,680,600,720,800,700,500,500,420
36997,37529,Auto,90,1.0,1080,2320,480,2100,680,600,720,800,700,500,500,420
37671,38203,Heavy Swing,240,1.0,1080,2320,720,2100,680,600,720,800,700,500,500,420
38296,38919,Upheaval,420,1.0,1080,2320,720,2100,680,600,720,800,700,500,500,840
40171,40794,Maim,340,1.0,1080,2320,720,2100,1020,600,720,800,700,500,500,840
40357,40889,Auto,90,1.0,1170,2320,720,2100,1020,600,720,800,700,500,500,840
43717,44249,Auto,90,1.0,1260,2320,720,2100,1020,600,720,800,700,500,500,840
42671,44320,Storm's Eye,500,1.0,1260,2320,720,2100,1020,600,720,800,700,1000,500,840
45171,45703,Heavy Swing,240,1.0,1260,2320,960,2100,1020,600,720,800,700,1000,500,840
47077,47609,Auto,90,1.0,1350,2320,960,2100,1020,600,720,800,700,1000,500,840
47671,48294,Maim,340,1.0,1350,2320,960,2100,1360,600,720,800,700,1000,500,840
50437,50969,Auto,90,1.0,1440,2320,960,2100,1360,600,720,800,700,1000,500,840
50171,51820,Storm's Eye,500,1.0,1440,2320,960,2100,1360,600,720,800,700,1500,500,840
52671,53203,Heavy Swing,240,1.0,1440,2320,1200,2100,1360,600,720,800,700,1500,500,840
53797,54329,Auto,90,1.0,1530,2320,1200,2100,1360,600,720,800,700,1500,500,840
55171,55794,Maim,340,1.0,1530,2320,1200,2100,1700,600,720,800,700,1500,500,840
57157,57689,Auto,90,1.0,1620,2320,1200,2100,1700,600,720,800,700,1500,500,840
57671,58294,Fell Cleave,580,1.0,1620,2900,1200,2100,1700,600,720,800,700,1500,500,840
60517,61049,Auto,90,1.0,1710,2900,1200,2100,1700,600,720,800,700,1500,500,840
60171,61686,Storm's Path,500,1.0,1710,2900,1200,2100,1700,600,720,800,700,1500,1000,840
62671,63203,Heavy Swing,240,1.0,1710,2900,1440,2100,1700,600,720,800,700,1500,1000,840
63877,64409,Auto,90,1.0,1800,2900,1440,2100,1700,600,720,800,700,1500,1000,840
