sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
33500,34258,Riot Blade,330,1.0,460,1350,760,1000,880,1000,140,150,1000,450,440,700,900,580,300,660,460,540,500
33858,34390,Auto,90,1.0,460,1440,760,1000,880,1000,140,150,1000,450,440,700,900,580,300,660,460,540,500
36000,36578,Royal Authority,460,1.0,460,1440,760,1000,880,1000,140,150,1000,450,440,700,900,580,300,660,920,540,500
36098,36630,Auto,90,1.0,460,1530,760,1000,880,1000,140,150,1000,450,440,700,900,580,300,660,920,540,500
38338,38870,Auto,90,1.0,460,1620,760,1000,880,1000,140,150,1000,450,440,700,900,580,300,660,920,540,500
38500,39123,Fast Blade,220,1.0,460,1620,760,1000,880,1000,140,150,1000,450,660,700,900,580,300,660,920,540,500
39125,40148,Circle of Scorn,140,1.0,460,1620,760,1000,880,1000,280,150,1000,450,660,700,900,580,300,660,920,540,500
39125,40500,Circle of Scorn (dot),30,1.0,460,1620,760,1000,880,1000,280,180,1000,450,660,700,900,580,300,660,920,540,500
40578,41110,Auto,90,1.0,460,1710,760,1000,880,1000,280,180,1000,450,660,700,900,580,300,660,920,540,500
41000,41758,Riot Blade,330,1.0,460,1710,760,1000,880,1000,280,180,1000,450,660,700,900,580,300,990,920,540,500
41625,41982,Expiacion,450,1.0,460,1710,760,1000,880,1000,280,180,1000,900,660,700,900,580,300,990,920,540,500
42818,43350,Auto,90,1.0,460,1800,760,1000,880,1000,280,180,1000,900,660,700,900,580,300,990,920,540,500
39125,43500,Circle of Scorn (dot),30,1.0,460,1800,760,1000,880,1000,280,210,1000,900,660,700,900,580,300,990,920,540,500
43500,44793,Atonement,460,1.0,920,1800,760,1000,880,1000,280,210,1000,900,660,700,900,580,300,990,920,540,500
45058,45590,Auto,90,1.0,920,1890,760,1000,880,1000,280,210,1000,900,660,700,900,580,300,990,920,540,500
39125,46500,Circle of Scorn (dot),30,1.0,920,1890,760,1000,880,1000,280,240,1000,900,660,700,900,580,300,990,920,540,500
46000,47160,Supplication,500,1.0,920,1890,760,1000,880,1000,280,240,1000,900,660,700,900,580,300,990,920,540,1000
47298,47830,Auto,90,1.0,920,1980,760,1000,880,1000,280,240,1000,900,660,700,900,580,300,990,920,540,1000
39125,49500,Circle of Scorn (dot),30,1.0,920,1980,760,1000,880,1000,280,270,1000,900,660,700,900,580,300,990,920,540,1000
48500,49790,Sepulchre,540,1.0,920,1980,760,1000,880,1000,280,270,1000,900,660,700,900,580,300,990,920,1080,1000
49538,50070,Auto,90,1.0,920,2070,760,1000,880,1000,280,270,1000,900,660,700,900,580,300,990,920,1080,1000
51000,51758,Holy Spirit,500,1.0,920,2070,760,1000,880,1000,280,270,1000,900,660,700,1400,580,300,990,920,1080,1000
51778,52310,Auto,90,1.0,920,2160,760,1000,880,1000,280,270,1000,900,660,700,1400,580,300,990,920,1080,1000
39125,52500,Circle of Scorn (dot),30,1.0,920,2160,760,1000,880,1000,280,300,1000,900,660,700,1400,580,300,990,920,1080,1000
53500,54078,Royal Authority,460,1.0,920,2160,760,1000,880,1000,280,300,1000,900,660,700,1400,580,300,990,1380,1080,1000
54018,54550,Auto,90,1.0,920,2250,760,1000,880,1000,280,300,1000,900,660,700,1400,580,300,990,1380,1080,1000
56000,56623,Fast Blade,220,1.0,920,2250,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,990,1380,1080,1000
56258,56790,Auto,90,1.0,920,2340,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,990,1380,1080,1000
58498,59030,Auto,90,1.0,920,2430,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,990,1380,1080,1000
58500,59258,Riot Blade,330,1.0,920,2430,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,1320,1380,1080,1000
60738,61270,Auto,90,1.0,920,2520,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,1320,1380,1080,1000
61000,62293,Atonement,460,1.0,1380,2520,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,1320,1380,1080,1000
62978,63510,Auto,90,1.0,1380,2610,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,1320,1380,1080,1000
63500,64660,Supplication,500,1.0,1380,2610,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,1320,1380,1080,1500
65218,65750,Auto,90,1.0,1380,2700,760,1000,880,1000,280,300,1000,900,880,700,1400,580,300,1320,1380,1080,1500
66000,66758,Holy Spirit,500,1.0,1380,2700,760,1000,880,1000,280,300,1000,900,880,700,1900,580,300,1320,1380,1080,1500
67458,67990,Auto,90,1.0,1380,2790,760,1000,880,1000,280,300,1000,900,880,700,1900,580,300,1320,1380,1080,1500
67250,68540,Imperator,580,1.0,1380,2790,760,1000,880,1000,280,300,1000,900,880,700,1900,1160,300,1320,1380,1080,1500
68500,69034,Goring Blade,700,1.0,1380,2790,760,1000,880,1000,280,300,1000,900,880,1400,1900,1160,300,1320,1380,1080,1500
69125,70148,Circle of Scorn,140,1.0,1380,2790,760,1000,880,1000,420,300,1000,900,880,1400,1900,1160,300,1320,1380,1080,1500
69698,70230,Auto,90,1.0,1380,2880,760,1000,880,1000,420,300,1000,900,880,1400,1900,1160,300,1320,1380,1080,1500
69125,70500,Circle of Scorn (dot),30,1.0,1380,2880,760,1000,880,1000,420,330,1000,900,880,1400,1900,1160,300,1320,1380,1080,1500
71625,71982,Expiacion,450,1.0,1380,2880,760,1000,880,1000,420,330,1000,1350,880,1400,1900,1160,300,1320,1380,1080,1500
71000,72290,Sepulchre,540,1.0,1380,2880,760,1000,880,1000,420,330,1000,1350,880,1400,1900,1160,300,1320,1380,1620,1500
71938,72470,Auto,90,1.0,1380,2970,760,1000,880,1000,420,330,1000,1350,880,1400,1900,1160,300,1320,1380,1620,1500
69125,73500,Circle of Scorn (dot),30,1.0,1380,2970,760,1000,880,1000,420,360,1000,1350,880,1400,1900,1160,300,1320,1380,1620,1500
73500,74123,Confiteor,1000,1.0,1380,2970,760,1000,880,1000,420,360,2000,1350,880,1400,1900,1160,300,1320,1380,1620,1500
74125,74703,Intervene,150,1.0,1380,2970,760,1000,880,1000,420,360,2000,1350,880,1400,1900,1160,450,1320,1380,1620,1500
74178,74710,Auto,90,1.0,1380,3060,760,1000,880,1000,420,360,2000,1350,880,1400,1900,1160,450,1320,1380,1620,1500
69125,76500,Circle of Scorn (dot),30,1.0,1380,3060,760,1000,880,1000,420,390,2000,1350,880,1400,1900,1160,450,1320,1380,1620,1500
76000,76666,Blade of Faith,760,1.0,1380,3060,1520,1000,880,1000,420,390,2000,1350,880,1400,1900,1160,450,1320,1380,1620,1500
76418,76950,Auto,90,1.0,1380,3150,1520,1000,880,1000,420,390,2000,1350,880,1400,1900,1160,450,1320,1380,1620,1500
76625,77203,Intervene,150,1.0,1380,3150,1520,1000,880,1000,420,390,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
78658,79190,Auto,90,1.0,1380,3240,1520,1000,880,1000,420,390,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
78500,79391,Blade of Truth,880,1.0,1380,3240,1520,1000,1760,1000,420,390,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
69125,79500,Circle of Scorn (dot),30,1.0,1380,3240,1520,1000,1760,1000,420,420,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
80898,81430,Auto,90,1.0,1380,3330,1520,1000,1760,1000,420,420,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
81000,81891,Blade of Valor,1000,1.0,1380,3330,1520,1000,1760,2000,420,420,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
69125,82500,Circle of Scorn (dot),30,1.0,1380,3330,1520,1000,1760,2000,420,450,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
81625,82785,Blade of Honor,1000,1.0,1380,3330,1520,2000,1760,2000,420,450,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
83138,83670,Auto,90,1.0,1380,3420,1520,2000,1760,2000,420,450,2000,1350,880,1400,1900,1160,600,1320,1380,1620,1500
83500,84078,Royal Authority,460,1.0,1380,3420,1520,2000,1760,2000,420,450,2000,1350,880,1400,1900,1160,600,1320,1840,1620,1500
85378,85910,Auto,90,1.0,1380,3510,1520,2000,1760,2000,420,450,2000,1350,880,1400,1900,1160,600,1320,1840,1620,1500
86000,86758,Holy Spirit,500,1.0,1380,3510,1520,2000,1760,2000,420,450,2000,1350,880,1400,2400,1160,600,1320,1840,1620,1500
87618,88150,Auto,90,1.0,1380,3600,1520,2000,1760,2000,420,450,2000,1350,880,1400,2400,1160,600,1320,1840,1620,1500
88500,89123,Fast Blade,220,1.0,1380,3600,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1320,1840,1620,1500
89858,90390,Auto,90,1.0,1380,3690,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1320,1840,1620,1500
91000,91758,Riot Blade,330,1.0,1380,3690,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1650,1840,1620,1500
92098,92630,Auto,90,1.0,1380,3780,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1650,1840,1620,1500
93500,94793,Atonement,460,1.0,1840,3780,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1650,1840,1620,1500
94338,94870,Auto,90,1.0,1840,3870,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1650,1840,1620,1500
96578,97110,Auto,90,1.0,1840,3960,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1650,1840,1620,1500
96000,97160,Supplication,500,1.0,1840,3960,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1650,1840,1620,2000
98818,99350,Auto,90,1.0,1840,4050,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1650,1840,1620,2000
98500,99790,Sepulchre,540,1.0,1840,4050,1520,2000,1760,2000,420,450,2000,1350,1100,1400,2400,1160,600,1650,1840,2160,2000
99125,100148,Circle of Scorn,140,1.0,1840,4050,1520,2000,1760,2000,560,450,2000,1350,1100,1400,2400,1160,600,1650,1840,2160,2000
99125,100500,Circle of Scorn (dot),30,1.0,1840,4050,1520,2000,1760,2000,560,480,2000,1350,1100,1400,2400,1160,600,1650,1840,2160,2000
101000,101578,Royal Authority,460,1.0,1840,4050,1520,2000,1760,2000,560,480,2000,1350,1100,1400,2400,1160,600,1650,2300,2160,2000
101058,101590,Auto,90,1.0,1840,4140,1520,2000,1760,2000,560,480,2000,1350,1100,1400,2400,1160,600,1650,2300,2160,2000
101625,101982,Expiacion,450,1.0,1840,4140,1520,2000,1760,2000,560,480,2000,1800,1100,1400,2400,1160,600,1650,2300,2160,2000
99125,103500,Circle of Scorn (dot),30,1.0,1840,4140,1520,2000,1760,2000,560,510,2000,1800,1100,1400,2400,1160,600,1650,2300,2160,2000
103298,103830,Auto,90,1.0,1840,4230,1520,2000,1760,2000,560,510,2000,1800,1100,1400,2400,1160,600,1650,2300,2160,2000
103500,104123,Fast Blade,220,1.0,1840,4230,1520,2000,1760,2000,560,510,2000,1800,1320,1400,2400,1160,600,1650,2300,2160,2000
105538,106070,Auto,90,1.0,1840,4320,1520,2000,1760,2000,560,510,2000,1800,1320,1400,2400,1160,600,1650,2300,2160,2000
99125,106500,Circle of Scorn (dot),30,1.0,1840,4320,1520,2000,1760,2000,560,540,2000,1800,1320,1400,2400,1160,600,1650,2300,2160,2000
106000,106758,Riot Blade,330,1.0,1840,4320,1520,2000,1760,2000,560,540,2000,1800,1320,1400,2400,1160,600,1980,2300,2160,2000
107778,108310,Auto,90,1.0,1840,4410,1520,2000,1760,2000,560,540,2000,1800,1320,1400,2400,1160,600,1980,2300,2160,2000
99125,109500,Circle of Scorn (dot),30,1.0,1840,4410,1520,2000,1760,2000,560,570,2000,1800,1320,1400,2400,1160,600,1980,2300,2160,2000
108500,109793,Atonement,460,1.0,2300,4410,1520,2000,1760,2000,560,570,2000,1800,1320,1400,2400,1160,600,1980,2300,2160,2000
110018,110550,Auto,90,1.0,2300,4500,1520,2000,1760,2000,560,570,2000,1800,1320,1400,2400,1160,600,1980,2300,2160,2000
111000,112160,Supplication,500,1.0,2300,4500,1520,2000,1760,2000,560,570,2000,1800,1320,1400,2400,1160,600,1980,2300,2160,2500
99125,112500,Circle of Scorn (dot),30,1.0,2300,4500,1520,2000,1760,2000,560,600,2000,1800,1320,1400,2400,1160,600,1980,2300,2160,2500
112258,112790,Auto,90,1.0,2300,4590,1520,2000,1760,2000,560,600,2000,1800,1320,1400,2400,1160,600,1980,2300,2160,2500
113500,114790,Sepulchre,540,1.0,2300,4590,1520,2000,1760,2000,560,600,2000,1800,1320,1400,2400,1160,600,1980,2300,2700,2500
114498,115030,Auto,90,1.0,2300,4680,1520,2000,1760,2000,560,600,2000,1800,1320,1400,2400,1160,600,1980,2300,2700,2500
116000,116758,Holy Spirit,500,1.0,2300,4680,1520,2000,1760,2000,560,600,2000,1800,1320,1400,2900,1160,600,1980,2300,2700,2500
116738,117270,Auto,90,1.0,2300,4770,1520,2000,1760,2000,560,600,2000,1800,1320,1400,2900,1160,600,1980,2300,2700,2500
118500,119078,Royal Authority,460,1.0,2300,4770,1520,2000,1760,2000,560,600,2000,1800,1320,1400,2900,1160,600,1980,2760,2700,2500
118978,119510,Auto,90,1.0,2300,4860,1520,2000,1760,2000,560,600,2000,1800,1320,1400,2900,1160,600,1980,2760,2700,2500
121000,121623,Fast Blade,220,1.0,2300,4860,1520,2000,1760,2000,560,600,2000,1800,1540,1400,2900,1160,600,1980,2760,2700,2500
121218,121750,Auto,90,1.0,2300,4950,1520,2000,1760,2000,560,600,2000,1800,1540,1400,2900,1160,600,1980,2760,2700,2500
123458,123990,Auto,90,1.0,2300,5040,1520,2000,1760,2000,560,600,2000,1800,1540,1400,2900,1160,600,1980,2760,2700,2500
123500,124258,Riot Blade,330,1.0,2300,5040,1520,2000,1760,2000,560,600,2000,1800,1540,1400,2900,1160,600,2310,2760,2700,2500
125698,126230,Auto,90,1.0,2300,5130,1520,2000,1760,2000,560,600,2000,1800,1540,1400,2900,1160,600,2310,2760,2700,2500
126000,127293,Atonement,460,1.0,2760,5130,1520,2000,1760,2000,560,600,2000,1800,1540,1400,2900,1160,600,2310,2760,2700,2500
127938,128470,Auto,90,1.0,2760,5220,1520,2000,1760,2000,560,600,2000,1800,1540,1400,2900,1160,600,2310,2760,2700,2500
127250,128540,Imperator,580,1.0,2760,5220,1520,2000,1760,2000,560,600,2000,1800,1540,1400,2900,1740,600,2310,2760,2700,2500
128500,129034,Goring Blade,700,1.0,2760,5220,1520,2000,1760,2000,560,600,2000,1800,1540,2100,2900,1740,600,2310,2760,2700,2500
129125,130148,Circle of Scorn,140,1.0,2760,5220,1520,2000,1760,2000,700,600,2000,1800,1540,2100,2900,1740,600,2310,2760,2700,2500
129125,130500,Circle of Scorn (dot),30,1.0,2760,5220,1520,2000,1760,2000,700,630,2000,1800,1540,2100,2900,1740,600,2310,2760,2700,2500
130178,130710,Auto,90,1.0,2760,5310,1520,2000,1760,2000,700,630,2000,1800,1540,2100,2900,1740,600,2310,2760,2700,2500
131625,131982,Expiacion,450,1.0,2760,5310,1520,2000,1760,2000,700,630,2000,2250,1540,2100,2900,1740,600,2310,2760,2700,2500
131000,132160,Supplication,500,1.0,2760,5310,1520,2000,1760,2000,700,630,2000,2250,1540,2100,2900,1740,600,2310,2760,2700,3000
132418,132950,Auto,90,1.0,2760,5400,1520,2000,1760,2000,700,630,2000,2250,1540,2100,2900,1740,600,2310,2760,2700,3000
129125,133500,Circle of Scorn (dot),30,1.0,2760,5400,1520,2000,1760,2000,700,660,2000,2250,1540,2100,2900,1740,600,2310,2760,2700,3000
133500,134123,Confiteor,1000,1.0,2760,5400,1520,2000,1760,2000,700,660,3000,2250,1540,2100,2900,1740,600,2310,2760,2700,3000
134125,134703,Intervene,150,1.0,2760,5400,1520,2000,1760,2000,700,660,3000,2250,1540,2100,2900,1740,750,2310,2760,2700,3000
134658,135190,Auto,90,1.0,2760,5490,1520,2000,1760,2000,700,660,3000,2250,1540,2100,2900,1740,750,2310,2760,2700,3000
129125,136500,Circle of Scorn (dot),30,1.0,2760,5490,1520,2000,1760,2000,700,690,3000,2250,1540,2100,2900,1740,750,2310,2760,2700,3000
136000,136666,Blade of Faith,760,1.0,2760,5490,2280,2000,1760,2000,700,690,3000,2250,1540,2100,2900,1740,750,2310,2760,2700,3000
136625,137203,Intervene,150,1.0,2760,5490,2280,2000,1760,2000,700,690,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
136898,137430,Auto,90,1.0,2760,5580,2280,2000,1760,2000,700,690,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
138500,139391,Blade of Truth,880,1.0,2760,5580,2280,2000,2640,2000,700,690,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
129125,139500,Circle of Scorn (dot),30,1.0,2760,5580,2280,2000,2640,2000,700,720,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
139138,139670,Auto,90,1.0,2760,5670,2280,2000,2640,2000,700,720,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
141000,141891,Blade of Valor,1000,1.0,2760,5670,2280,2000,2640,3000,700,720,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
141378,141910,Auto,90,1.0,2760,5760,2280,2000,2640,3000,700,720,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
129125,142500,Circle of Scorn (dot),30,1.0,2760,5760,2280,2000,2640,3000,700,750,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
141625,142785,Blade of Honor,1000,1.0,2760,5760,2280,3000,2640,3000,700,750,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
143618,144150,Auto,90,1.0,2760,5850,2280,3000,2640,3000,700,750,3000,2250,1540,2100,2900,1740,900,2310,2760,2700,3000
143500,144258,Holy Spirit,500,1.0,2760,5850,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,2760,2700,3000
145858,146390,Auto,90,1.0,2760,5940,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,2760,2700,3000
146000,147290,Sepulchre,540,1.0,2760,5940,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,2760,3240,3000
148098,148630,Auto,90,1.0,2760,6030,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,2760,3240,3000
148500,149078,Royal Authority,460,1.0,2760,6030,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,3220,3240,3000
150338,150870,Auto,90,1.0,2760,6120,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,3220,3240,3000
151000,152293,Atonement,460,1.0,3220,6120,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,3220,3240,3000
152578,153110,Auto,90,1.0,3220,6210,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,3220,3240,3000
153500,154660,Supplication,500,1.0,3220,6210,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,3220,3240,3500
154818,155350,Auto,90,1.0,3220,6300,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,3220,3240,3500
156000,157290,Sepulchre,540,1.0,3220,6300,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,3220,3780,3500
157058,157590,Auto,90,1.0,3220,6390,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3400,1740,900,2310,3220,3780,3500
158500,159258,Holy Spirit,500,1.0,3220,6390,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3900,1740,900,2310,3220,3780,3500
159298,159830,Auto,90,1.0,3220,6480,2280,3000,2640,3000,700,750,3000,2250,1540,2100,3900,1740,900,2310,3220,3780,3500
159125,160148,Circle of Scorn,140,1.0,3220,6480,2280,3000,2640,3000,840,750,3000,2250,1540,2100,3900,1740,900,2310,3220,3780,3500
159125,160500,Circle of Scorn (dot),30,1.0,3220,6480,2280,3000,2640,3000,840,780,3000,2250,1540,2100,3900,1740,900,2310,3220,3780,3500
161000,161623,Fast Blade,220,1.0,3220,6480,2280,3000,2640,3000,840,780,3000,2250,1760,2100,3900,1740,900,2310,3220,3780,3500
161625,161982,Expiacion,450,1.0,3220,6480,2280,3000,2640,3000,840,780,3000,2700,1760,2100,3900,1740,900,2310,3220,3780,3500
161538,162070,Auto,90,1.0,3220,6570,2280,3000,2640,3000,840,780,3000,2700,1760,2100,3900,1740,900,2310,3220,3780,3500
159125,163500,Circle of Scorn (dot),30,1.0,3220,6570,2280,3000,2640,3000,840,810,3000,2700,1760,2100,3900,1740,900,2310,3220,3780,3500
163500,164258,Riot Blade,330,1.0,3220,6570,2280,3000,2640,3000,840,810,3000,2700,1760,2100,3900,1740,900,2640,3220,3780,3500
163778,164310,Auto,90,1.0,3220,6660,2280,3000,2640,3000,840,810,3000,2700,1760,2100,3900,1740,900,2640,3220,3780,3500
159125,166500,Circle of Scorn (dot),30,1.0,3220,6660,2280,3000,2640,3000,840,840,3000,2700,1760,2100,3900,1740,900,2640,3220,3780,3500
166018,166550,Auto,90,1.0,3220,6750,2280,3000,2640,3000,840,840,3000,2700,1760,2100,3900,1740,900,2640,3220,3780,3500
166000,166578,Royal Authority,460,1.0,3220,6750,2280,3000,2640,3000,840,840,3000,2700,1760,2100,3900,1740,900,2640,3680,3780,3500
168258,168790,Auto,90,1.0,3220,6840,2280,3000,2640,3000,840,840,3000,2700,1760,2100,3900,1740,900,2640,3680,3780,3500
168500,169123,Fast Blade,220,1.0,3220,6840,2280,3000,2640,3000,840,840,3000,2700,1980,2100,3900,1740,900,2640,3680,3780,3500
159125,169500,Circle of Scorn (dot),30,1.0,3220,6840,2280,3000,2640,3000,840,870,3000,2700,1980,2100,3900,1740,900,2640,3680,3780,3500
170498,171030,Auto,90,1.0,3220,6930,2280,3000,2640,3000,840,870,3000,2700,1980,2100,3900,1740,900,2640,3680,3780,3500
171000,171758,Riot Blade,330,1.0,3220,6930,2280,3000,2640,3000,840,870,3000,2700,1980,2100,3900,1740,900,2970,3680,3780,3500
159125,172500,Circle of Scorn (dot),30,1.0,3220,6930,2280,3000,2640,3000,840,900,3000,2700,1980,2100,3900,1740,900,2970,3680,3780,3500
172738,173270,Auto,90,1.0,3220,7020,2280,3000,2640,3000,840,900,3000,2700,1980,2100,3900,1740,900,2970,3680,3780,3500
