sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
-500,258,Holy Spirit,400,1.0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0
258,790,Auto,90,1.0,0,90,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0
1000,1623,Fast Blade,220,1.0,0,90,0,0,0,0,0,0,0,0,220,0,400,0,0,0,0,0,0
2498,3030,Auto,90,1.0,0,180,0,0,0,0,0,0,0,0,220,0,400,0,0,0,0,0,0
3500,4258,Riot Blade,330,1.0,0,180,0,0,0,0,0,0,0,0,220,0,400,0,0,330,0,0,0
4738,5270,Auto,90,1.0,0,270,0,0,0,0,0,0,0,0,220,0,400,0,0,330,0,0,0
6000,6578,Royal Authority,460,1.0,0,270,0,0,0,0,0,0,0,0,220,0,400,0,0,330,460,0,0
6978,7510,Auto,90,1.0,0,360,0,0,0,0,0,0,0,0,220,0,400,0,0,330,460,0,0
7250,8540,Imperator,580,1.0,0,360,0,0,0,0,0,0,0,0,220,0,400,580,0,330,460,0,0
8500,9034,Goring Blade,700,1.0,0,360,0,0,0,0,0,0,0,0,220,700,400,580,0,330,460,0,0
9218,9750,Auto,90,1.0,0,450,0,0,0,0,0,0,0,0,220,700,400,580,0,330,460,0,0
9125,10148,Circle of Scorn,140,1.0,0,450,0,0,0,0,140,0,0,0,220,700,400,580,0,330,460,0,0
9125,10500,Circle of Scorn (dot),30,1.0,0,450,0,0,0,0,140,30,0,0,220,700,400,580,0,330,460,0,0
11000,11758,Holy Spirit,500,1.0,0,450,0,0,0,0,140,30,0,0,220,700,900,580,0,330,460,0,0
11625,11982,Expiacion,450,1.0,0,450,0,0,0,0,140,30,0,450,220,700,900,580,0,330,460,0,0
11458,11990,Auto,90,1.0,0,540,0,0,0,0,140,30,0,450,220,700,900,580,0,330,460,0,0
9125,13500,Circle of Scorn (dot),30,1.0,0,540,0,0,0,0,140,60,0,450,220,700,900,580,0,330,460,0,0
13500,14123,Confiteor,1000,1.0,0,540,0,0,0,0,140,60,1000,450,220,700,900,580,0,330,460,0,0
13698,14230,Auto,90,1.0,0,630,0,0,0,0,140,60,1000,450,220,700,900,580,0,330,460,0,0
14125,14703,Intervene,150,1.0,0,630,0,0,0,0,140,60,1000,450,220,700,900,580,150,330,460,0,0
15938,16470,Auto,90,1.0,0,720,0,0,0,0,140,60,1000,450,220,700,900,580,150,330,460,0,0
9125,16500,Circle of Scorn (dot),30,1.0,0,720,0,0,0,0,140,90,1000,450,220,700,900,580,150,330,460,0,0
16000,16666,Blade of Faith,760,1.0,0,720,760,0,0,0,140,90,1000,450,220,700,900,580,150,330,460,0,0
18178,18710,Auto,90,1.0,0,810,760,0,0,0,140,90,1000,450,220,700,900,580,150,330,460,0,0
18500,19391,Blade of Truth,880,1.0,0,810,760,0,880,0,140,90,1000,450,220,700,900,580,150,330,460,0,0
9125,19500,Circle of Scorn (dot),30,1.0,0,810,760,0,880,0,140,120,1000,450,220,700,900,580,150,330,460,0,0
19125,19703,Intervene,150,1.0,0,810,760,0,880,0,140,120,1000,450,220,700,900,580,300,330,460,0,0
20418,20950,Auto,90,1.0,0,900,760,0,880,0,140,120,1000,450,220,700,900,580,300,330,460,0,0
21000,21891,Blade of Valor,1000,1.0,0,900,760,0,880,1000,140,120,1000,450,220,700,900,580,300,330,460,0,0
9125,22500,Circle of Scorn (dot),30,1.0,0,900,760,0,880,1000,140,150,1000,450,220,700,900,580,300,330,460,0,0
21625,22785,Blade of Honor,1000,1.0,0,900,760,1000,880,1000,140,150,1000,450,220,700,900,580,300,330,460,0,0
22658,23190,Auto,90,1.0,0,990,760,1000,880,1000,140,150,1000,450,220,700,900,580,300,330,460,0,0
23500,24793,Atonement,460,1.0,460,990,760,1000,880,1000,140,150,1000,450,220,700,900,580,300,330,460,0,0
24898,25430,Auto,90,1.0,460,1080,760,1000,880,1000,140,150,1000,450,220,700,900,580,300,330,460,0,0
26000,27160,Supplication,500,1.0,460,1080,760,1000,880,1000,140,150,1000,450,220,700,900,580,300,330,460,0,500
27138,27670,Auto,90,1.0,460,1170,760,1000,880,1000,140,150,1000,450,220,700,900,580,300,330,460,0,500
28500,29790,Sepulchre,540,1.0,460,1170,760,1000,880,1000,140,150,1000,450,220,700,900,580,300,330,460,540,500
29378,29910,Auto,90,1.0,460,1260,760,1000,880,1000,140,150,1000,450,220,700,900,580,300,330,460,540,500
31000,31623,Fast Blade,220,1.0,460,1260,760,1000,880,1000,140,150,1000,450,440,700,900,580,300,330,460,540,500
31618,32150,Auto,90,1.0,460,1350,760,1000,880,1000,140,150,1000,450,440,700,900,580,300,330,460,540,500
