sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
54151,55531,Hammer Stamp,130479.0,143433,0,276976,117220,175659,0,132678,188787,312691,0,186890,180637,117220,320873,0,201548,168200,175659,154236,149511
56111,56643,Auto,0.0,143433,0,276976,117220,175659,0,132678,188787,312691,0,186890,180637,117220,320873,0,201548,168200,175659,154236,149511
56651,57901,Hammer Brush,135187.0,143433,0,276976,117220,175659,0,132678,323974,312691,0,186890,180637,117220,320873,0,201548,168200,175659,154236,149511
59071,59603,Auto,0.0,143433,0,276976,117220,175659,0,132678,323974,312691,0,186890,180637,117220,320873,0,201548,168200,175659,154236,149511
59151,61251,Polishing Hammer,139897.0,143433,0,276976,117220,175659,0,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
64651,65183,Auto,0.0,143433,0,276976,117220,175659,0,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
65651,67521,Comet in Black,127189.0,143433,0,276976,117220,302848,0,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
67611,68143,Auto,0.0,143433,0,276976,117220,302848,0,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
71952,72484,Auto,0.0,143433,0,276976,117220,302848,0,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
75952,76484,Auto,0.0,143433,0,276976,117220,302848,0,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
76052,77212,Fanged Muse,108258.0,143433,0,276976,117220,302848,108258,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
79952,80484,Auto,0.0,143433,0,276976,117220,302848,108258,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
82752,83502,Blizzard in Cyan,115966.0,143433,0,392942,117220,302848,108258,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
83252,83784,Auto,0.0,143433,0,392942,117220,302848,108258,132678,323974,312691,0,186890,320534,117220,320873,0,201548,168200,175659,154236,149511
86052,86852,Stone in Yellow,121415.0,143433,0,392942,117220,302848,108258,132678,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,154236,149511
86552,87084,Auto,0.0,143433,0,392942,117220,302848,108258,132678,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,154236,149511
88552,89532,Water in Blue,76854.0,143433,0,392942,117220,302848,108258,132678,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,231090,149511
89512,90044,Auto,0.0,143433,0,392942,117220,302848,108258,132678,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,231090,149511
91052,91892,Fire in Red,66089.0,143433,0,392942,117220,302848,108258,198767,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,231090,149511
92472,93004,Auto,0.0,143433,0,392942,117220,302848,108258,198767,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,231090,149511
93552,94442,Aero in Green,71472.0,214905,0,392942,117220,302848,108258,198767,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,231090,149511
96052,97032,Water in Blue,76854.0,214905,0,392942,117220,302848,108258,198767,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,307944,149511
96552,97084,Auto,0.0,214905,0,392942,117220,302848,108258,198767,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,307944,149511
98552,99392,Fire in Red,66089.0,214905,0,392942,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,307944,149511
99512,100044,Auto,0.0,214905,0,392942,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,307944,149511
101052,101942,Aero in Green,71472.0,286377,0,392942,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,307944,149511
102472,103004,Auto,0.0,286377,0,392942,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,307944,149511
103552,104532,Water in Blue,76854.0,286377,0,392942,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,384798,149511
106852,107602,Blizzard in Cyan,115966.0,286377,0,508908,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,384798,149511
107352,107884,Auto,0.0,286377,0,508908,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,289615,175659,384798,149511
110152,110952,Stone in Yellow,121415.0,286377,0,508908,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,411030,175659,384798,149511
110652,111184,Auto,0.0,286377,0,508908,117220,302848,108258,264856,323974,312691,0,186890,320534,117220,320873,0,201548,411030,175659,384798,149511
111652,113032,Hammer Stamp,130154.0,286377,0,508908,117220,302848,108258,264856,323974,442845,0,186890,320534,117220,320873,0,201548,411030,175659,384798,149511
113612,114144,Auto,0.0,286377,0,508908,117220,302848,108258,264856,323974,442845,0,186890,320534,117220,320873,0,201548,411030,175659,384798,149511
114152,115402,Hammer Brush,134850.0,286377,0,508908,117220,302848,108258,264856,458824,442845,0,186890,320534,117220,320873,0,201548,411030,175659,384798,149511
116572,117104,Auto,0.0,286377,0,508908,117220,302848,108258,264856,458824,442845,0,186890,320534,117220,320873,0,201548,411030,175659,384798,149511
116652,118752,Polishing Hammer,139548.0,286377,0,508908,117220,302848,108258,264856,458824,442845,0,186890,460082,117220,320873,0,201548,411030,175659,384798,149511
122152,122684,Auto,0.0,286377,0,508908,117220,302848,108258,264856,458824,442845,0,186890,460082,117220,320873,0,201548,411030,175659,384798,149511
122253,122873,Pom Muse,108332.0,286377,0,508908,117220,302848,108258,264856,458824,442845,0,186890,460082,225552,320873,0,201548,411030,175659,384798,149511
126153,126685,Auto,0.0,286377,0,508908,117220,302848,108258,264856,458824,442845,0,186890,460082,225552,320873,0,201548,411030,175659,384798,149511
128373,129223,Thunder in Magenta,168703.0,286377,0,508908,117220,302848,108258,264856,458824,442845,0,186890,460082,225552,320873,0,201548,411030,344362,384798,149511
129113,129645,Auto,0.0,286377,0,508908,117220,302848,108258,264856,458824,442845,0,186890,460082,225552,320873,0,201548,411030,344362,384798,149511
129622,131492,Comet in Black,168703.0,286377,0,508908,117220,471551,108258,264856,458824,442845,0,186890,460082,225552,320873,0,201548,411030,344362,384798,149511
131023,132323,Retribution of the Madeen,197441.0,286377,0,508908,117220,471551,108258,264856,458824,442845,0,186890,460082,225552,320873,197441,201548,411030,344362,384798,149511
132073,132605,Auto,0.0,286377,0,508908,117220,471551,108258,264856,458824,442845,0,186890,460082,225552,320873,197441,201548,411030,344362,384798,149511
133313,134063,Blizzard in Cyan,154292.0,286377,0,663200,117220,471551,108258,264856,458824,442845,0,186890,460082,225552,320873,197441,201548,411030,344362,384798,149511
135033,135565,Auto,0.0,286377,0,663200,117220,471551,108258,264856,458824,442845,0,186890,460082,225552,320873,197441,201548,411030,344362,384798,149511
134563,135813,Star Prism,197441.0,286377,0,663200,117220,471551,108258,264856,458824,442845,0,186890,460082,225552,320873,197441,398989,411030,344362,384798,149511
135263,136243,Winged Muse,143593.0,286377,0,663200,117220,471551,108258,264856,458824,442845,0,186890,460082,225552,320873,197441,398989,411030,344362,384798,293104
