sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
27500,28123,Gnashing Fang,38385.0,34787,101174,107055,20067,40125,30619,0,133821,40143,97260,0,29435,23916,127448,120436,107055,66904,42134,45490,80270,74934
28125,28927,Jugular Rip,19191.0,34787,101174,107055,20067,40125,30619,0,133821,40143,97260,0,48626,23916,127448,120436,107055,66904,42134,45490,80270,74934
28893,29425,Auto,7303.0,34787,108477,107055,20067,40125,30619,0,133821,40143,97260,0,48626,23916,127448,120436,107055,66904,42134,45490,80270,74934
30000,30625,Savage Claw,43619.0,34787,108477,107055,20067,40125,30619,0,133821,40143,97260,0,48626,23916,127448,120436,107055,110523,42134,45490,80270,74934
30625,31382,Abdomen Tear,22680.0,57467,108477,107055,20067,40125,30619,0,133821,40143,97260,0,48626,23916,127448,120436,107055,110523,42134,45490,80270,74934
31693,32225,Auto,7303.0,57467,115780,107055,20067,40125,30619,0,133821,40143,97260,0,48626,23916,127448,120436,107055,110523,42134,45490,80270,74934
32500,33662,Wicked Talon,48854.0,57467,115780,107055,20067,40125,30619,0,133821,40143,97260,0,48626,23916,127448,120436,107055,110523,42134,45490,80270,123788
33125,34106,Eye Gouge,26172.0,57467,115780,107055,20067,40125,30619,0,133821,66315,97260,0,48626,23916,127448,120436,107055,110523,42134,45490,80270,123788
34493,35025,Auto,6746.0,57467,122526,107055,20067,40125,30619,0,133821,66315,97260,0,48626,23916,127448,120436,107055,110523,42134,45490,80270,123788
35000,35893,Keen Edge,24171.0,57467,122526,107055,20067,40125,30619,0,133821,66315,97260,0,48626,48087,127448,120436,107055,110523,42134,45490,80270,123788
37293,37825,Auto,6746.0,57467,129272,107055,20067,40125,30619,0,133821,66315,97260,0,48626,48087,127448,120436,107055,110523,42134,45490,80270,123788
37500,38574,Brutal Shell,30619.0,57467,129272,107055,20067,40125,61238,0,133821,66315,97260,0,48626,48087,127448,120436,107055,110523,42134,45490,80270,123788
40093,40625,Auto,6746.0,57467,136018,107055,20067,40125,61238,0,133821,66315,97260,0,48626,48087,127448,120436,107055,110523,42134,45490,80270,123788
40625,41250,Blasting Zone,64470.0,57467,136018,171525,20067,40125,61238,0,133821,66315,97260,0,48626,48087,127448,120436,107055,110523,42134,45490,80270,123788
40000,41653,Solid Barrel,37066.0,57467,136018,171525,20067,40125,61238,0,133821,66315,97260,0,48626,48087,127448,120436,107055,110523,79200,45490,80270,123788
42500,43393,Keen Edge,24171.0,57467,136018,171525,20067,40125,61238,0,133821,66315,97260,0,48626,72258,127448,120436,107055,110523,79200,45490,80270,123788
