sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
32401,32933,Auto,90,1.0,1400,400,900,170,935,2800,1920
25071,34500,Dia (dot),85,1.0,1400,400,900,170,1020,2800,1920
35841,36373,Auto,90,1.0,1400,400,990,170,1020,2800,1920
25071,37500,Dia (dot),85,1.0,1400,400,990,170,1105,2800,1920
37221,37801,Afflatus Misery,1400,1.0,2800,400,990,170,1105,2800,1920
39281,39813,Auto,90,1.0,2800,400,1080,170,1105,2800,1920
25071,40500,Dia (dot),85,1.0,2800,400,1080,170,1190,2800,1920
40611,41901,Glare III,350,1.0,2800,400,1080,170,1190,3150,1920
25071,43500,Dia (dot),85,1.0,2800,400,1080,170,1275,3150,1920
43541,44073,Auto,90,1.0,2800,400,1170,170,1275,3150,1920
43041,44331,Glare III,350,1.0,2800,400,1170,170,1275,3500,1920
25071,46500,Dia (dot),85,1.0,2800,400,1170,170,1360,3500,1920
45471,46761,Glare III,350,1.0,2800,400,1170,170,1360,3850,1920
48401,48933,Auto,90,1.0,2800,400,1260,170,1360,3850,1920
48503,49173,Assize,400,1.0,2800,800,1260,170,1360,3850,1920
47901,49191,Glare III,350,1.0,2800,800,1260,170,1360,4200,1920
25071,49500,Dia (dot),85,1.0,2800,800,1260,170,1445,4200,1920
50331,51621,Glare III,350,1.0,2800,800,1260,170,1445,4550,1920
25071,52500,Dia (dot),85,1.0,2800,800,1260,170,1530,4550,1920
53261,53793,Auto,90,1.0,2800,800,1350,170,1530,4550,1920
52761,54051,Glare III,350,1.0,2800,800,1350,170,1530,4900,1920
25071,55500,Dia (dot),85,1.0,2800,800,1350,170,1615,4900,1920
54231,55521,Dia,85,1.0,2800,800,1350,255,1615,4900,1920
54231,58500,Dia (dot),85,1.0,2800,800,1350,255,1700,4900,1920
58122,58654,Auto,90,1.0,2800,800,1440,255,1700,4900,1920
57622,58912,Glare III,350,1.0,2800,800,1440,255,1700,5250,1920
60052,61342,Glare III,350,1.0,2800,800,1440,255,1700,5600,1920
54231,61500,Dia (dot),85,1.0,2800,800,1440,255,1785,5600,1920
62982,63514,Auto,90,1.0,2800,800,1530,255,1785,5600,1920
62482,63772,Glare III,350,1.0,2800,800,1530,255,1785,5950,1920
54231,64500,Dia (dot),85,1.0,2800,800,1530,255,1870,5950,1920
64912,66202,Glare III,350,1.0,2800,800,1530,255,1870,6300,1920
54231,67500,Dia (dot),85,1.0,2800,800,1530,255,1955,6300,1920
67842,68374,Auto,90,1.0,2800,800,1620,255,1955,6300,1920
67342,68632,Glare III,350,1.0,2800,800,1620,255,1955,6650,1920
54231,70500,Dia (dot),85,1.0,2800,800,1620,255,2040,6650,1920
69772,71062,Glare III,350,1.0,2800,800,1620,255,2040,7000,1920
72702,73234,Auto,90,1.0,2800,800,1710,255,2040,7000,1920
72202,73492,Glare III,350,1.0,2800,800,1710,255,2040,7350,1920
54231,73500,Dia (dot),85,1.0,2800,800,1710,255,2125,7350,1920
74632,75922,Glare III,350,1.0,2800,800,1710,255,2125,7700,1920
54231,76500,Dia (dot),85,1.0,2800,800,1710,255,2210,7700,1920
77562,78094,Auto,90,1.0,2800,800,1800,255,2210,7700,1920
77062,78352,Glare III,350,1.0,2800,800,1800,255,2210,8050,1920
54231,79500,Dia (dot),85,1.0,2800,800,1800,255,2295,8050,1920
79492,80782,Glare III,350,1.0,2800,800,1800,255,2295,8400,1920
