sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
65171,65794,Maim,30239.0,186675,410646,127854,360179,181160,56860,125481,139427,70737,131400,92591,79792
67237,67769,Auto,8941.0,195616,410646,127854,360179,181160,56860,125481,139427,70737,131400,92591,79792
67671,68294,Fell Cleave,88980.0,195616,499626,127854,360179,181160,56860,125481,139427,70737,131400,92591,79792
68296,68919,Upheaval,37355.0,195616,499626,127854,360179,181160,56860,125481,139427,70737,131400,92591,117147
70171,70794,Fell Cleave,88980.0,195616,588606,127854,360179,181160,56860,125481,139427,70737,131400,92591,117147
70597,71129,Auto,8941.0,204557,588606,127854,360179,181160,56860,125481,139427,70737,131400,92591,117147
72671,73294,Fell Cleave,88980.0,204557,677586,127854,360179,181160,56860,125481,139427,70737,131400,92591,117147
73296,74446,Primal Wrath,62264.0,204557,677586,127854,360179,181160,56860,125481,139427,133001,131400,92591,117147
73957,74489,Auto,8941.0,213498,677586,127854,360179,181160,56860,125481,139427,133001,131400,92591,117147
75172,76332,Primal Rend,110452.0,213498,677586,127854,360179,181160,56860,235933,139427,133001,131400,92591,117147
77317,77849,Auto,8941.0,222439,677586,127854,360179,181160,56860,235933,139427,133001,131400,92591,117147
77672,78732,Primal Ruination,122736.0,222439,677586,127854,360179,181160,56860,235933,262163,133001,131400,92591,117147
80172,81109,Inner Chaos,107391.0,222439,677586,127854,467570,181160,56860,235933,262163,133001,131400,92591,117147
80677,81209,Auto,8941.0,231380,677586,127854,467570,181160,56860,235933,262163,133001,131400,92591,117147
82672,84187,Storm's Path,44474.0,231380,677586,127854,467570,181160,56860,235933,262163,133001,131400,137065,117147
84037,84569,Auto,8941.0,240321,677586,127854,467570,181160,56860,235933,262163,133001,131400,137065,117147
85172,85795,Fell Cleave,51589.0,240321,729175,127854,467570,181160,56860,235933,262163,133001,131400,137065,117147
87397,87929,Auto,8941.0,249262,729175,127854,467570,181160,56860,235933,262163,133001,131400,137065,117147
87672,88204,Heavy Swing,21341.0,249262,729175,149195,467570,181160,56860,235933,262163,133001,131400,137065,117147
90172,90795,Maim,30239.0,249262,729175,149195,467570,211399,56860,235933,262163,133001,131400,137065,117147
90757,91289,Auto,8941.0,258203,729175,149195,467570,211399,56860,235933,262163,133001,131400,137065,117147
92672,94321,Storm's Eye,44474.0,258203,729175,149195,467570,211399,56860,235933,262163,133001,175874,137065,117147
94117,94649,Auto,8941.0,267144,729175,149195,467570,211399,56860,235933,262163,133001,175874,137065,117147
95172,95704,Heavy Swing,21341.0,267144,729175,170536,467570,211399,56860,235933,262163,133001,175874,137065,117147
97477,98009,Auto,8941.0,276085,729175,170536,467570,211399,56860,235933,262163,133001,175874,137065,117147
97672,98295,Maim,30239.0,276085,729175,170536,467570,241638,56860,235933,262163,133001,175874,137065,117147
98297,98920,Upheaval,37355.0,276085,729175,170536,467570,241638,56860,235933,262163,133001,175874,137065,154502
100837,101369,Auto,8941.0,285026,729175,170536,467570,241638,56860,235933,262163,133001,175874,137065,154502
100172,101687,Storm's Path,44474.0,285026,729175,170536,467570,241638,56860,235933,262163,133001,175874,181539,154502
102672,103204,Heavy Swing,21341.0,285026,729175,191877,467570,241638,56860,235933,262163,133001,175874,181539,154502
104197,104729,Auto,8941.0,293967,729175,191877,467570,241638,56860,235933,262163,133001,175874,181539,154502
105172,105795,Maim,30239.0,293967,729175,191877,467570,271877,56860,235933,262163,133001,175874,181539,154502
107557,108089,Auto,8941.0,302908,729175,191877,467570,271877,56860,235933,262163,133001,175874,181539,154502
107672,109187,Storm's Path,44474.0,302908,729175,191877,467570,271877,56860,235933,262163,133001,175874,226013,154502
