sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
445000,460500,Sonic Break (dot),11560.0,430385,1263080,1171354,135088,270060,825119,543429,900925,486621,685725,232835,342843,651132,894471,810567,720730,779331,966990,305975,539885,872365
460093,460625,Auto,6723.0,430385,1269803,1171354,135088,270060,825119,543429,900925,486621,685725,232835,342843,651132,894471,810567,720730,779331,966990,305975,539885,872365
460625,461250,Blasting Zone,64248.0,430385,1269803,1235602,135088,270060,825119,543429,900925,486621,685725,232835,342843,651132,894471,810567,720730,779331,966990,305975,539885,872365
460000,461653,Solid Barrel,36938.0,430385,1269803,1235602,135088,270060,825119,543429,900925,486621,685725,232835,342843,651132,894471,810567,720730,779331,1003928,305975,539885,872365
462500,463214,Burst Strike,33727.0,430385,1269803,1235602,135088,270060,825119,577156,900925,486621,685725,232835,342843,651132,894471,810567,720730,779331,1003928,305975,539885,872365
462893,463425,Auto,6723.0,430385,1276526,1235602,135088,270060,825119,577156,900925,486621,685725,232835,342843,651132,894471,810567,720730,779331,1003928,305975,539885,872365
463125,463883,Hypervelocity,14451.0,430385,1276526,1235602,135088,270060,825119,577156,900925,486621,685725,247286,342843,651132,894471,810567,720730,779331,1003928,305975,539885,872365
465000,465893,Keen Edge,24088.0,430385,1276526,1235602,135088,270060,825119,577156,900925,486621,685725,247286,342843,675220,894471,810567,720730,779331,1003928,305975,539885,872365
465693,466225,Auto,6723.0,430385,1283249,1235602,135088,270060,825119,577156,900925,486621,685725,247286,342843,675220,894471,810567,720730,779331,1003928,305975,539885,872365
467500,468574,Brutal Shell,30513.0,430385,1283249,1235602,135088,270060,855632,577156,900925,486621,685725,247286,342843,675220,894471,810567,720730,779331,1003928,305975,539885,872365
468493,469025,Auto,6723.0,430385,1289972,1235602,135088,270060,855632,577156,900925,486621,685725,247286,342843,675220,894471,810567,720730,779331,1003928,305975,539885,872365
470000,471653,Solid Barrel,36938.0,430385,1289972,1235602,135088,270060,855632,577156,900925,486621,685725,247286,342843,675220,894471,810567,720730,779331,1040866,305975,539885,872365
