sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Blizzard III,Blizzard IV,Despair,Fire III,Fire IV,Flare Star,High Thunder,Paradox,Thunder (dot),Xenoglossy
51781,52941,Fire IV,79898.0,0,42893,44387,93213,93826,1409140,288101,47258,159772,182159,153198
54111,54643,Auto,0.0,0,42893,44387,93213,93826,1409140,288101,47258,159772,182159,153198
53611,54771,Fire IV,79898.0,0,42893,44387,93213,93826,1489038,288101,47258,159772,182159,153198
25481,55500,Thunder (dot),11327.0,0,42893,44387,93213,93826,1489038,288101,47258,159772,193486,153198
55802,56562,High Thunder,22191.0,0,42893,44387,93213,93826,1489038,288101,69449,159772,193486,153198
56891,57423,Auto,0.0,0,42893,44387,93213,93826,1489038,288101,69449,159772,193486,153198
56312,57472,Fire IV,79898.0,0,42893,44387,93213,93826,1568936,288101,69449,159772,193486,153198
55802,58500,Thunder (dot),10027.0,0,42893,44387,93213,93826,1568936,288101,69449,159772,203513,153198
58142,58762,Flare Star,133166.0,0,42893,44387,93213,93826,1568936,421267,69449,159772,203513,153198
59671,60203,Auto,0.0,0,42893,44387,93213,93826,1568936,421267,69449,159772,203513,153198
59972,60462,Despair,93213.0,0,42893,44387,186426,93826,1568936,421267,69449,159772,203513,153198
55802,61500,Thunder (dot),10027.0,0,42893,44387,186426,93826,1568936,421267,69449,159772,213540,153198
61802,62642,Blizzard III,42893.0,0,85786,44387,186426,93826,1568936,421267,69449,159772,213540,153198
62451,62983,Auto,0.0,0,85786,44387,186426,93826,1568936,421267,69449,159772,213540,153198
55802,64500,Thunder (dot),10027.0,0,85786,44387,186426,93826,1568936,421267,69449,159772,223567,153198
64592,65752,Blizzard IV,44387.0,0,85786,88774,186426,93826,1568936,421267,69449,159772,223567,153198
65231,65763,Auto,0.0,0,85786,88774,186426,93826,1568936,421267,69449,159772,223567,153198
65462,66132,Paradox,79886.0,0,85786,88774,186426,93826,1568936,421267,69449,239658,223567,153198
55802,67500,Thunder (dot),10027.0,0,85786,88774,186426,93826,1568936,421267,69449,239658,233594,153198
67612,68282,Paradox,79886.0,0,85786,88774,186426,93826,1568936,421267,69449,319544,233594,153198
68511,69043,Auto,0.0,0,85786,88774,186426,93826,1568936,421267,69449,319544,233594,153198
55802,70500,Thunder (dot),10027.0,0,85786,88774,186426,93826,1568936,421267,69449,319544,243621,153198
69762,71052,Fire III,60051.0,0,85786,88774,186426,153877,1568936,421267,69449,319544,243621,153198
71791,72323,Auto,0.0,0,85786,88774,186426,153877,1568936,421267,69449,319544,243621,153198
55802,73500,Thunder (dot),10027.0,0,85786,88774,186426,153877,1568936,421267,69449,319544,253648,153198
73132,74292,Fire IV,79898.0,0,85786,88774,186426,153877,1648834,421267,69449,319544,253648,153198
75782,76314,Auto,0.0,0,85786,88774,186426,153877,1648834,421267,69449,319544,253648,153198
75282,76442,Fire IV,79898.0,0,85786,88774,186426,153877,1728732,421267,69449,319544,253648,153198
55802,76500,Thunder (dot),10027.0,0,85786,88774,186426,153877,1728732,421267,69449,319544,263675,153198
77432,78592,Fire IV,79898.0,0,85786,88774,186426,153877,1808630,421267,69449,319544,263675,153198
55802,79500,Thunder (dot),10027.0,0,85786,88774,186426,153877,1808630,421267,69449,319544,273702,153198
80082,80614,Auto,0.0,0,85786,88774,186426,153877,1808630,421267,69449,319544,273702,153198
79582,80742,Fire IV,79898.0,0,85786,88774,186426,153877,1888528,421267,69449,319544,273702,153198
55802,82500,Thunder (dot),10027.0,0,85786,88774,186426,153877,1888528,421267,69449,319544,283729,153198
81732,82892,Fire IV,79898.0,0,85786,88774,186426,153877,1968426,421267,69449,319544,283729,153198
84382,84914,Auto,0.0,0,85786,88774,186426,153877,1968426,421267,69449,319544,283729,153198
83882,85042,Fire IV,79898.0,0,85786,88774,186426,153877,2048324,421267,69449,319544,283729,153198
55802,85500,Thunder (dot),10027.0,0,85786,88774,186426,153877,2048324,421267,69449,319544,293756,153198
86462,87222,High Thunder,22191.0,0,85786,88774,186426,153877,2048324,421267,91640,319544,293756,153198
86462,88500,Thunder (dot),10027.0,0,85786,88774,186426,153877,2048324,421267,91640,319544,303783,153198
88182,88802,Flare Star,133166.0,0,85786,88774,186426,153877,2048324,554433,91640,319544,303783,153198
88682,89214,Auto,0.0,0,85786,88774,186426,153877,2048324,554433,91640,319544,303783,153198
89112,89602,Despair,93213.0,0,85786,88774,279639,153877,2048324,554433,91640,319544,303783,153198
86462,91500,Thunder (dot),10027.0,0,85786,88774,279639,153877,2048324,554433,91640,319544,313810,153198
91262,92102,Blizzard III,42893.0,0,128679,88774,279639,153877,2048324,554433,91640,319544,313810,153198
