sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,771,25197.639,220.644,25906.766,334.276,165460,19427380,250672
Dosis III,259,50467.1,131.245,17430.389,267.97,98420,13070979,200950
Eukrasian Dosis III (dot),241,12291.253,28.924,3950.137,63.191,21690,2962192,47387
Phlegma III,20,97417.5,18.403,2598.16,146.74,13800,1948350,110040
Psyche,13,95641.154,11.962,1658.01,115.58,8970,1243335,86673
Toxikon II,3,49391.0,1.52,197.591,28.029,1140,148173,21019
Pneuma,1,49391.0,0.507,65.864,16.182,380,49391,12135
Auto,234,21.197,28.084,6.614,0.103,21060,4960,77
