sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Gekko,Gyofu,Higanbana,Higanbana (dot),Hissatsu: Gyoten,Hissatsu: Senei,Hissatsu: Shinten,Jinpu,Kaeshi: Namikiri,Kaeshi: Setsugekka,Kasha,Midare Setsugekka,Ogi Namikiri,Shifu,Shoha,Tendo Kaeshi Setsugekka,Tendo Setsugekka,Yukikaze,Zanshin
-650,110,Gekko,42462.0,0,42462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,642,Auto,9146.0,9146,42462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,2440,Kasha,51930.0,9146,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,0,0,0
2750,3282,Auto,9898.0,19044,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,0,0,0
4291,5091,Yukikaze,42037.0,19044,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,0,42037,0
5040,5572,Auto,9898.0,28942,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,0,42037,0
7041,8071,Tendo Setsugekka,194148.0,28942,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,194148,42037,0
7541,8073,Auto,10195.0,39137,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,194148,42037,0
7831,8501,Hissatsu: Senei,101889.0,39137,42462,0,0,0,0,101889,0,0,0,0,51930,0,0,0,0,0,194148,42037,0
8571,9601,Tendo Kaeshi Setsugekka,194148.0,39137,42462,0,0,0,0,101889,0,0,0,0,51930,0,0,0,0,194148,194148,42037,0
9831,10363,Auto,10195.0,49332,42462,0,0,0,0,101889,0,0,0,0,51930,0,0,0,0,194148,194148,42037,0
9811,10841,Zanshin,119719.0,49332,42462,0,0,0,0,101889,0,0,0,0,51930,0,0,0,0,194148,194148,42037,119719
