sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
84501,88500,Combust III (dot),9233.0,0,286684,1146138,56645,121736,78820
87701,88771,Fall Malefic,33295.0,0,286684,1179433,56645,121736,78820
90511,91043,Auto,0.0,0,286684,1179433,56645,121736,78820
90011,91081,Fall Malefic,33295.0,0,286684,1212728,56645,121736,78820
84501,91500,Combust III (dot),9233.0,0,295917,1212728,56645,121736,78820
92321,93391,Fall Malefic,33295.0,0,295917,1246023,56645,121736,78820
93711,94243,Auto,0.0,0,295917,1246023,56645,121736,78820
84501,94500,Combust III (dot),9233.0,0,305150,1246023,56645,121736,78820
94631,95701,Fall Malefic,33295.0,0,305150,1279318,56645,121736,78820
84501,97500,Combust III (dot),9233.0,0,314383,1279318,56645,121736,78820
97441,97973,Auto,0.0,0,314383,1279318,56645,121736,78820
96941,98011,Fall Malefic,33295.0,0,314383,1312613,56645,121736,78820
99251,100321,Fall Malefic,33295.0,0,314383,1345908,56645,121736,78820
84501,100500,Combust III (dot),9233.0,0,323616,1345908,56645,121736,78820
100641,101173,Auto,0.0,0,323616,1345908,56645,121736,78820
101561,102631,Fall Malefic,33295.0,0,323616,1379203,56645,121736,78820
84501,103500,Combust III (dot),9233.0,0,332849,1379203,56645,121736,78820
104371,104903,Auto,0.0,0,332849,1379203,56645,121736,78820
103871,104941,Fall Malefic,33295.0,0,332849,1412498,56645,121736,78820
84501,106500,Combust III (dot),9233.0,0,342082,1412498,56645,121736,78820
106181,107251,Fall Malefic,33295.0,0,342082,1445793,56645,121736,78820
107571,108103,Auto,0.0,0,342082,1445793,56645,121736,78820
84501,109500,Combust III (dot),9233.0,0,351315,1445793,56645,121736,78820
108491,109561,Fall Malefic,33295.0,0,351315,1479088,56645,121736,78820
111301,111833,Auto,0.0,0,351315,1479088,56645,121736,78820
110801,111871,Fall Malefic,33295.0,0,351315,1512383,56645,121736,78820
84501,112500,Combust III (dot),9233.0,0,360548,1512383,56645,121736,78820
113111,114181,Fall Malefic,33295.0,0,360548,1545678,56645,121736,78820
