sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,550,25425.216,210.097,24806.013,348.495,157845,18636683,261823
Glare III,226,45794.827,105.285,13775.685,222.604,79100,10349631,167242
Dia (dot),246,11391.122,27.832,3729.838,57.776,20910,2802216,43407
Afflatus Misery,13,184983.923,24.225,3200.853,215.716,18200,2404791,162067
Glare IV,21,85902.714,17.889,2401.124,127.344,13440,1803957,95673
Assize,19,52539.316,10.116,1328.698,74.059,7600,998247,55640
Dia,25,11113.64,2.828,369.815,17.969,2125,277841,13500
