sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
0,760,True Thrust,23973.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23973,0,0
760,1292,Auto,8745.0,8745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23973,0,0
2500,3880,Spiral Blow,31269.0,8745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
3560,4092,Auto,9619.0,18364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
5000,5450,Chaotic Spring,46401.0,18364,46401,0,0,0,0,0,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
6360,6892,Auto,17140.0,35504,46401,0,0,0,0,0,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
6240,6910,Geirskogul,46416.0,35504,46401,0,0,0,0,46416,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
5000,7500,Chaotic Spring (dot),6137.0,35504,46401,6137,0,0,0,46416,0,0,0,0,0,0,0,0,31269,0,0,23973,0,0
7500,8120,Wheeling Thrust,69441.0,35504,46401,6137,0,0,0,46416,0,0,0,0,0,0,0,0,31269,0,0,23973,69441,0
8119,8919,Dragonfire Dive,102119.0,35504,46401,6137,102119,0,0,46416,0,0,0,0,0,0,0,0,31269,0,0,23973,69441,0
9160,9692,Auto,17140.0,52644,46401,6137,102119,0,0,46416,0,0,0,0,0,0,0,0,31269,0,0,23973,69441,0
5000,10500,Chaotic Spring (dot),6137.0,52644,46401,12274,102119,0,0,46416,0,0,0,0,0,0,0,0,31269,0,0,23973,69441,0
10000,10620,Drakesbane,132601.0,52644,46401,12274,102119,132601,0,46416,0,0,0,0,0,0,0,0,31269,0,0,23973,69441,0
