sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,550,28496.768,210.097,27802.761,433.43,157845,20888131,325635
Glare III,226,48858.0,105.285,14697.128,246.583,79100,11041908,185257
Dia (dot),246,12438.224,27.832,4072.694,66.236,20910,3059803,49763
Afflatus Misery,13,222327.923,24.225,3847.031,280.089,18200,2890263,210430
Glare IV,21,116860.429,17.889,3266.443,188.893,13440,2454069,141915
Assize,19,59952.0,10.116,1516.162,90.099,7600,1139088,67691
Dia,25,12120.0,2.828,403.303,20.562,2125,303000,15448
