sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
28551,29531,Clawed Muse,800,1.0,0,810,860,800,940,0,0,580,560,0,1000,600,800,2000,0,1100,900,940,0,800
30410,30942,Auto,90,1.0,0,900,860,800,940,0,0,580,560,0,1000,600,800,2000,0,1100,900,940,0,800
32851,33691,Fire in Red,490,1.0,0,900,860,800,940,0,490,580,560,0,1000,600,800,2000,0,1100,900,940,0,800
33370,33902,Auto,90,1.0,0,990,860,800,940,0,490,580,560,0,1000,600,800,2000,0,1100,900,940,0,800
35351,36241,Aero in Green,530,1.0,530,990,860,800,940,0,490,580,560,0,1000,600,800,2000,0,1100,900,940,0,800
36330,36862,Auto,90,1.0,530,1080,860,800,940,0,490,580,560,0,1000,600,800,2000,0,1100,900,940,0,800
37851,38831,Water in Blue,570,1.0,530,1080,860,800,940,0,490,580,560,0,1000,600,800,2000,0,1100,900,940,570,800
39290,39822,Auto,90,1.0,530,1170,860,800,940,0,490,580,560,0,1000,600,800,2000,0,1100,900,940,570,800
40351,41191,Fire in Red,490,1.0,530,1170,860,800,940,0,980,580,560,0,1000,600,800,2000,0,1100,900,940,570,800
42851,43741,Aero in Green,530,1.0,1060,1170,860,800,940,0,980,580,560,0,1000,600,800,2000,0,1100,900,940,570,800
43351,43883,Auto,90,1.0,1060,1260,860,800,940,0,980,580,560,0,1000,600,800,2000,0,1100,900,940,570,800
45351,46331,Water in Blue,570,1.0,1060,1260,860,800,940,0,980,580,560,0,1000,600,800,2000,0,1100,900,940,1140,800
46311,46843,Auto,90,1.0,1060,1350,860,800,940,0,980,580,560,0,1000,600,800,2000,0,1100,900,940,1140,800
48651,49401,Blizzard in Cyan,860,1.0,1060,1350,1720,800,940,0,980,580,560,0,1000,600,800,2000,0,1100,900,940,1140,800
49271,49803,Auto,90,1.0,1060,1440,1720,800,940,0,980,580,560,0,1000,600,800,2000,0,1100,900,940,1140,800
53151,53683,Auto,90,1.0,1060,1530,1720,800,940,0,980,580,560,0,1000,600,800,2000,0,1100,900,940,1140,800
54151,55531,Hammer Stamp,560,1.0,1060,1530,1720,800,940,0,980,580,1120,0,1000,600,800,2000,0,1100,900,940,1140,800
56111,56643,Auto,90,1.0,1060,1620,1720,800,940,0,980,580,1120,0,1000,600,800,2000,0,1100,900,940,1140,800
56651,57901,Hammer Brush,580,1.0,1060,1620,1720,800,940,0,980,1160,1120,0,1000,600,800,2000,0,1100,900,940,1140,800
59071,59603,Auto,90,1.0,1060,1710,1720,800,940,0,980,1160,1120,0,1000,600,800,2000,0,1100,900,940,1140,800
