sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
1310,4500,Combust III (dot),9994.0,0,9994,0,0,0,0
3620,4690,Fall Malefic,37833.0,0,9994,37833,0,0,0
4500,5032,Auto,0.0,0,9994,37833,0,0,0
5960,7030,Fall Malefic,42109.0,0,9994,79942,0,0,0
1310,7500,Combust III (dot),9994.0,0,19988,79942,0,0,0
7200,7820,Lord of Crowns,68976.0,0,19988,79942,68976,0,0
8000,8000,Stellar Explosion (pet),51378.0,0,19988,79942,68976,0,51378
7700,8232,Auto,0.0,0,19988,79942,68976,0,51378
8270,9340,Fall Malefic,46508.0,0,19988,126450,68976,0,51378
1310,10500,Combust III (dot),9994.0,0,29982,126450,68976,0,51378
10900,11432,Auto,0.0,0,29982,126450,68976,0,51378
10580,11650,Fall Malefic,46508.0,0,29982,172958,68976,0,51378
11200,12940,Oracle,148237.0,0,29982,172958,68976,148237,51378
1310,13500,Combust III (dot),9994.0,0,39976,172958,68976,148237,51378
12890,13960,Fall Malefic,46508.0,0,39976,219466,68976,148237,51378
14100,14632,Auto,0.0,0,39976,219466,68976,148237,51378
1310,16500,Combust III (dot),9994.0,0,49970,219466,68976,148237,51378
16090,17160,Fall Malefic,46508.0,0,49970,265974,68976,148237,51378
17300,17832,Auto,0.0,0,49970,265974,68976,148237,51378
18400,19470,Fall Malefic,46508.0,0,49970,312482,68976,148237,51378
1310,19500,Combust III (dot),9994.0,0,59964,312482,68976,148237,51378
21210,21742,Auto,0.0,0,59964,312482,68976,148237,51378
20710,21780,Fall Malefic,46508.0,0,59964,358990,68976,148237,51378
1310,22500,Combust III (dot),9994.0,0,69958,358990,68976,148237,51378
23020,24090,Fall Malefic,46508.0,0,69958,405498,68976,148237,51378
24410,24942,Auto,0.0,0,69958,405498,68976,148237,51378
24440,25500,Combust III (dot),12899.0,0,82857,405498,68976,148237,51378
26750,27820,Fall Malefic,37833.0,0,82857,443331,68976,148237,51378
27610,28142,Auto,0.0,0,82857,443331,68976,148237,51378
24440,28500,Combust III (dot),12899.0,0,95756,443331,68976,148237,51378
29950,31020,Fall Malefic,36032.0,0,95756,479363,68976,148237,51378
30810,31342,Auto,0.0,0,95756,479363,68976,148237,51378
24440,31500,Combust III (dot),12899.0,0,108655,479363,68976,148237,51378
32260,33330,Fall Malefic,33295.0,0,108655,512658,68976,148237,51378
24440,34500,Combust III (dot),12899.0,0,121554,512658,68976,148237,51378
35070,35602,Auto,0.0,0,121554,512658,68976,148237,51378
34570,35640,Fall Malefic,33295.0,0,121554,545953,68976,148237,51378
24440,37500,Combust III (dot),12899.0,0,134453,545953,68976,148237,51378
36880,37950,Fall Malefic,33295.0,0,134453,579248,68976,148237,51378
38270,38802,Auto,0.0,0,134453,579248,68976,148237,51378
39190,40260,Fall Malefic,33295.0,0,134453,612543,68976,148237,51378
24440,40500,Combust III (dot),12899.0,0,147352,612543,68976,148237,51378
42001,42533,Auto,0.0,0,147352,612543,68976,148237,51378
41501,42571,Fall Malefic,33295.0,0,147352,645838,68976,148237,51378
24440,43500,Combust III (dot),12899.0,0,160251,645838,68976,148237,51378
43811,44881,Fall Malefic,33295.0,0,160251,679133,68976,148237,51378
45201,45733,Auto,0.0,0,160251,679133,68976,148237,51378
24440,46500,Combust III (dot),12899.0,0,173150,679133,68976,148237,51378
46121,47191,Fall Malefic,33295.0,0,173150,712428,68976,148237,51378
48931,49463,Auto,0.0,0,173150,712428,68976,148237,51378
24440,49500,Combust III (dot),12899.0,0,186049,712428,68976,148237,51378
48431,49501,Fall Malefic,33295.0,0,186049,745723,68976,148237,51378
50741,51811,Fall Malefic,33295.0,0,186049,779018,68976,148237,51378
24440,52500,Combust III (dot),12899.0,0,198948,779018,68976,148237,51378
52131,52663,Auto,0.0,0,198948,779018,68976,148237,51378
53051,54121,Fall Malefic,33295.0,0,198948,812313,68976,148237,51378
54471,55500,Combust III (dot),9233.0,0,208181,812313,68976,148237,51378
55331,55863,Auto,0.0,0,208181,812313,68976,148237,51378
54471,58500,Combust III (dot),9233.0,0,217414,812313,68976,148237,51378
57671,58741,Fall Malefic,33295.0,0,217414,845608,68976,148237,51378
58531,59063,Auto,0.0,0,217414,845608,68976,148237,51378
59981,61051,Fall Malefic,33295.0,0,217414,878903,68976,148237,51378
54471,61500,Combust III (dot),9233.0,0,226647,878903,68976,148237,51378
62791,63323,Auto,0.0,0,226647,878903,68976,148237,51378
62291,63361,Fall Malefic,33295.0,0,226647,912198,68976,148237,51378
