sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Baneful Impaction (dot),Biolysis (dot),Broil IV,Energy Drain
-200,1500,Biolysis (dot),11258.0,0,0,11258,0,0
1500,2032,Auto,222.0,222,0,11258,0,0
3140,3940,Broil IV,44823.0,222,0,11258,44823,0
-200,4500,Biolysis (dot),11258.0,222,0,22516,44823,0
4620,5152,Auto,233.0,455,0,22516,44823,0
4600,5400,Broil IV,47063.0,455,0,22516,91886,0
-200,7500,Biolysis (dot),11258.0,455,0,33774,91886,0
7940,8740,Broil IV,58951.0,455,0,33774,150837,0
8440,8972,Auto,292.0,747,0,33774,150837,0
8543,9613,Energy Drain,18436.0,747,0,33774,150837,18436
-200,10500,Biolysis (dot),11258.0,747,0,45032,150837,18436
10340,11140,Broil IV,58951.0,747,0,45032,209788,18436
10943,12013,Energy Drain,18436.0,747,0,45032,209788,36872
11560,12092,Auto,292.0,1039,0,45032,209788,36872
-200,13500,Biolysis (dot),11258.0,1039,0,56290,209788,36872
12740,13540,Broil IV,58951.0,1039,0,56290,268739,36872
13343,14413,Energy Drain,18436.0,1039,0,56290,268739,55308
15140,15940,Broil IV,58951.0,1039,0,56290,327690,55308
15640,16172,Auto,292.0,1331,0,56290,327690,55308
-200,16500,Biolysis (dot),11258.0,1331,0,67548,327690,55308
17540,18340,Broil IV,58951.0,1331,0,67548,386641,55308
18760,19292,Auto,292.0,1623,0,67548,386641,55308
18143,19500,Baneful Impaction (dot),26781.0,1623,26781,67548,386641,55308
-200,19500,Biolysis (dot),11258.0,1623,26781,78806,386641,55308
19940,20740,Broil IV,58951.0,1623,26781,78806,445592,55308
20543,21613,Energy Drain,18436.0,1623,26781,78806,445592,73744
18143,22500,Baneful Impaction (dot),26781.0,1623,53562,78806,445592,73744
-200,22500,Biolysis (dot),11258.0,1623,53562,90064,445592,73744
22340,23140,Broil IV,58951.0,1623,53562,90064,504543,73744
22840,23372,Auto,292.0,1915,53562,90064,504543,73744
22943,24013,Energy Drain,18436.0,1915,53562,90064,504543,92180
24420,25490,Energy Drain,18436.0,1915,53562,90064,504543,110616
18143,25500,Baneful Impaction (dot),26781.0,1915,80343,90064,504543,110616
23800,25500,Biolysis (dot),16195.0,1915,80343,106259,504543,110616
25960,26492,Auto,252.0,2167,80343,106259,504543,110616
27140,27940,Broil IV,44823.0,2167,80343,106259,549366,110616
18143,28500,Baneful Impaction (dot),26781.0,2167,107124,106259,549366,110616
23800,28500,Biolysis (dot),16195.0,2167,107124,122454,549366,110616
29541,30341,Broil IV,44823.0,2167,107124,122454,594189,110616
30041,30573,Auto,222.0,2389,107124,122454,594189,110616
18143,31500,Baneful Impaction (dot),26781.0,2389,133905,122454,594189,110616
23800,31500,Biolysis (dot),16195.0,2389,133905,138649,594189,110616
31941,32741,Broil IV,41419.0,2389,133905,138649,635608,110616
33161,33693,Auto,222.0,2611,133905,138649,635608,110616
23800,34500,Biolysis (dot),16195.0,2611,133905,154844,635608,110616
34341,35141,Broil IV,41419.0,2611,133905,154844,677027,110616
23800,37500,Biolysis (dot),16195.0,2611,133905,171039,677027,110616
36741,37541,Broil IV,41419.0,2611,133905,171039,718446,110616
37241,37773,Auto,222.0,2833,133905,171039,718446,110616
39141,39941,Broil IV,41419.0,2833,133905,171039,759865,110616
23800,40500,Biolysis (dot),16195.0,2833,133905,187234,759865,110616
40361,40893,Auto,222.0,3055,133905,187234,759865,110616
41541,42341,Broil IV,41419.0,3055,133905,187234,801284,110616
23800,43500,Biolysis (dot),16195.0,3055,133905,203429,801284,110616
43941,44741,Broil IV,41396.0,3055,133905,203429,842680,110616
44441,44973,Auto,221.0,3276,133905,203429,842680,110616
23800,46500,Biolysis (dot),16195.0,3276,133905,219624,842680,110616
46341,47141,Broil IV,41396.0,3276,133905,219624,884076,110616
47561,48093,Auto,221.0,3497,133905,219624,884076,110616
23800,49500,Biolysis (dot),16195.0,3497,133905,235819,884076,110616
48741,49541,Broil IV,41396.0,3497,133905,235819,925472,110616
51141,51941,Broil IV,41396.0,3497,133905,235819,966868,110616
51641,52173,Auto,221.0,3718,133905,235819,966868,110616
23800,52500,Biolysis (dot),16195.0,3718,133905,252014,966868,110616
54761,55293,Auto,221.0,3939,133905,252014,966868,110616
52601,55500,Biolysis (dot),11370.0,3939,133905,263384,966868,110616
55941,56741,Broil IV,41396.0,3939,133905,263384,1008264,110616
52601,58500,Biolysis (dot),11370.0,3939,133905,274754,1008264,110616
58341,59141,Broil IV,41396.0,3939,133905,274754,1049660,110616
58841,59373,Auto,221.0,4160,133905,274754,1049660,110616
52601,61500,Biolysis (dot),11370.0,4160,133905,286124,1049660,110616
60741,61541,Broil IV,41396.0,4160,133905,286124,1091056,110616
61961,62493,Auto,221.0,4381,133905,286124,1091056,110616
63141,63941,Broil IV,41396.0,4381,133905,286124,1132452,110616
52601,64500,Biolysis (dot),11370.0,4381,133905,297494,1132452,110616
65541,66341,Broil IV,41396.0,4381,133905,297494,1173848,110616
66041,66573,Auto,221.0,4602,133905,297494,1173848,110616
52601,67500,Biolysis (dot),11370.0,4602,133905,308864,1173848,110616
