sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
1310,4500,Combust III (dot),10097.0,0,10097,0,0,0,0
3620,4690,Fall Malefic,38226.0,0,10097,38226,0,0,0
4500,5032,Auto,0.0,0,10097,38226,0,0,0
5960,7030,Fall Malefic,44661.0,0,10097,82887,0,0,0
1310,7500,Combust III (dot),10097.0,0,20194,82887,0,0,0
7200,7820,Lord of Crowns,71032.0,0,20194,82887,71032,0,0
8000,8000,Stellar Explosion (pet),52910.0,0,20194,82887,71032,0,52910
7700,8232,Auto,0.0,0,20194,82887,71032,0,52910
8270,9340,Fall Malefic,47894.0,0,20194,130781,71032,0,52910
1310,10500,Combust III (dot),10097.0,0,30291,130781,71032,0,52910
10900,11432,Auto,0.0,0,30291,130781,71032,0,52910
10580,11650,Fall Malefic,47894.0,0,30291,178675,71032,0,52910
11200,12940,Oracle,152655.0,0,30291,178675,71032,152655,52910
1310,13500,Combust III (dot),10097.0,0,40388,178675,71032,152655,52910
12890,13960,Fall Malefic,47894.0,0,40388,226569,71032,152655,52910
14100,14632,Auto,0.0,0,40388,226569,71032,152655,52910
1310,16500,Combust III (dot),10097.0,0,50485,226569,71032,152655,52910
16090,17160,Fall Malefic,47894.0,0,50485,274463,71032,152655,52910
17300,17832,Auto,0.0,0,50485,274463,71032,152655,52910
18400,19470,Fall Malefic,47894.0,0,50485,322357,71032,152655,52910
1310,19500,Combust III (dot),10097.0,0,60582,322357,71032,152655,52910
21210,21742,Auto,0.0,0,60582,322357,71032,152655,52910
20710,21780,Fall Malefic,47894.0,0,60582,370251,71032,152655,52910
1310,22500,Combust III (dot),10097.0,0,70679,370251,71032,152655,52910
23020,24090,Fall Malefic,47894.0,0,70679,418145,71032,152655,52910
24410,24942,Auto,0.0,0,70679,418145,71032,152655,52910
24440,25500,Combust III (dot),13283.0,0,83962,418145,71032,152655,52910
26750,27820,Fall Malefic,36406.0,0,83962,454551,71032,152655,52910
27610,28142,Auto,0.0,0,83962,454551,71032,152655,52910
24440,28500,Combust III (dot),13283.0,0,97245,454551,71032,152655,52910
29950,31020,Fall Malefic,36406.0,0,97245,490957,71032,152655,52910
30810,31342,Auto,0.0,0,97245,490957,71032,152655,52910
24440,31500,Combust III (dot),13283.0,0,110528,490957,71032,152655,52910
