sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Blizzard III,Blizzard IV,Despair,Fire III,Fire IV,Flare Star,High Thunder,Paradox,Thunder (dot),Xenoglossy
55802,58500,Thunder (dot),10127.0,0,43268,44775,94027,94426,1786459,334884,74827,161168,226729,198308
58142,58762,Flare Star,134498.0,0,43268,44775,94027,94426,1786459,469382,74827,161168,226729,198308
59671,60203,Auto,0.0,0,43268,44775,94027,94426,1786459,469382,74827,161168,226729,198308
59972,60462,Despair,94145.0,0,43268,44775,188172,94426,1786459,469382,74827,161168,226729,198308
55802,61500,Thunder (dot),10127.0,0,43268,44775,188172,94426,1786459,469382,74827,161168,236856,198308
61802,62642,Blizzard III,43323.0,0,86591,44775,188172,94426,1786459,469382,74827,161168,236856,198308
62451,62983,Auto,0.0,0,86591,44775,188172,94426,1786459,469382,74827,161168,236856,198308
55802,64500,Thunder (dot),10127.0,0,86591,44775,188172,94426,1786459,469382,74827,161168,246983,198308
64592,65752,Blizzard IV,44831.0,0,86591,89606,188172,94426,1786459,469382,74827,161168,246983,198308
65231,65763,Auto,0.0,0,86591,89606,188172,94426,1786459,469382,74827,161168,246983,198308
65462,66132,Paradox,80685.0,0,86591,89606,188172,94426,1786459,469382,74827,241853,246983,198308
55802,67500,Thunder (dot),10127.0,0,86591,89606,188172,94426,1786459,469382,74827,241853,257110,198308
67612,68282,Paradox,80685.0,0,86591,89606,188172,94426,1786459,469382,74827,322538,257110,198308
68511,69043,Auto,0.0,0,86591,89606,188172,94426,1786459,469382,74827,322538,257110,198308
55802,70500,Thunder (dot),10127.0,0,86591,89606,188172,94426,1786459,469382,74827,322538,267237,198308
69762,71052,Fire III,60651.0,0,86591,89606,188172,155077,1786459,469382,74827,322538,267237,198308
71791,72323,Auto,0.0,0,86591,89606,188172,155077,1786459,469382,74827,322538,267237,198308
55802,73500,Thunder (dot),10127.0,0,86591,89606,188172,155077,1786459,469382,74827,322538,277364,198308
73132,74292,Fire IV,80696.0,0,86591,89606,188172,155077,1867155,469382,74827,322538,277364,198308
75782,76314,Auto,0.0,0,86591,89606,188172,155077,1867155,469382,74827,322538,277364,198308
75282,76442,Fire IV,80696.0,0,86591,89606,188172,155077,1947851,469382,74827,322538,277364,198308
55802,76500,Thunder (dot),10127.0,0,86591,89606,188172,155077,1947851,469382,74827,322538,287491,198308
77432,78592,Fire IV,80696.0,0,86591,89606,188172,155077,2028547,469382,74827,322538,287491,198308
55802,79500,Thunder (dot),10127.0,0,86591,89606,188172,155077,2028547,469382,74827,322538,297618,198308
80082,80614,Auto,0.0,0,86591,89606,188172,155077,2028547,469382,74827,322538,297618,198308
79582,80742,Fire IV,80696.0,0,86591,89606,188172,155077,2109243,469382,74827,322538,297618,198308
55802,82500,Thunder (dot),10127.0,0,86591,89606,188172,155077,2109243,469382,74827,322538,307745,198308
81732,82892,Fire IV,80696.0,0,86591,89606,188172,155077,2189939,469382,74827,322538,307745,198308
84382,84914,Auto,0.0,0,86591,89606,188172,155077,2189939,469382,74827,322538,307745,198308
83882,85042,Fire IV,80454.0,0,86591,89606,188172,155077,2270393,469382,74827,322538,307745,198308
55802,85500,Thunder (dot),10127.0,0,86591,89606,188172,155077,2270393,469382,74827,322538,317872,198308
86462,87222,High Thunder,22346.0,0,86591,89606,188172,155077,2270393,469382,97173,322538,317872,198308
86462,88500,Thunder (dot),10096.0,0,86591,89606,188172,155077,2270393,469382,97173,322538,327968,198308
88182,88802,Flare Star,134094.0,0,86591,89606,188172,155077,2270393,603476,97173,322538,327968,198308
88682,89214,Auto,0.0,0,86591,89606,188172,155077,2270393,603476,97173,322538,327968,198308
