sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Apex Arrow,Blast Arrow,Burst Shot,Caustic Bite,Caustic Bite (dot),Empyreal Arrow,Heartbreak Shot,Iron Jaws,Pitch Perfect,Radiant Encore,Refulgent Arrow,Resonant Arrow,Shot,Sidewinder,Stormbite,Stormbite (dot)
550738,586500,Stormbite (dot),3115.0,975217,975802,4108854,18696,596718,1372393,1825332,211289,1308599,1021241,2852229,641570,1792816,650155,12331,748963
586720,587478,Shot,8374.0,975217,975802,4108854,18696,596718,1372393,1825332,211289,1308599,1021241,2852229,641570,1801190,650155,12331,748963
586489,587959,Burst Shot,20233.0,975217,975802,4129087,18696,596718,1372393,1825332,211289,1308599,1021241,2852229,641570,1801190,650155,12331,748963
586489,587959,Refulgent Arrow,9024.0,975217,975802,4129087,18696,596718,1372393,1825332,211289,1308599,1021241,2861253,641570,1801190,650155,12331,748963
587109,588139,Empyreal Arrow,32293.0,975217,975802,4129087,18696,596718,1404686,1825332,211289,1308599,1021241,2861253,641570,1801190,650155,12331,748963
588579,589249,Iron Jaws,12417.0,975217,975802,4129087,18696,596718,1404686,1825332,223706,1308599,1021241,2861253,641570,1801190,650155,12331,748963
588579,589500,Stormbite (dot),3106.0,975217,975802,4129087,18696,596718,1404686,1825332,223706,1308599,1021241,2861253,641570,1801190,650155,12331,752069
588579,589500,Caustic Bite (dot),2484.0,975217,975802,4129087,18696,599202,1404686,1825332,223706,1308599,1021241,2861253,641570,1801190,650155,12331,752069
589760,590518,Shot,8374.0,975217,975802,4129087,18696,599202,1404686,1825332,223706,1308599,1021241,2861253,641570,1809564,650155,12331,752069
590669,592139,Refulgent Arrow,17759.0,975217,975802,4129087,18696,599202,1404686,1825332,223706,1308599,1021241,2879012,641570,1809564,650155,12331,752069
590669,592139,Burst Shot,13369.0,975217,975802,4142456,18696,599202,1404686,1825332,223706,1308599,1021241,2879012,641570,1809564,650155,12331,752069
588579,592500,Caustic Bite (dot),2484.0,975217,975802,4142456,18696,601686,1404686,1825332,223706,1308599,1021241,2879012,641570,1809564,650155,12331,752069
588579,592500,Stormbite (dot),3106.0,975217,975802,4142456,18696,601686,1404686,1825332,223706,1308599,1021241,2879012,641570,1809564,650155,12331,755175
592800,593558,Shot,8374.0,975217,975802,4142456,18696,601686,1404686,1825332,223706,1308599,1021241,2879012,641570,1817938,650155,12331,755175
592759,594229,Burst Shot,20164.0,975217,975802,4162620,18696,601686,1404686,1825332,223706,1308599,1021241,2879012,641570,1817938,650155,12331,755175
592759,594229,Refulgent Arrow,9110.0,975217,975802,4162620,18696,601686,1404686,1825332,223706,1308599,1021241,2888122,641570,1817938,650155,12331,755175
588579,595500,Stormbite (dot),3106.0,975217,975802,4162620,18696,601686,1404686,1825332,223706,1308599,1021241,2888122,641570,1817938,650155,12331,758281
588579,595500,Caustic Bite (dot),2484.0,975217,975802,4162620,18696,604170,1404686,1825332,223706,1308599,1021241,2888122,641570,1817938,650155,12331,758281
594849,596319,Refulgent Arrow,9097.0,975217,975802,4162620,18696,604170,1404686,1825332,223706,1308599,1021241,2897219,641570,1817938,650155,12331,758281
594849,596319,Burst Shot,20175.0,975217,975802,4182795,18696,604170,1404686,1825332,223706,1308599,1021241,2897219,641570,1817938,650155,12331,758281
595840,596598,Shot,8374.0,975217,975802,4182795,18696,604170,1404686,1825332,223706,1308599,1021241,2897219,641570,1826312,650155,12331,758281
596939,598409,Refulgent Arrow,9055.0,975217,975802,4182795,18696,604170,1404686,1825332,223706,1308599,1021241,2906274,641570,1826312,650155,12331,758281
596939,598409,Burst Shot,20208.0,975217,975802,4203003,18696,604170,1404686,1825332,223706,1308599,1021241,2906274,641570,1826312,650155,12331,758281
