sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Blizzard III,Blizzard IV,Despair,Fire III,Fire IV,Flare Star,High Thunder,Paradox,Thunder (dot),Xenoglossy
53611,54771,Fire IV,300,1.0,1440,290,300,350,580,5100,1000,300,1080,1020,890
25481,55500,Thunder (dot),60,1.0,1440,290,300,350,580,5100,1000,300,1080,1080,890
55802,56562,High Thunder,150,1.0,1440,290,300,350,580,5100,1000,450,1080,1080,890
56891,57423,Auto,90,1.0,1530,290,300,350,580,5100,1000,450,1080,1080,890
56312,57472,Fire IV,300,1.0,1530,290,300,350,580,5400,1000,450,1080,1080,890
55802,58500,Thunder (dot),60,1.0,1530,290,300,350,580,5400,1000,450,1080,1140,890
58142,58762,Flare Star,500,1.0,1530,290,300,350,580,5400,1500,450,1080,1140,890
59671,60203,Auto,90,1.0,1620,290,300,350,580,5400,1500,450,1080,1140,890
59972,60462,Despair,350,1.0,1620,290,300,700,580,5400,1500,450,1080,1140,890
55802,61500,Thunder (dot),60,1.0,1620,290,300,700,580,5400,1500,450,1080,1200,890
61802,62642,Blizzard III,290,1.0,1620,580,300,700,580,5400,1500,450,1080,1200,890
62451,62983,Auto,90,1.0,1710,580,300,700,580,5400,1500,450,1080,1200,890
55802,64500,Thunder (dot),60,1.0,1710,580,300,700,580,5400,1500,450,1080,1260,890
64592,65752,Blizzard IV,300,1.0,1710,580,600,700,580,5400,1500,450,1080,1260,890
65231,65763,Auto,90,1.0,1800,580,600,700,580,5400,1500,450,1080,1260,890
65462,66132,Paradox,540,1.0,1800,580,600,700,580,5400,1500,450,1620,1260,890
55802,67500,Thunder (dot),60,1.0,1800,580,600,700,580,5400,1500,450,1620,1320,890
67612,68282,Paradox,540,1.0,1800,580,600,700,580,5400,1500,450,2160,1320,890
68511,69043,Auto,90,1.0,1890,580,600,700,580,5400,1500,450,2160,1320,890
55802,70500,Thunder (dot),60,1.0,1890,580,600,700,580,5400,1500,450,2160,1380,890
69762,71052,Fire III,290,1.0,1890,580,600,700,870,5400,1500,450,2160,1380,890
71791,72323,Auto,90,1.0,1980,580,600,700,870,5400,1500,450,2160,1380,890
55802,73500,Thunder (dot),60,1.0,1980,580,600,700,870,5400,1500,450,2160,1440,890
73132,74292,Fire IV,300,1.0,1980,580,600,700,870,5700,1500,450,2160,1440,890
75782,76314,Auto,90,1.0,2070,580,600,700,870,5700,1500,450,2160,1440,890
75282,76442,Fire IV,300,1.0,2070,580,600,700,870,6000,1500,450,2160,1440,890
55802,76500,Thunder (dot),60,1.0,2070,580,600,700,870,6000,1500,450,2160,1500,890
77432,78592,Fire IV,300,1.0,2070,580,600,700,870,6300,1500,450,2160,1500,890
55802,79500,Thunder (dot),60,1.0,2070,580,600,700,870,6300,1500,450,2160,1560,890
80082,80614,Auto,90,1.0,2160,580,600,700,870,6300,1500,450,2160,1560,890
79582,80742,Fire IV,300,1.0,2160,580,600,700,870,6600,1500,450,2160,1560,890
55802,82500,Thunder (dot),60,1.0,2160,580,600,700,870,6600,1500,450,2160,1620,890
81732,82892,Fire IV,300,1.0,2160,580,600,700,870,6900,1500,450,2160,1620,890
84382,84914,Auto,90,1.0,2250,580,600,700,870,6900,1500,450,2160,1620,890
83882,85042,Fire IV,300,1.0,2250,580,600,700,870,7200,1500,450,2160,1620,890
55802,85500,Thunder (dot),60,1.0,2250,580,600,700,870,7200,1500,450,2160,1680,890
86462,87222,High Thunder,150,1.0,2250,580,600,700,870,7200,1500,600,2160,1680,890
86462,88500,Thunder (dot),60,1.0,2250,580,600,700,870,7200,1500,600,2160,1740,890
88182,88802,Flare Star,500,1.0,2250,580,600,700,870,7200,2000,600,2160,1740,890
88682,89214,Auto,90,1.0,2340,580,600,700,870,7200,2000,600,2160,1740,890
89112,89602,Despair,350,1.0,2340,580,600,1050,870,7200,2000,600,2160,1740,890
86462,91500,Thunder (dot),60,1.0,2340,580,600,1050,870,7200,2000,600,2160,1800,890
91262,92102,Blizzard III,290,1.0,2340,870,600,1050,870,7200,2000,600,2160,1800,890
91962,92494,Auto,90,1.0,2430,870,600,1050,870,7200,2000,600,2160,1800,890
86462,94500,Thunder (dot),60,1.0,2430,870,600,1050,870,7200,2000,600,2160,1860,890
95242,95774,Auto,90,1.0,2520,870,600,1050,870,7200,2000,600,2160,1860,890
94632,95792,Blizzard IV,300,1.0,2520,870,900,1050,870,7200,2000,600,2160,1860,890
95562,96232,Paradox,540,1.0,2520,870,900,1050,870,7200,2000,600,2700,1860,890
86462,97500,Thunder (dot),60,1.0,2520,870,900,1050,870,7200,2000,600,2700,1920,890
97712,98382,Paradox,540,1.0,2520,870,900,1050,870,7200,2000,600,3240,1920,890
98522,99054,Auto,90,1.0,2610,870,900,1050,870,7200,2000,600,3240,1920,890
86462,100500,Thunder (dot),60,1.0,2610,870,900,1050,870,7200,2000,600,3240,1980,890
99862,101152,Fire III,290,1.0,2610,870,900,1050,1160,7200,2000,600,3240,1980,890
101802,102334,Auto,90,1.0,2700,870,900,1050,1160,7200,2000,600,3240,1980,890
86462,103500,Thunder (dot),60,1.0,2700,870,900,1050,1160,7200,2000,600,3240,2040,890
103232,104392,Fire IV,300,1.0,2700,870,900,1050,1160,7500,2000,600,3240,2040,890
105882,106414,Auto,90,1.0,2790,870,900,1050,1160,7500,2000,600,3240,2040,890
86462,106500,Thunder (dot),60,1.0,2790,870,900,1050,1160,7500,2000,600,3240,2100,890
