sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
24328,25088,Fleeting Raiju,104425.0,0,0,67806,20170,115209,59667,44058,80541,313275,44376,74587,44058,0,252114,94931,75279,331167,30530,0,145545,164100,126801
25176,25176,Fleeting Raiju (pet),19210.0,0,0,67806,20170,115209,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,30530,0,145545,164100,126801
24765,25297,Auto,9871.0,0,0,67806,20170,125080,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,30530,0,145545,164100,126801
26536,26536,Spinning Edge (pet),16383.0,0,0,67806,20170,125080,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,30530,16383,145545,164100,126801
26448,26848,Spinning Edge,33044.0,0,0,67806,20170,125080,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,63574,16383,145545,164100,126801
26935,27467,Auto,8419.0,0,0,67806,20170,133499,59667,44058,80541,313275,63586,74587,44058,0,252114,94931,75279,331167,63574,16383,145545,164100,126801
28568,28968,Gust Slash,44058.0,0,0,67806,20170,133499,59667,44058,80541,313275,63586,74587,88116,0,252114,94931,75279,331167,63574,16383,145545,164100,126801
29105,29637,Auto,8419.0,0,0,67806,20170,141918,59667,44058,80541,313275,63586,74587,88116,0,252114,94931,75279,331167,63574,16383,145545,164100,126801
30689,31229,Aeolian Edge,61682.0,61682,0,67806,20170,141918,59667,44058,80541,313275,63586,74587,88116,0,252114,94931,75279,331167,63574,16383,145545,164100,126801
31275,31807,Auto,8419.0,61682,0,67806,20170,150337,59667,44058,80541,313275,63586,74587,88116,0,252114,94931,75279,331167,63574,16383,145545,164100,126801
32809,33209,Spinning Edge,30530.0,61682,0,67806,20170,150337,59667,44058,80541,313275,63586,74587,88116,0,252114,94931,75279,331167,94104,16383,145545,164100,126801
33445,33977,Auto,7779.0,61682,0,67806,20170,158116,59667,44058,80541,313275,63586,74587,88116,0,252114,94931,75279,331167,94104,16383,145545,164100,126801
34929,35329,Gust Slash,40707.0,61682,0,67806,20170,158116,59667,44058,80541,313275,63586,74587,128823,0,252114,94931,75279,331167,94104,16383,145545,164100,126801
35615,36147,Auto,7779.0,61682,0,67806,20170,165895,59667,44058,80541,313275,63586,74587,128823,0,252114,94931,75279,331167,94104,16383,145545,164100,126801
37049,37669,Armor Crush,50884.0,61682,0,118690,20170,165895,59667,44058,80541,313275,63586,74587,128823,0,252114,94931,75279,331167,94104,16383,145545,164100,126801
37785,38317,Auto,7779.0,61682,0,118690,20170,173674,59667,44058,80541,313275,63586,74587,128823,0,252114,94931,75279,331167,94104,16383,145545,164100,126801
39169,39569,Spinning Edge,30530.0,61682,0,118690,20170,173674,59667,44058,80541,313275,63586,74587,128823,0,252114,94931,75279,331167,124634,16383,145545,164100,126801
39955,40487,Auto,7779.0,61682,0,118690,20170,181453,59667,44058,80541,313275,63586,74587,128823,0,252114,94931,75279,331167,124634,16383,145545,164100,126801
41289,41689,Gust Slash,40707.0,61682,0,118690,20170,181453,59667,44058,80541,313275,63586,74587,169530,0,252114,94931,75279,331167,124634,16383,145545,164100,126801
42125,42657,Auto,7779.0,61682,0,118690,20170,189232,59667,44058,80541,313275,63586,74587,169530,0,252114,94931,75279,331167,124634,16383,145545,164100,126801
43409,43949,Aeolian Edge,56992.0,118674,0,118690,20170,189232,59667,44058,80541,313275,63586,74587,169530,0,252114,94931,75279,331167,124634,16383,145545,164100,126801
44029,44649,Bhavacakra,40707.0,118674,0,118690,20170,189232,100374,44058,80541,313275,63586,74587,169530,0,252114,94931,75279,331167,124634,16383,145545,164100,126801
44295,44827,Auto,7779.0,118674,0,118690,20170,197011,100374,44058,80541,313275,63586,74587,169530,0,252114,94931,75279,331167,124634,16383,145545,164100,126801
45529,45929,Spinning Edge,30530.0,118674,0,118690,20170,197011,100374,44058,80541,313275,63586,74587,169530,0,252114,94931,75279,331167,155164,16383,145545,164100,126801
46465,46997,Auto,7779.0,118674,0,118690,20170,204790,100374,44058,80541,313275,63586,74587,169530,0,252114,94931,75279,331167,155164,16383,145545,164100,126801
47650,48050,Gust Slash,40707.0,118674,0,118690,20170,204790,100374,44058,80541,313275,63586,74587,210237,0,252114,94931,75279,331167,155164,16383,145545,164100,126801
48635,49167,Auto,7779.0,118674,0,118690,20170,212569,100374,44058,80541,313275,63586,74587,210237,0,252114,94931,75279,331167,155164,16383,145545,164100,126801
49770,50390,Armor Crush,50884.0,118674,0,169574,20170,212569,100374,44058,80541,313275,63586,74587,210237,0,252114,94931,75279,331167,155164,16383,145545,164100,126801
50805,51337,Auto,7779.0,118674,0,169574,20170,220348,100374,44058,80541,313275,63586,74587,210237,0,252114,94931,75279,331167,155164,16383,145545,164100,126801
52975,53507,Auto,7779.0,118674,0,169574,20170,228127,100374,44058,80541,313275,63586,74587,210237,0,252114,94931,75279,331167,155164,16383,145545,164100,126801
53391,54371,Suiton,59027.0,118674,0,169574,20170,228127,100374,44058,80541,313275,63586,74587,210237,0,252114,94931,75279,331167,155164,16383,204572,164100,126801
54892,55292,Spinning Edge,30530.0,118674,0,169574,20170,228127,100374,44058,80541,313275,63586,74587,210237,0,252114,94931,75279,331167,185694,16383,204572,164100,126801
55145,55677,Auto,7779.0,118674,0,169574,20170,235906,100374,44058,80541,313275,63586,74587,210237,0,252114,94931,75279,331167,185694,16383,204572,164100,126801
57012,57412,Gust Slash,40707.0,118674,0,169574,20170,235906,100374,44058,80541,313275,63586,74587,250944,0,252114,94931,75279,331167,185694,16383,204572,164100,126801
