sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
1310,4500,Combust III (dot),9994.0,0,9994,0,0,0,0
3620,4690,Fall Malefic,37833.0,0,9994,37833,0,0,0
4500,5032,Auto,0.0,0,9994,37833,0,0,0
5960,7030,Fall Malefic,42109.0,0,9994,79942,0,0,0
1310,7500,Combust III (dot),9994.0,0,19988,79942,0,0,0
7200,7820,Lord of Crowns,65691.0,0,19988,79942,65691,0,0
8000,8000,Stellar Explosion (pet),48932.0,0,19988,79942,65691,0,48932
7700,8232,Auto,0.0,0,19988,79942,65691,0,48932
8270,9340,Fall Malefic,44293.0,0,19988,124235,65691,0,48932
1310,10500,Combust III (dot),9994.0,0,29982,124235,65691,0,48932
10900,11432,Auto,0.0,0,29982,124235,65691,0,48932
10580,11650,Fall Malefic,44293.0,0,29982,168528,65691,0,48932
11200,12940,Oracle,141177.0,0,29982,168528,65691,141177,48932
1310,13500,Combust III (dot),9994.0,0,39976,168528,65691,141177,48932
12890,13960,Fall Malefic,44293.0,0,39976,212821,65691,141177,48932
14100,14632,Auto,0.0,0,39976,212821,65691,141177,48932
1310,16500,Combust III (dot),9994.0,0,49970,212821,65691,141177,48932
16090,17160,Fall Malefic,44293.0,0,49970,257114,65691,141177,48932
17300,17832,Auto,0.0,0,49970,257114,65691,141177,48932
18400,19470,Fall Malefic,44293.0,0,49970,301407,65691,141177,48932
1310,19500,Combust III (dot),9994.0,0,59964,301407,65691,141177,48932
21210,21742,Auto,0.0,0,59964,301407,65691,141177,48932
20710,21780,Fall Malefic,44293.0,0,59964,345700,65691,141177,48932
1310,22500,Combust III (dot),9994.0,0,69958,345700,65691,141177,48932
23020,24090,Fall Malefic,44293.0,0,69958,389993,65691,141177,48932
24410,24942,Auto,0.0,0,69958,389993,65691,141177,48932
24440,25500,Combust III (dot),12285.0,0,82243,389993,65691,141177,48932
26750,27820,Fall Malefic,36032.0,0,82243,426025,65691,141177,48932
27610,28142,Auto,0.0,0,82243,426025,65691,141177,48932
24440,28500,Combust III (dot),12285.0,0,94528,426025,65691,141177,48932
29950,31020,Fall Malefic,36032.0,0,94528,462057,65691,141177,48932
30810,31342,Auto,0.0,0,94528,462057,65691,141177,48932
24440,31500,Combust III (dot),12285.0,0,106813,462057,65691,141177,48932
32260,33330,Fall Malefic,33295.0,0,106813,495352,65691,141177,48932
24440,34500,Combust III (dot),12285.0,0,119098,495352,65691,141177,48932
35070,35602,Auto,0.0,0,119098,495352,65691,141177,48932
34570,35640,Fall Malefic,33295.0,0,119098,528647,65691,141177,48932
24440,37500,Combust III (dot),12285.0,0,131383,528647,65691,141177,48932
36880,37950,Fall Malefic,33295.0,0,131383,561942,65691,141177,48932
38270,38802,Auto,0.0,0,131383,561942,65691,141177,48932
39190,40260,Fall Malefic,33295.0,0,131383,595237,65691,141177,48932
24440,40500,Combust III (dot),12285.0,0,143668,595237,65691,141177,48932
42001,42533,Auto,0.0,0,143668,595237,65691,141177,48932
41501,42571,Fall Malefic,33295.0,0,143668,628532,65691,141177,48932
24440,43500,Combust III (dot),12285.0,0,155953,628532,65691,141177,48932
43811,44881,Fall Malefic,33295.0,0,155953,661827,65691,141177,48932
45201,45733,Auto,0.0,0,155953,661827,65691,141177,48932
24440,46500,Combust III (dot),12285.0,0,168238,661827,65691,141177,48932
46121,47191,Fall Malefic,33295.0,0,168238,695122,65691,141177,48932
48931,49463,Auto,0.0,0,168238,695122,65691,141177,48932
24440,49500,Combust III (dot),12285.0,0,180523,695122,65691,141177,48932
48431,49501,Fall Malefic,33295.0,0,180523,728417,65691,141177,48932
50741,51811,Fall Malefic,33295.0,0,180523,761712,65691,141177,48932
24440,52500,Combust III (dot),12285.0,0,192808,761712,65691,141177,48932
52131,52663,Auto,0.0,0,192808,761712,65691,141177,48932
53051,54121,Fall Malefic,33295.0,0,192808,795007,65691,141177,48932
54471,55500,Combust III (dot),9233.0,0,202041,795007,65691,141177,48932
55331,55863,Auto,0.0,0,202041,795007,65691,141177,48932
54471,58500,Combust III (dot),9233.0,0,211274,795007,65691,141177,48932
57671,58741,Fall Malefic,33295.0,0,211274,828302,65691,141177,48932
58531,59063,Auto,0.0,0,211274,828302,65691,141177,48932
59981,61051,Fall Malefic,33295.0,0,211274,861597,65691,141177,48932
54471,61500,Combust III (dot),9233.0,0,220507,861597,65691,141177,48932
62791,63323,Auto,0.0,0,220507,861597,65691,141177,48932
62291,63361,Fall Malefic,33295.0,0,220507,894892,65691,141177,48932
