sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Gekko,Gyofu,Higanbana,Higanbana (dot),Hissatsu: Gyoten,Hissatsu: Senei,Hissatsu: Shinten,Jinpu,Kaeshi: Namikiri,Kaeshi: Setsugekka,Kasha,Midare Setsugekka,Ogi Namikiri,Shifu,Shoha,Tendo Kaeshi Setsugekka,Tendo Setsugekka,Yukikaze,Zanshin
-650,110,Gekko,42462.0,0,42462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,642,Auto,9146.0,9146,42462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1820,2440,Kasha,51930.0,9146,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,0,0,0
2750,3282,Auto,9898.0,19044,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,0,0,0
4291,5091,Yukikaze,42037.0,19044,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,0,42037,0
5040,5572,Auto,9898.0,28942,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,0,42037,0
7041,8071,Tendo Setsugekka,188493.0,28942,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,188493,42037,0
7541,8073,Auto,9898.0,38840,42462,0,0,0,0,0,0,0,0,0,51930,0,0,0,0,0,188493,42037,0
7831,8501,Hissatsu: Senei,98921.0,38840,42462,0,0,0,0,98921,0,0,0,0,51930,0,0,0,0,0,188493,42037,0
8571,9601,Tendo Kaeshi Setsugekka,188493.0,38840,42462,0,0,0,0,98921,0,0,0,0,51930,0,0,0,0,188493,188493,42037,0
9831,10363,Auto,9898.0,48738,42462,0,0,0,0,98921,0,0,0,0,51930,0,0,0,0,188493,188493,42037,0
9811,10841,Zanshin,116232.0,48738,42462,0,0,0,0,98921,0,0,0,0,51930,0,0,0,0,188493,188493,42037,116232
