sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,550,26088.51,210.097,25453.154,361.358,157845,19122878,271487
Glare III,226,46441.916,105.285,13970.338,225.937,79100,10495873,169746
Dia (dot),246,11595.146,27.832,3796.642,58.852,20910,2852406,44215
Afflatus Misery,13,193231.769,24.225,3343.569,225.66,18200,2512013,169538
Glare IV,21,92903.429,17.889,2596.805,137.723,13440,1950972,103471
Assize,19,54151.421,10.116,1369.468,76.438,7600,1028877,57428
Dia,25,11309.48,2.828,376.332,18.298,2125,282737,13747
