sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
24328,25088,Fleeting Raiju,91729.0,0,0,59563,17718,104246,52413,44058,70749,275187,38980,65519,44058,0,221463,83390,75279,290904,30530,0,135026,144149,111385
25176,25176,Fleeting Raiju (pet),16875.0,0,0,59563,17718,104246,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,30530,0,135026,144149,111385
24765,25297,Auto,8671.0,0,0,59563,17718,112917,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,30530,0,135026,144149,111385
26536,26536,Spinning Edge (pet),16383.0,0,0,59563,17718,112917,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,30530,16383,135026,144149,111385
26448,26848,Spinning Edge,33044.0,0,0,59563,17718,112917,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,63574,16383,135026,144149,111385
26935,27467,Auto,8419.0,0,0,59563,17718,121336,52413,44058,70749,275187,55855,65519,44058,0,221463,83390,75279,290904,63574,16383,135026,144149,111385
28568,28968,Gust Slash,44058.0,0,0,59563,17718,121336,52413,44058,70749,275187,55855,65519,88116,0,221463,83390,75279,290904,63574,16383,135026,144149,111385
29105,29637,Auto,8419.0,0,0,59563,17718,129755,52413,44058,70749,275187,55855,65519,88116,0,221463,83390,75279,290904,63574,16383,135026,144149,111385
30689,31229,Aeolian Edge,61682.0,61682,0,59563,17718,129755,52413,44058,70749,275187,55855,65519,88116,0,221463,83390,75279,290904,63574,16383,135026,144149,111385
31275,31807,Auto,8419.0,61682,0,59563,17718,138174,52413,44058,70749,275187,55855,65519,88116,0,221463,83390,75279,290904,63574,16383,135026,144149,111385
32809,33209,Spinning Edge,30530.0,61682,0,59563,17718,138174,52413,44058,70749,275187,55855,65519,88116,0,221463,83390,75279,290904,94104,16383,135026,144149,111385
33445,33977,Auto,7779.0,61682,0,59563,17718,145953,52413,44058,70749,275187,55855,65519,88116,0,221463,83390,75279,290904,94104,16383,135026,144149,111385
34929,35329,Gust Slash,40707.0,61682,0,59563,17718,145953,52413,44058,70749,275187,55855,65519,128823,0,221463,83390,75279,290904,94104,16383,135026,144149,111385
35615,36147,Auto,7779.0,61682,0,59563,17718,153732,52413,44058,70749,275187,55855,65519,128823,0,221463,83390,75279,290904,94104,16383,135026,144149,111385
37049,37669,Armor Crush,50884.0,61682,0,110447,17718,153732,52413,44058,70749,275187,55855,65519,128823,0,221463,83390,75279,290904,94104,16383,135026,144149,111385
37785,38317,Auto,7779.0,61682,0,110447,17718,161511,52413,44058,70749,275187,55855,65519,128823,0,221463,83390,75279,290904,94104,16383,135026,144149,111385
39169,39569,Spinning Edge,30530.0,61682,0,110447,17718,161511,52413,44058,70749,275187,55855,65519,128823,0,221463,83390,75279,290904,124634,16383,135026,144149,111385
39955,40487,Auto,7779.0,61682,0,110447,17718,169290,52413,44058,70749,275187,55855,65519,128823,0,221463,83390,75279,290904,124634,16383,135026,144149,111385
41289,41689,Gust Slash,40707.0,61682,0,110447,17718,169290,52413,44058,70749,275187,55855,65519,169530,0,221463,83390,75279,290904,124634,16383,135026,144149,111385
42125,42657,Auto,7779.0,61682,0,110447,17718,177069,52413,44058,70749,275187,55855,65519,169530,0,221463,83390,75279,290904,124634,16383,135026,144149,111385
43409,43949,Aeolian Edge,56992.0,118674,0,110447,17718,177069,52413,44058,70749,275187,55855,65519,169530,0,221463,83390,75279,290904,124634,16383,135026,144149,111385
44029,44649,Bhavacakra,40707.0,118674,0,110447,17718,177069,93120,44058,70749,275187,55855,65519,169530,0,221463,83390,75279,290904,124634,16383,135026,144149,111385
44295,44827,Auto,7779.0,118674,0,110447,17718,184848,93120,44058,70749,275187,55855,65519,169530,0,221463,83390,75279,290904,124634,16383,135026,144149,111385
45529,45929,Spinning Edge,30530.0,118674,0,110447,17718,184848,93120,44058,70749,275187,55855,65519,169530,0,221463,83390,75279,290904,155164,16383,135026,144149,111385
46465,46997,Auto,7779.0,118674,0,110447,17718,192627,93120,44058,70749,275187,55855,65519,169530,0,221463,83390,75279,290904,155164,16383,135026,144149,111385
47650,48050,Gust Slash,40707.0,118674,0,110447,17718,192627,93120,44058,70749,275187,55855,65519,210237,0,221463,83390,75279,290904,155164,16383,135026,144149,111385
