sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Apex Arrow,Blast Arrow,Burst Shot,Caustic Bite,Caustic Bite (dot),Empyreal Arrow,Heartbreak Shot,Iron Jaws,Pitch Perfect,Radiant Encore,Refulgent Arrow,Resonant Arrow,Shot,Sidewinder,Stormbite,Stormbite (dot)
225703,256500,Caustic Bite (dot),2484.0,447155,444428,1809303,18696,262686,618273,845545,91669,621895,601734,1226559,268403,810753,349594,12331,328198
225703,256500,Stormbite (dot),3106.0,447155,444428,1809303,18696,262686,618273,845545,91669,621895,601734,1226559,268403,810753,349594,12331,331304
254914,256564,Heartbreak Shot,17252.0,447155,444428,1809303,18696,262686,618273,862797,91669,621895,601734,1226559,268403,810753,349594,12331,331304
256784,257584,Pitch Perfect,25579.0,447155,444428,1809303,18696,262686,618273,862797,91669,647474,601734,1226559,268403,810753,349594,12331,331304
256164,257634,Refulgent Arrow,57513.0,447155,444428,1809303,18696,262686,618273,862797,91669,647474,601734,1284072,268403,810753,349594,12331,331304
256164,257754,Refulgent Arrow,57513.0,447155,444428,1809303,18696,262686,618273,862797,91669,647474,601734,1341585,268403,810753,349594,12331,331304
256164,257874,Refulgent Arrow,57513.0,447155,444428,1809303,18696,262686,618273,862797,91669,647474,601734,1399098,268403,810753,349594,12331,331304
256784,258434,Heartbreak Shot,1345.0,447155,444428,1809303,18696,262686,618273,864142,91669,647474,601734,1399098,268403,810753,349594,12331,331304
258400,259158,Shot,13849.0,447155,444428,1809303,18696,262686,618273,864142,91669,647474,601734,1399098,268403,824602,349594,12331,331304
225703,259500,Caustic Bite (dot),2484.0,447155,444428,1809303,18696,265170,618273,864142,91669,647474,601734,1399098,268403,824602,349594,12331,331304
225703,259500,Stormbite (dot),3106.0,447155,444428,1809303,18696,265170,618273,864142,91669,647474,601734,1399098,268403,824602,349594,12331,334410
259304,260104,Pitch Perfect,24973.0,447155,444428,1809303,18696,265170,618273,864142,91669,672447,601734,1399098,268403,824602,349594,12331,334410
258654,260124,Refulgent Arrow,15051.0,447155,444428,1809303,18696,265170,618273,864142,91669,672447,601734,1414149,268403,824602,349594,12331,334410
258654,260124,Burst Shot,33363.0,447155,444428,1842666,18696,265170,618273,864142,91669,672447,601734,1414149,268403,824602,349594,12331,334410
261440,262198,Shot,13849.0,447155,444428,1842666,18696,265170,618273,864142,91669,672447,601734,1414149,268403,838451,349594,12331,334410
261144,262304,Resonant Arrow,131472.0,447155,444428,1842666,18696,265170,618273,864142,91669,672447,601734,1414149,399875,838451,349594,12331,334410
225703,262500,Caustic Bite (dot),2484.0,447155,444428,1842666,18696,267654,618273,864142,91669,672447,601734,1414149,399875,838451,349594,12331,334410
225703,262500,Stormbite (dot),3106.0,447155,444428,1842666,18696,267654,618273,864142,91669,672447,601734,1414149,399875,838451,349594,12331,337516
262444,263244,Pitch Perfect,14560.0,447155,444428,1842666,18696,267654,618273,864142,91669,687007,601734,1414149,399875,838451,349594,12331,337516
261794,263444,Heartbreak Shot,18368.0,447155,444428,1842666,18696,267654,618273,882510,91669,687007,601734,1414149,399875,838451,349594,12331,337516
263634,264304,Iron Jaws,20536.0,447155,444428,1842666,18696,267654,618273,882510,112205,687007,601734,1414149,399875,838451,349594,12331,337516
264480,265238,Shot,13849.0,447155,444428,1842666,18696,267654,618273,882510,112205,687007,601734,1414149,399875,852300,349594,12331,337516
264254,265284,Empyreal Arrow,53410.0,447155,444428,1842666,18696,267654,671683,882510,112205,687007,601734,1414149,399875,852300,349594,12331,337516
263634,265500,Caustic Bite (dot),4108.0,447155,444428,1842666,18696,271762,671683,882510,112205,687007,601734,1414149,399875,852300,349594,12331,337516
263634,265500,Stormbite (dot),5137.0,447155,444428,1842666,18696,271762,671683,882510,112205,687007,601734,1414149,399875,852300,349594,12331,342653
264874,265674,Pitch Perfect,24203.0,447155,444428,1842666,18696,271762,671683,882510,112205,711210,601734,1414149,399875,852300,349594,12331,342653
265494,266294,Pitch Perfect,23102.0,447155,444428,1842666,18696,271762,671683,882510,112205,734312,601734,1414149,399875,852300,349594,12331,342653
266124,267594,Burst Shot,18335.0,447155,444428,1861001,18696,271762,671683,882510,112205,734312,601734,1414149,399875,852300,349594,12331,342653
266124,267594,Refulgent Arrow,25916.0,447155,444428,1861001,18696,271762,671683,882510,112205,734312,601734,1440065,399875,852300,349594,12331,342653
267520,268278,Shot,9665.0,447155,444428,1861001,18696,271762,671683,882510,112205,734312,601734,1440065,399875,861965,349594,12331,342653
263634,268500,Caustic Bite (dot),4108.0,447155,444428,1861001,18696,275870,671683,882510,112205,734312,601734,1440065,399875,861965,349594,12331,342653
263634,268500,Stormbite (dot),5137.0,447155,444428,1861001,18696,275870,671683,882510,112205,734312,601734,1440065,399875,861965,349594,12331,347790
269264,270064,Pitch Perfect,11138.0,447155,444428,1861001,18696,275870,671683,882510,112205,745450,601734,1440065,399875,861965,349594,12331,347790
268614,270084,Refulgent Arrow,8994.0,447155,444428,1861001,18696,275870,671683,882510,112205,745450,601734,1449059,399875,861965,349594,12331,347790
268614,270084,Burst Shot,20356.0,447155,444428,1881357,18696,275870,671683,882510,112205,745450,601734,1449059,399875,861965,349594,12331,347790
269264,270914,Heartbreak Shot,8482.0,447155,444428,1881357,18696,275870,671683,890992,112205,745450,601734,1449059,399875,861965,349594,12331,347790
