sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abyssal Drain (pet),Auto,Bloodspiller,Bloodspiller (pet),Carve and Spit,Comeuppance,Disesteem,Disesteem (pet),Edge of Shadow,Edge of Shadow (pet),Hard Slash,Salt and Darkness,Salted Earth,Salted Earth (dot),Scarlet Delirium,Shadowbringer,Shadowbringer (pet),Souleater,Syphon Strike,Torcleaver
0,581,Hard Slash,24258.0,0,0,0,0,0,0,0,0,0,0,24258,0,0,0,0,0,0,0,0,0
581,1113,Auto,7242.0,0,7242,0,0,0,0,0,0,0,0,24258,0,0,0,0,0,0,0,0,0
1750,2374,Edge of Shadow,40675.0,0,7242,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,0,0
2500,3124,Syphon Strike,36956.0,0,7242,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,36956,0
3541,4073,Auto,8621.0,0,15863,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,36956,0
5000,5624,Souleater,46684.0,0,15863,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,46684,36956,0
6501,7033,Auto,10494.0,0,26357,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,46684,36956,0
6250,7150,Salted Earth,5801.0,0,26357,0,0,0,0,0,0,40675,0,24258,0,5801,0,0,0,0,46684,36956,0
6250,7500,Salted Earth (dot),5801.0,0,26357,0,0,0,0,0,0,40675,0,24258,0,5801,5801,0,0,0,46684,36956,0
7500,8081,Hard Slash,35518.0,0,26357,0,0,0,0,0,0,40675,0,59776,0,5801,5801,0,0,0,46684,36956,0
8125,8749,Edge of Shadow,54466.0,0,26357,0,0,0,0,0,0,95141,0,59776,0,5801,5801,0,0,0,46684,36956,0
8750,9416,Shadowbringer,71041.0,0,26357,0,0,0,0,0,0,95141,0,59776,0,5801,5801,0,71041,0,46684,36956,0
9925,9925,Abyssal Drain (pet),52777.0,52777,26357,0,0,0,0,0,0,95141,0,59776,0,5801,5801,0,71041,0,46684,36956,0
9461,9993,Auto,10494.0,52777,36851,0,0,0,0,0,0,95141,0,59776,0,5801,5801,0,71041,0,46684,36956,0
