sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
459125,460148,Circle of Scorn,11164.0,811642,1218481,634650,835058,734840,835058,206150,208850,835058,627082,369953,584528,931436,484312,250452,558509,808556,931226,861133
459125,460500,Circle of Scorn (dot),2392.0,811642,1218481,634650,835058,734840,835058,206150,211242,835058,627082,369953,584528,931436,484312,250452,558509,808556,931226,861133
461625,461982,Expiacion,35904.0,811642,1218481,634650,835058,734840,835058,206150,211242,835058,662986,369953,584528,931436,484312,250452,558509,808556,931226,861133
461000,462160,Supplication,39894.0,811642,1218481,634650,835058,734840,835058,206150,211242,835058,662986,369953,584528,931436,484312,250452,558509,808556,931226,901027
461698,462230,Auto,5328.0,811642,1223809,634650,835058,734840,835058,206150,211242,835058,662986,369953,584528,931436,484312,250452,558509,808556,931226,901027
459125,463500,Circle of Scorn (dot),2392.0,811642,1223809,634650,835058,734840,835058,206150,213634,835058,662986,369953,584528,931436,484312,250452,558509,808556,931226,901027
463938,464470,Auto,5328.0,811642,1229137,634650,835058,734840,835058,206150,213634,835058,662986,369953,584528,931436,484312,250452,558509,808556,931226,901027
463500,464790,Sepulchre,43082.0,811642,1229137,634650,835058,734840,835058,206150,213634,835058,662986,369953,584528,931436,484312,250452,558509,808556,974308,901027
459125,466500,Circle of Scorn (dot),2392.0,811642,1229137,634650,835058,734840,835058,206150,216026,835058,662986,369953,584528,931436,484312,250452,558509,808556,974308,901027
466178,466710,Auto,5328.0,811642,1234465,634650,835058,734840,835058,206150,216026,835058,662986,369953,584528,931436,484312,250452,558509,808556,974308,901027
466000,466758,Holy Spirit,39894.0,811642,1234465,634650,835058,734840,835058,206150,216026,835058,662986,369953,584528,971330,484312,250452,558509,808556,974308,901027
468418,468950,Auto,5328.0,811642,1239793,634650,835058,734840,835058,206150,216026,835058,662986,369953,584528,971330,484312,250452,558509,808556,974308,901027
468500,469123,Fast Blade,17548.0,811642,1239793,634650,835058,734840,835058,206150,216026,835058,662986,387501,584528,971330,484312,250452,558509,808556,974308,901027
459125,469500,Circle of Scorn (dot),2392.0,811642,1239793,634650,835058,734840,835058,206150,218418,835058,662986,387501,584528,971330,484312,250452,558509,808556,974308,901027
470658,471190,Auto,5328.0,811642,1245121,634650,835058,734840,835058,206150,218418,835058,662986,387501,584528,971330,484312,250452,558509,808556,974308,901027
471000,471758,Riot Blade,26327.0,811642,1245121,634650,835058,734840,835058,206150,218418,835058,662986,387501,584528,971330,484312,250452,584836,808556,974308,901027
459125,472500,Circle of Scorn (dot),2392.0,811642,1245121,634650,835058,734840,835058,206150,220810,835058,662986,387501,584528,971330,484312,250452,584836,808556,974308,901027
472898,473430,Auto,5328.0,811642,1250449,634650,835058,734840,835058,206150,220810,835058,662986,387501,584528,971330,484312,250452,584836,808556,974308,901027
473500,474078,Royal Authority,36701.0,811642,1250449,634650,835058,734840,835058,206150,220810,835058,662986,387501,584528,971330,484312,250452,584836,845257,974308,901027
475138,475670,Auto,5328.0,811642,1255777,634650,835058,734840,835058,206150,220810,835058,662986,387501,584528,971330,484312,250452,584836,845257,974308,901027
476000,476623,Fast Blade,17548.0,811642,1255777,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,971330,484312,250452,584836,845257,974308,901027
477378,477910,Auto,5328.0,811642,1261105,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,971330,484312,250452,584836,845257,974308,901027
478500,479258,Riot Blade,26327.0,811642,1261105,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,971330,484312,250452,611163,845257,974308,901027
479618,480150,Auto,5328.0,811642,1266433,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,971330,484312,250452,611163,845257,974308,901027
481000,481758,Holy Spirit,39894.0,811642,1266433,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,1011224,484312,250452,611163,845257,974308,901027
481858,482390,Auto,5328.0,811642,1271761,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,1011224,484312,250452,611163,845257,974308,901027
484098,484630,Auto,5328.0,811642,1277089,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,1011224,484312,250452,611163,845257,974308,901027
483500,484793,Atonement,36701.0,848343,1277089,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,1011224,484312,250452,611163,845257,974308,901027
486338,486870,Auto,5595.0,848343,1282684,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,1011224,484312,250452,611163,845257,974308,901027
486000,487160,Supplication,39894.0,848343,1282684,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,1011224,484312,250452,611163,845257,974308,940921
487250,488540,Imperator,60736.0,848343,1282684,634650,835058,734840,835058,206150,220810,835058,662986,405049,584528,1011224,545048,250452,611163,845257,974308,940921
488500,489034,Goring Blade,73305.0,848343,1282684,634650,835058,734840,835058,206150,220810,835058,662986,405049,657833,1011224,545048,250452,611163,845257,974308,940921
488578,489110,Auto,6993.0,848343,1289677,634650,835058,734840,835058,206150,220810,835058,662986,405049,657833,1011224,545048,250452,611163,845257,974308,940921
489125,490148,Circle of Scorn,14653.0,848343,1289677,634650,835058,734840,835058,220803,220810,835058,662986,405049,657833,1011224,545048,250452,611163,845257,974308,940921
489125,490500,Circle of Scorn (dot),3139.0,848343,1289677,634650,835058,734840,835058,220803,223949,835058,662986,405049,657833,1011224,545048,250452,611163,845257,974308,940921
490818,491350,Auto,6993.0,848343,1296670,634650,835058,734840,835058,220803,223949,835058,662986,405049,657833,1011224,545048,250452,611163,845257,974308,940921
491625,491982,Expiacion,47124.0,848343,1296670,634650,835058,734840,835058,220803,223949,835058,710110,405049,657833,1011224,545048,250452,611163,845257,974308,940921
491000,492290,Sepulchre,56545.0,848343,1296670,634650,835058,734840,835058,220803,223949,835058,710110,405049,657833,1011224,545048,250452,611163,845257,1030853,940921
489125,493500,Circle of Scorn (dot),3139.0,848343,1296670,634650,835058,734840,835058,220803,227088,835058,710110,405049,657833,1011224,545048,250452,611163,845257,1030853,940921
493058,493590,Auto,6993.0,848343,1303663,634650,835058,734840,835058,220803,227088,835058,710110,405049,657833,1011224,545048,250452,611163,845257,1030853,940921
493500,494123,Confiteor,104723.0,848343,1303663,634650,835058,734840,835058,220803,227088,939781,710110,405049,657833,1011224,545048,250452,611163,845257,1030853,940921
494125,494703,Intervene,15705.0,848343,1303663,634650,835058,734840,835058,220803,227088,939781,710110,405049,657833,1011224,545048,266157,611163,845257,1030853,940921
495298,495830,Auto,6993.0,848343,1310656,634650,835058,734840,835058,220803,227088,939781,710110,405049,657833,1011224,545048,266157,611163,845257,1030853,940921
489125,496500,Circle of Scorn (dot),3139.0,848343,1310656,634650,835058,734840,835058,220803,230227,939781,710110,405049,657833,1011224,545048,266157,611163,845257,1030853,940921
496000,496666,Blade of Faith,79591.0,848343,1310656,714241,835058,734840,835058,220803,230227,939781,710110,405049,657833,1011224,545048,266157,611163,845257,1030853,940921
496625,497203,Intervene,15705.0,848343,1310656,714241,835058,734840,835058,220803,230227,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
497538,498070,Auto,6993.0,848343,1317649,714241,835058,734840,835058,220803,230227,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
498500,499391,Blade of Truth,92155.0,848343,1317649,714241,835058,826995,835058,220803,230227,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
489125,499500,Circle of Scorn (dot),3139.0,848343,1317649,714241,835058,826995,835058,220803,233366,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
