sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
31560,32092,Auto,90,1.0,1080,680,405,500,920,340,280,460,400,340,380,720,0,640,550,600,700,840,230,340,440
32500,33120,Wheeling Thrust,340,1.0,1080,680,405,500,920,340,280,460,400,340,380,720,0,640,550,600,700,840,230,680,440
30000,34500,Chaotic Spring (dot),45,1.0,1080,680,450,500,920,340,280,460,400,340,380,720,0,640,550,600,700,840,230,680,440
34360,34892,Auto,90,1.0,1170,680,450,500,920,340,280,460,400,340,380,720,0,640,550,600,700,840,230,680,440
35000,35620,Drakesbane,460,1.0,1170,680,450,500,1380,340,280,460,400,340,380,720,0,640,550,600,700,840,230,680,440
30000,37500,Chaotic Spring (dot),45,1.0,1170,680,495,500,1380,340,280,460,400,340,380,720,0,640,550,600,700,840,230,680,440
37160,37692,Auto,90,1.0,1260,680,495,500,1380,340,280,460,400,340,380,720,0,640,550,600,700,840,230,680,440
37500,38120,Raiden Thrust,320,1.0,1260,680,495,500,1380,340,280,460,400,340,380,720,0,960,550,600,700,840,230,680,440
39960,40492,Auto,90,1.0,1350,680,495,500,1380,340,280,460,400,340,380,720,0,960,550,600,700,840,230,680,440
30000,40500,Chaotic Spring (dot),45,1.0,1350,680,540,500,1380,340,280,460,400,340,380,720,0,960,550,600,700,840,230,680,440
40000,40940,Lance Barrage,340,1.0,1350,680,540,500,1380,340,280,460,400,680,380,720,0,960,550,600,700,840,230,680,440
42500,43210,Heavens' Thrust,460,1.0,1350,680,540,500,1380,340,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
42760,43292,Auto,90,1.0,1440,680,540,500,1380,340,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
30000,43500,Chaotic Spring (dot),45,1.0,1440,680,585,500,1380,340,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
45000,45620,Fang and Claw,340,1.0,1440,680,585,500,1380,680,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
45560,46092,Auto,90,1.0,1530,680,585,500,1380,680,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
30000,46500,Chaotic Spring (dot),45,1.0,1530,680,630,500,1380,680,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
47500,48120,Drakesbane,460,1.0,1530,680,630,500,1840,680,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
48360,48892,Auto,90,1.0,1620,680,630,500,1840,680,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
30000,49500,Chaotic Spring (dot),45,1.0,1620,680,675,500,1840,680,280,920,400,680,380,720,0,960,550,600,700,840,230,680,440
50000,50620,Raiden Thrust,320,1.0,1620,680,675,500,1840,680,280,920,400,680,380,720,0,1280,550,600,700,840,230,680,440
51160,51692,Auto,90,1.0,1710,680,675,500,1840,680,280,920,400,680,380,720,0,1280,550,600,700,840,230,680,440
50620,51820,Wyrmwind Thrust,440,1.0,1710,680,675,500,1840,680,280,920,400,680,380,720,0,1280,550,600,700,840,230,680,880
30000,52500,Chaotic Spring (dot),45,1.0,1710,680,720,500,1840,680,280,920,400,680,380,720,0,1280,550,600,700,840,230,680,880
53120,53610,High Jump,400,1.0,1710,680,720,500,1840,680,280,920,800,680,380,720,0,1280,550,600,700,840,230,680,880
52500,53880,Spiral Blow,300,1.0,1710,680,720,500,1840,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,680,880
53960,54492,Auto,90,1.0,1800,680,720,500,1840,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,680,880
55000,55450,Chaotic Spring,340,1.0,1800,1020,720,500,1840,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,680,880
55000,55500,Chaotic Spring (dot),45,1.0,1800,1020,765,500,1840,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,680,880
56760,57292,Auto,90,1.0,1890,1020,765,500,1840,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,680,880
57500,58120,Wheeling Thrust,340,1.0,1890,1020,765,500,1840,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,1020,880
55000,58500,Chaotic Spring (dot),45,1.0,1890,1020,810,500,1840,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,1020,880
59560,60092,Auto,90,1.0,1980,1020,810,500,1840,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,1020,880
60000,60620,Drakesbane,460,1.0,1980,1020,810,500,2300,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,1020,880
55000,61500,Chaotic Spring (dot),45,1.0,1980,1020,855,500,2300,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,1020,880
62360,62892,Auto,90,1.0,2070,1020,855,500,2300,680,280,920,800,680,380,720,0,1280,550,900,700,840,230,1020,880
62500,63120,Raiden Thrust,320,1.0,2070,1020,855,500,2300,680,280,920,800,680,380,720,0,1600,550,900,700,840,230,1020,880
55000,64500,Chaotic Spring (dot),45,1.0,2070,1020,900,500,2300,680,280,920,800,680,380,720,0,1600,550,900,700,840,230,1020,880
65160,65692,Auto,90,1.0,2160,1020,900,500,2300,680,280,920,800,680,380,720,0,1600,550,900,700,840,230,1020,880
65000,65940,Lance Barrage,340,1.0,2160,1020,900,500,2300,680,280,920,800,1020,380,720,0,1600,550,900,700,840,230,1020,880
66240,66910,Geirskogul,280,1.0,2160,1020,900,500,2300,680,560,920,800,1020,380,720,0,1600,550,900,700,840,230,1020,880
