sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
25960,26492,Auto,13506.0,149561,46401,42959,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,31269,140250,168297,23973,68118,0
25620,26820,Wyrmwind Thrust,77806.0,149561,46401,42959,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,31269,140250,168297,23973,68118,77806
5000,28500,Chaotic Spring (dot),6137.0,149561,46401,49096,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,31269,140250,168297,23973,68118,77806
27500,28880,Spiral Blow,37218.0,149561,46401,49096,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,68118,77806
28760,29292,Auto,10412.0,159973,46401,49096,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,68118,77806
30000,30450,Chaotic Spring,42182.0,159973,88583,49096,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,68118,77806
30000,31500,Chaotic Spring (dot),5579.0,159973,88583,54675,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,68118,77806
31560,32092,Auto,10412.0,170385,88583,54675,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,68118,77806
32500,33120,Wheeling Thrust,42182.0,170385,88583,54675,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,110300,77806
30000,34500,Chaotic Spring (dot),5579.0,170385,88583,60254,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,110300,77806
34360,34892,Auto,9619.0,180004,88583,60254,100174,222236,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,110300,77806
