sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
54151,55531,Hammer Stamp,130479.0,143433,0,280096,117220,179070,0,132678,192453,316229,0,190519,189669,117220,324502,0,205461,171466,179070,154236,152414
56111,56643,Auto,0.0,143433,0,280096,117220,179070,0,132678,192453,316229,0,190519,189669,117220,324502,0,205461,171466,179070,154236,152414
56651,57901,Hammer Brush,135187.0,143433,0,280096,117220,179070,0,132678,327640,316229,0,190519,189669,117220,324502,0,205461,171466,179070,154236,152414
59071,59603,Auto,0.0,143433,0,280096,117220,179070,0,132678,327640,316229,0,190519,189669,117220,324502,0,205461,171466,179070,154236,152414
59151,61251,Polishing Hammer,139897.0,143433,0,280096,117220,179070,0,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
64651,65183,Auto,0.0,143433,0,280096,117220,179070,0,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
65651,67521,Comet in Black,127189.0,143433,0,280096,117220,306259,0,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
67611,68143,Auto,0.0,143433,0,280096,117220,306259,0,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
71952,72484,Auto,0.0,143433,0,280096,117220,306259,0,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
75952,76484,Auto,0.0,143433,0,280096,117220,306259,0,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
76052,77212,Fanged Muse,108258.0,143433,0,280096,117220,306259,108258,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
79952,80484,Auto,0.0,143433,0,280096,117220,306259,108258,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
82752,83502,Blizzard in Cyan,115966.0,143433,0,396062,117220,306259,108258,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
83252,83784,Auto,0.0,143433,0,396062,117220,306259,108258,132678,327640,316229,0,190519,329566,117220,324502,0,205461,171466,179070,154236,152414
86052,86852,Stone in Yellow,121415.0,143433,0,396062,117220,306259,108258,132678,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,154236,152414
86552,87084,Auto,0.0,143433,0,396062,117220,306259,108258,132678,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,154236,152414
88552,89532,Water in Blue,76854.0,143433,0,396062,117220,306259,108258,132678,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,231090,152414
89512,90044,Auto,0.0,143433,0,396062,117220,306259,108258,132678,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,231090,152414
91052,91892,Fire in Red,66089.0,143433,0,396062,117220,306259,108258,198767,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,231090,152414
92472,93004,Auto,0.0,143433,0,396062,117220,306259,108258,198767,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,231090,152414
93552,94442,Aero in Green,71472.0,214905,0,396062,117220,306259,108258,198767,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,231090,152414
96052,97032,Water in Blue,76854.0,214905,0,396062,117220,306259,108258,198767,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,307944,152414
96552,97084,Auto,0.0,214905,0,396062,117220,306259,108258,198767,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,307944,152414
98552,99392,Fire in Red,66089.0,214905,0,396062,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,307944,152414
99512,100044,Auto,0.0,214905,0,396062,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,307944,152414
101052,101942,Aero in Green,71472.0,286377,0,396062,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,307944,152414
102472,103004,Auto,0.0,286377,0,396062,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,307944,152414
103552,104532,Water in Blue,76854.0,286377,0,396062,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,384798,152414
106852,107602,Blizzard in Cyan,115966.0,286377,0,512028,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,384798,152414
107352,107884,Auto,0.0,286377,0,512028,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,292881,179070,384798,152414
110152,110952,Stone in Yellow,121415.0,286377,0,512028,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,414296,179070,384798,152414
110652,111184,Auto,0.0,286377,0,512028,117220,306259,108258,264856,327640,316229,0,190519,329566,117220,324502,0,205461,414296,179070,384798,152414
111652,113032,Hammer Stamp,130154.0,286377,0,512028,117220,306259,108258,264856,327640,446383,0,190519,329566,117220,324502,0,205461,414296,179070,384798,152414
113612,114144,Auto,0.0,286377,0,512028,117220,306259,108258,264856,327640,446383,0,190519,329566,117220,324502,0,205461,414296,179070,384798,152414
114152,115402,Hammer Brush,134850.0,286377,0,512028,117220,306259,108258,264856,462490,446383,0,190519,329566,117220,324502,0,205461,414296,179070,384798,152414
116572,117104,Auto,0.0,286377,0,512028,117220,306259,108258,264856,462490,446383,0,190519,329566,117220,324502,0,205461,414296,179070,384798,152414
116652,118752,Polishing Hammer,139548.0,286377,0,512028,117220,306259,108258,264856,462490,446383,0,190519,469114,117220,324502,0,205461,414296,179070,384798,152414
122152,122684,Auto,0.0,286377,0,512028,117220,306259,108258,264856,462490,446383,0,190519,469114,117220,324502,0,205461,414296,179070,384798,152414
122253,122873,Pom Muse,108332.0,286377,0,512028,117220,306259,108258,264856,462490,446383,0,190519,469114,225552,324502,0,205461,414296,179070,384798,152414
126153,126685,Auto,0.0,286377,0,512028,117220,306259,108258,264856,462490,446383,0,190519,469114,225552,324502,0,205461,414296,179070,384798,152414
128373,129223,Thunder in Magenta,171978.0,286377,0,512028,117220,306259,108258,264856,462490,446383,0,190519,469114,225552,324502,0,205461,414296,351048,384798,152414
129113,129645,Auto,0.0,286377,0,512028,117220,306259,108258,264856,462490,446383,0,190519,469114,225552,324502,0,205461,414296,351048,384798,152414
129622,131492,Comet in Black,171978.0,286377,0,512028,117220,478237,108258,264856,462490,446383,0,190519,469114,225552,324502,0,205461,414296,351048,384798,152414
131023,132323,Retribution of the Madeen,201274.0,286377,0,512028,117220,478237,108258,264856,462490,446383,0,190519,469114,225552,324502,201274,205461,414296,351048,384798,152414
132073,132605,Auto,0.0,286377,0,512028,117220,478237,108258,264856,462490,446383,0,190519,469114,225552,324502,201274,205461,414296,351048,384798,152414
133313,134063,Blizzard in Cyan,157288.0,286377,0,669316,117220,478237,108258,264856,462490,446383,0,190519,469114,225552,324502,201274,205461,414296,351048,384798,152414
135033,135565,Auto,0.0,286377,0,669316,117220,478237,108258,264856,462490,446383,0,190519,469114,225552,324502,201274,205461,414296,351048,384798,152414
134563,135813,Star Prism,201274.0,286377,0,669316,117220,478237,108258,264856,462490,446383,0,190519,469114,225552,324502,201274,406735,414296,351048,384798,152414
135263,136243,Winged Muse,146381.0,286377,0,669316,117220,478237,108258,264856,462490,446383,0,190519,469114,225552,324502,201274,406735,414296,351048,384798,298795
136433,138303,Comet in Black,171978.0,286377,0,669316,117220,650215,108258,264856,462490,446383,0,190519,469114,225552,324502,201274,406735,414296,351048,384798,298795
137993,138525,Auto,0.0,286377,0,669316,117220,650215,108258,264856,462490,446383,0,190519,469114,225552,324502,201274,406735,414296,351048,384798,298795
138903,140283,Hammer Stamp,178374.0,286377,0,669316,117220,650215,108258,264856,462490,624757,0,190519,469114,225552,324502,201274,406735,414296,351048,384798,298795
140953,141485,Auto,0.0,286377,0,669316,117220,650215,108258,264856,462490,624757,0,190519,469114,225552,324502,201274,406735,414296,351048,384798,298795
141403,142653,Hammer Brush,184811.0,286377,0,669316,117220,650215,108258,264856,647301,624757,0,190519,469114,225552,324502,201274,406735,414296,351048,384798,298795
143913,144445,Auto,0.0,286377,0,669316,117220,650215,108258,264856,647301,624757,0,190519,469114,225552,324502,201274,406735,414296,351048,384798,298795
143903,146003,Polishing Hammer,191248.0,286377,0,669316,117220,650215,108258,264856,647301,624757,0,190519,660362,225552,324502,201274,406735,414296,351048,384798,298795
146873,147405,Auto,0.0,286377,0,669316,117220,650215,108258,264856,647301,624757,0,190519,660362,225552,324502,201274,406735,414296,351048,384798,298795
146403,147643,Rainbow Drip,158252.0,286377,0,669316,117220,650215,108258,264856,647301,624757,0,190519,660362,225552,482754,201274,406735,414296,351048,384798,298795
151903,152435,Auto,0.0,286377,0,669316,117220,650215,108258,264856,647301,624757,0,190519,660362,225552,482754,201274,406735,414296,351048,384798,298795
