sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
34493,35025,Auto,90,1.0,520,1170,800,150,300,380,0,1000,600,880,0,440,300,1000,900,800,1000,460,340,600,1120
35000,35893,Keen Edge,300,1.0,520,1170,800,150,300,380,0,1000,600,880,0,440,600,1000,900,800,1000,460,340,600,1120
37293,37825,Auto,90,1.0,520,1260,800,150,300,380,0,1000,600,880,0,440,600,1000,900,800,1000,460,340,600,1120
37500,38574,Brutal Shell,380,1.0,520,1260,800,150,300,760,0,1000,600,880,0,440,600,1000,900,800,1000,460,340,600,1120
40093,40625,Auto,90,1.0,520,1350,800,150,300,760,0,1000,600,880,0,440,600,1000,900,800,1000,460,340,600,1120
40625,41250,Blasting Zone,800,1.0,520,1350,1600,150,300,760,0,1000,600,880,0,440,600,1000,900,800,1000,460,340,600,1120
40000,41653,Solid Barrel,460,1.0,520,1350,1600,150,300,760,0,1000,600,880,0,440,600,1000,900,800,1000,920,340,600,1120
42500,43393,Keen Edge,300,1.0,520,1350,1600,150,300,760,0,1000,600,880,0,440,900,1000,900,800,1000,920,340,600,1120
42893,43425,Auto,90,1.0,520,1440,1600,150,300,760,0,1000,600,880,0,440,900,1000,900,800,1000,920,340,600,1120
45000,46074,Brutal Shell,380,1.0,520,1440,1600,150,300,1140,0,1000,600,880,0,440,900,1000,900,800,1000,920,340,600,1120
45693,46225,Auto,90,1.0,520,1530,1600,150,300,1140,0,1000,600,880,0,440,900,1000,900,800,1000,920,340,600,1120
48493,49025,Auto,90,1.0,520,1620,1600,150,300,1140,0,1000,600,880,0,440,900,1000,900,800,1000,920,340,600,1120
47500,49153,Solid Barrel,460,1.0,520,1620,1600,150,300,1140,0,1000,600,880,0,440,900,1000,900,800,1000,1380,340,600,1120
50000,50893,Keen Edge,300,1.0,520,1620,1600,150,300,1140,0,1000,600,880,0,440,1200,1000,900,800,1000,1380,340,600,1120
51293,51825,Auto,90,1.0,520,1710,1600,150,300,1140,0,1000,600,880,0,440,1200,1000,900,800,1000,1380,340,600,1120
52500,53574,Brutal Shell,380,1.0,520,1710,1600,150,300,1520,0,1000,600,880,0,440,1200,1000,900,800,1000,1380,340,600,1120
54093,54625,Auto,90,1.0,520,1800,1600,150,300,1520,0,1000,600,880,0,440,1200,1000,900,800,1000,1380,340,600,1120
55000,56653,Solid Barrel,460,1.0,520,1800,1600,150,300,1520,0,1000,600,880,0,440,1200,1000,900,800,1000,1840,340,600,1120
56893,57425,Auto,90,1.0,520,1890,1600,150,300,1520,0,1000,600,880,0,440,1200,1000,900,800,1000,1840,340,600,1120
57500,58214,Burst Strike,420,1.0,520,1890,1600,150,300,1520,420,1000,600,880,0,440,1200,1000,900,800,1000,1840,340,600,1120
58125,58883,Hypervelocity,180,1.0,520,1890,1600,150,300,1520,420,1000,600,880,180,440,1200,1000,900,800,1000,1840,340,600,1120
59693,60225,Auto,90,1.0,520,1980,1600,150,300,1520,420,1000,600,880,180,440,1200,1000,900,800,1000,1840,340,600,1120
60000,60623,Gnashing Fang,440,1.0,520,1980,1600,150,300,1520,420,1000,600,1320,180,440,1200,1000,900,800,1000,1840,340,600,1120
60625,61427,Jugular Rip,220,1.0,520,1980,1600,150,300,1520,420,1000,600,1320,180,660,1200,1000,900,800,1000,1840,340,600,1120
62493,63025,Auto,90,1.0,520,2070,1600,150,300,1520,420,1000,600,1320,180,660,1200,1000,900,800,1000,1840,340,600,1120
62500,63125,Savage Claw,500,1.0,520,2070,1600,150,300,1520,420,1000,600,1320,180,660,1200,1000,900,800,1500,1840,340,600,1120
63750,64507,Abdomen Tear,260,1.0,780,2070,1600,150,300,1520,420,1000,600,1320,180,660,1200,1000,900,800,1500,1840,340,600,1120
65293,65825,Auto,90,1.0,780,2160,1600,150,300,1520,420,1000,600,1320,180,660,1200,1000,900,800,1500,1840,340,600,1120
65000,66162,Wicked Talon,560,1.0,780,2160,1600,150,300,1520,420,1000,600,1320,180,660,1200,1000,900,800,1500,1840,340,600,1680
66250,67231,Eye Gouge,300,1.0,780,2160,1600,150,300,1520,420,1000,900,1320,180,660,1200,1000,900,800,1500,1840,340,600,1680
67500,68123,Gnashing Fang,440,1.0,780,2160,1600,150,300,1520,420,1000,900,1760,180,660,1200,1000,900,800,1500,1840,340,600,1680
68093,68625,Auto,90,1.0,780,2250,1600,150,300,1520,420,1000,900,1760,180,660,1200,1000,900,800,1500,1840,340,600,1680
68125,68927,Jugular Rip,220,1.0,780,2250,1600,150,300,1520,420,1000,900,1760,180,880,1200,1000,900,800,1500,1840,340,600,1680
70000,70716,Double Down,1000,1.0,780,2250,1600,150,300,1520,420,2000,900,1760,180,880,1200,1000,900,800,1500,1840,340,600,1680
