sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
293287,293819,Auto,0.0,1269722,414789,0,120789,1200950,4118860,986451
292787,294077,Glare III,45834.0,1269722,414789,0,120789,1200950,4164694,986451
265096,295500,Dia (dot),14650.0,1269722,414789,0,120789,1215600,4164694,986451
294877,295547,Assize,52382.0,1269722,467171,0,120789,1215600,4164694,986451
294257,295547,Dia,11078.0,1269722,467171,0,131867,1215600,4164694,986451
294257,298500,Dia (dot),11356.0,1269722,467171,0,131867,1226956,4164694,986451
298147,298679,Auto,0.0,1269722,467171,0,131867,1226956,4164694,986451
297647,298937,Glare III,45834.0,1269722,467171,0,131867,1226956,4210528,986451
300077,301367,Glare III,45834.0,1269722,467171,0,131867,1226956,4256362,986451
294257,301500,Dia (dot),11356.0,1269722,467171,0,131867,1238312,4256362,986451
303007,303539,Auto,0.0,1269722,467171,0,131867,1238312,4256362,986451
302507,303797,Glare III,45834.0,1269722,467171,0,131867,1238312,4302196,986451
294257,304500,Dia (dot),11356.0,1269722,467171,0,131867,1249668,4302196,986451
304937,306227,Glare III,45834.0,1269722,467171,0,131867,1249668,4348030,986451
294257,307500,Dia (dot),11356.0,1269722,467171,0,131867,1261024,4348030,986451
307867,308399,Auto,0.0,1269722,467171,0,131867,1261024,4348030,986451
307367,308657,Glare III,45834.0,1269722,467171,0,131867,1261024,4393864,986451
294257,310500,Dia (dot),11356.0,1269722,467171,0,131867,1272380,4393864,986451
309797,311087,Glare III,45834.0,1269722,467171,0,131867,1272380,4439698,986451
312727,313259,Auto,0.0,1269722,467171,0,131867,1272380,4439698,986451
294257,313500,Dia (dot),11356.0,1269722,467171,0,131867,1283736,4439698,986451
312227,313517,Glare III,45834.0,1269722,467171,0,131867,1283736,4485532,986451
314657,315947,Glare III,45834.0,1269722,467171,0,131867,1283736,4531366,986451
294257,316500,Dia (dot),11356.0,1269722,467171,0,131867,1295092,4531366,986451
317587,318119,Auto,0.0,1269722,467171,0,131867,1295092,4531366,986451
317087,318377,Glare III,45834.0,1269722,467171,0,131867,1295092,4577200,986451
294257,319500,Dia (dot),11356.0,1269722,467171,0,131867,1306448,4577200,986451
319517,320807,Glare III,45834.0,1269722,467171,0,131867,1306448,4623034,986451
294257,322500,Dia (dot),11356.0,1269722,467171,0,131867,1317804,4623034,986451
322447,322979,Auto,0.0,1269722,467171,0,131867,1317804,4623034,986451
321947,323237,Glare III,45834.0,1269722,467171,0,131867,1317804,4668868,986451
323417,324707,Dia,11049.0,1269722,467171,0,142916,1317804,4668868,986451
323417,325500,Dia (dot),11326.0,1269722,467171,0,142916,1329130,4668868,986451
327307,327839,Auto,0.0,1269722,467171,0,142916,1329130,4668868,986451
326807,328097,Glare III,45713.0,1269722,467171,0,142916,1329130,4714581,986451
323417,328500,Dia (dot),11326.0,1269722,467171,0,142916,1340456,4714581,986451
329237,330527,Glare III,45713.0,1269722,467171,0,142916,1340456,4760294,986451
330747,331279,Auto,0.0,1269722,467171,0,142916,1340456,4760294,986451
323417,331500,Dia (dot),11326.0,1269722,467171,0,142916,1351782,4760294,986451
323417,334500,Dia (dot),11326.0,1269722,467171,0,142916,1363108,4760294,986451
334597,335129,Auto,0.0,1269722,467171,0,142916,1363108,4760294,986451
334097,335387,Glare III,45713.0,1269722,467171,0,142916,1363108,4806007,986451
334877,335547,Assize,52244.0,1269722,519415,0,142916,1363108,4806007,986451
323417,337500,Dia (dot),11326.0,1269722,519415,0,142916,1374434,4806007,986451
336527,337817,Glare III,45713.0,1269722,519415,0,142916,1374434,4851720,986451
339457,339989,Auto,0.0,1269722,519415,0,142916,1374434,4851720,986451
338957,340247,Glare III,45713.0,1269722,519415,0,142916,1374434,4897433,986451
323417,340500,Dia (dot),11326.0,1269722,519415,0,142916,1385760,4897433,986451
341388,342678,Glare III,45713.0,1269722,519415,0,142916,1385760,4943146,986451
323417,343500,Dia (dot),11326.0,1269722,519415,0,142916,1397086,4943146,986451
344318,344850,Auto,0.0,1269722,519415,0,142916,1397086,4943146,986451
343818,345108,Glare III,45713.0,1269722,519415,0,142916,1397086,4988859,986451
323417,346500,Dia (dot),11326.0,1269722,519415,0,142916,1408412,4988859,986451
346248,347538,Glare III,45713.0,1269722,519415,0,142916,1408412,5034572,986451
323417,349500,Dia (dot),11326.0,1269722,519415,0,142916,1419738,5034572,986451
349178,349710,Auto,0.0,1269722,519415,0,142916,1419738,5034572,986451
348678,349968,Glare III,45713.0,1269722,519415,0,142916,1419738,5080285,986451
323417,352500,Dia (dot),11326.0,1269722,519415,0,142916,1431064,5080285,986451
352618,353150,Auto,0.0,1269722,519415,0,142916,1431064,5080285,986451
355008,356298,Dia,11960.0,1269722,519415,0,154876,1431064,5080285,986451
356058,356590,Auto,0.0,1269722,519415,0,154876,1431064,5080285,986451
355008,358500,Dia (dot),12261.0,1269722,519415,0,154876,1443325,5080285,986451
358398,359688,Glare III,49481.0,1269722,519415,0,154876,1443325,5129766,986451
359498,360030,Auto,0.0,1269722,519415,0,154876,1443325,5129766,986451
355008,361500,Dia (dot),12261.0,1269722,519415,0,154876,1455586,5129766,986451
360828,362118,Glare III,49481.0,1269722,519415,0,154876,1455586,5179247,986451
363758,364290,Auto,0.0,1269722,519415,0,154876,1455586,5179247,986451
355008,364500,Dia (dot),12261.0,1269722,519415,0,154876,1467847,5179247,986451
363258,364548,Glare III,49638.0,1269722,519415,0,154876,1467847,5228885,986451
365688,366978,Glare III,49638.0,1269722,519415,0,154876,1467847,5278523,986451
355008,367500,Dia (dot),12261.0,1269722,519415,0,154876,1480108,5278523,986451
