sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Gekko,Gyofu,Higanbana,Higanbana (dot),Hissatsu: Gyoten,Hissatsu: Senei,Hissatsu: Shinten,Jinpu,Kaeshi: Namikiri,Kaeshi: Setsugekka,Kasha,Midare Setsugekka,Ogi Namikiri,Shifu,Shoha,Tendo Kaeshi Setsugekka,Tendo Setsugekka,Yukikaze,Zanshin
28442,29472,Tendo Setsugekka,190863.0,137846,170100,36463,30387,38430,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,234098,424961,92643,142842
28942,29474,Auto,10004.0,147850,170100,36463,30387,38430,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,234098,424961,92643,142842
29973,31003,Tendo Kaeshi Setsugekka,190863.0,147850,170100,36463,30387,38430,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,92643,142842
13652,31500,Higanbana (dot),7686.0,147850,170100,36463,30387,46116,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,92643,142842
31232,31764,Auto,10004.0,157854,170100,36463,30387,46116,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,92643,142842
32113,32963,Gyofu,27711.0,157854,170100,64174,30387,46116,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,92643,142842
33522,34054,Auto,9244.0,167098,170100,64174,30387,46116,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,92643,142842
13652,34500,Higanbana (dot),7686.0,167098,170100,64174,30387,53802,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,92643,142842
34253,35053,Yukikaze,39258.0,167098,170100,64174,30387,53802,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
35812,36344,Auto,9244.0,176342,170100,64174,30387,53802,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
36393,37243,Gyofu,27711.0,176342,170100,91885,30387,53802,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
13652,37500,Higanbana (dot),7686.0,176342,170100,91885,30387,61488,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
38102,38634,Auto,9244.0,185586,170100,91885,30387,61488,30380,121568,69852,0,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
38533,39153,Jinpu,34641.0,185586,170100,91885,30387,61488,30380,121568,69852,34641,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
13652,40500,Higanbana (dot),7686.0,185586,170100,91885,30387,69174,30380,121568,69852,34641,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
40392,40924,Auto,9244.0,194830,170100,91885,30387,69174,30380,121568,69852,34641,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
40673,41433,Gekko,48495.0,194830,218595,91885,30387,69174,30380,121568,69852,34641,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
42682,43214,Auto,9237.0,204067,218595,91885,30387,69174,30380,121568,69852,34641,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
13652,43500,Higanbana (dot),7686.0,204067,218595,91885,30387,76860,30380,121568,69852,34641,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
42813,43663,Gyofu,27692.0,204067,218595,119577,30387,76860,30380,121568,69852,34641,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
44972,45504,Auto,9237.0,213304,218595,119577,30387,76860,30380,121568,69852,34641,212819,0,116305,0,212819,0,97250,424961,424961,131901,142842
44954,45754,Shifu,34616.0,213304,218595,119577,30387,76860,30380,121568,69852,34641,212819,0,116305,0,212819,34616,97250,424961,424961,131901,142842
13652,46500,Higanbana (dot),7686.0,213304,218595,119577,30387,84546,30380,121568,69852,34641,212819,0,116305,0,212819,34616,97250,424961,424961,131901,142842
47094,47714,Kasha,48462.0,213304,218595,119577,30387,84546,30380,121568,69852,34641,212819,0,164767,0,212819,34616,97250,424961,424961,131901,142842
47262,47794,Auto,9237.0,222541,218595,119577,30387,84546,30380,121568,69852,34641,212819,0,164767,0,212819,34616,97250,424961,424961,131901,142842
13652,49500,Higanbana (dot),7686.0,222541,218595,119577,30387,92232,30380,121568,69852,34641,212819,0,164767,0,212819,34616,97250,424961,424961,131901,142842
50034,50654,Midare Setsugekka,108739.0,222541,218595,119577,30387,92232,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,131901,142842
50534,51066,Auto,9237.0,231778,218595,119577,30387,92232,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,131901,142842
51374,52224,Gyofu,27692.0,231778,218595,147269,30387,92232,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,131901,142842
