sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
27500,28123,Gnashing Fang,38385.0,33130,97099,101957,19111,38215,30619,0,127448,38231,94457,0,28034,23916,127448,114701,101957,63718,40128,43324,76450,71365
28125,28927,Jugular Rip,19191.0,33130,97099,101957,19111,38215,30619,0,127448,38231,94457,0,47225,23916,127448,114701,101957,63718,40128,43324,76450,71365
28893,29425,Auto,7303.0,33130,104402,101957,19111,38215,30619,0,127448,38231,94457,0,47225,23916,127448,114701,101957,63718,40128,43324,76450,71365
30000,30625,Savage Claw,43619.0,33130,104402,101957,19111,38215,30619,0,127448,38231,94457,0,47225,23916,127448,114701,101957,107337,40128,43324,76450,71365
30625,31382,Abdomen Tear,22680.0,55810,104402,101957,19111,38215,30619,0,127448,38231,94457,0,47225,23916,127448,114701,101957,107337,40128,43324,76450,71365
31693,32225,Auto,7303.0,55810,111705,101957,19111,38215,30619,0,127448,38231,94457,0,47225,23916,127448,114701,101957,107337,40128,43324,76450,71365
32500,33662,Wicked Talon,48854.0,55810,111705,101957,19111,38215,30619,0,127448,38231,94457,0,47225,23916,127448,114701,101957,107337,40128,43324,76450,120219
33125,34106,Eye Gouge,26172.0,55810,111705,101957,19111,38215,30619,0,127448,64403,94457,0,47225,23916,127448,114701,101957,107337,40128,43324,76450,120219
34493,35025,Auto,6746.0,55810,118451,101957,19111,38215,30619,0,127448,64403,94457,0,47225,23916,127448,114701,101957,107337,40128,43324,76450,120219
35000,35893,Keen Edge,24171.0,55810,118451,101957,19111,38215,30619,0,127448,64403,94457,0,47225,48087,127448,114701,101957,107337,40128,43324,76450,120219
37293,37825,Auto,6746.0,55810,125197,101957,19111,38215,30619,0,127448,64403,94457,0,47225,48087,127448,114701,101957,107337,40128,43324,76450,120219
37500,38574,Brutal Shell,30619.0,55810,125197,101957,19111,38215,61238,0,127448,64403,94457,0,47225,48087,127448,114701,101957,107337,40128,43324,76450,120219
40093,40625,Auto,6746.0,55810,131943,101957,19111,38215,61238,0,127448,64403,94457,0,47225,48087,127448,114701,101957,107337,40128,43324,76450,120219
40625,41250,Blasting Zone,64470.0,55810,131943,166427,19111,38215,61238,0,127448,64403,94457,0,47225,48087,127448,114701,101957,107337,40128,43324,76450,120219
40000,41653,Solid Barrel,37066.0,55810,131943,166427,19111,38215,61238,0,127448,64403,94457,0,47225,48087,127448,114701,101957,107337,77194,43324,76450,120219
42500,43393,Keen Edge,24171.0,55810,131943,166427,19111,38215,61238,0,127448,64403,94457,0,47225,72258,127448,114701,101957,107337,77194,43324,76450,120219
42893,43425,Auto,6741.0,55810,138684,166427,19111,38215,61238,0,127448,64403,94457,0,47225,72258,127448,114701,101957,107337,77194,43324,76450,120219
45000,46074,Brutal Shell,30597.0,55810,138684,166427,19111,38215,91835,0,127448,64403,94457,0,47225,72258,127448,114701,101957,107337,77194,43324,76450,120219
45693,46225,Auto,6741.0,55810,145425,166427,19111,38215,91835,0,127448,64403,94457,0,47225,72258,127448,114701,101957,107337,77194,43324,76450,120219
48493,49025,Auto,6741.0,55810,152166,166427,19111,38215,91835,0,127448,64403,94457,0,47225,72258,127448,114701,101957,107337,77194,43324,76450,120219
47500,49153,Solid Barrel,37040.0,55810,152166,166427,19111,38215,91835,0,127448,64403,94457,0,47225,72258,127448,114701,101957,107337,114234,43324,76450,120219
50000,50893,Keen Edge,24154.0,55810,152166,166427,19111,38215,91835,0,127448,64403,94457,0,47225,96412,127448,114701,101957,107337,114234,43324,76450,120219
51293,51825,Auto,6741.0,55810,158907,166427,19111,38215,91835,0,127448,64403,94457,0,47225,96412,127448,114701,101957,107337,114234,43324,76450,120219
52500,53574,Brutal Shell,30597.0,55810,158907,166427,19111,38215,122432,0,127448,64403,94457,0,47225,96412,127448,114701,101957,107337,114234,43324,76450,120219
54093,54625,Auto,6741.0,55810,165648,166427,19111,38215,122432,0,127448,64403,94457,0,47225,96412,127448,114701,101957,107337,114234,43324,76450,120219
55000,56653,Solid Barrel,37040.0,55810,165648,166427,19111,38215,122432,0,127448,64403,94457,0,47225,96412,127448,114701,101957,107337,151274,43324,76450,120219
56893,57425,Auto,6741.0,55810,172389,166427,19111,38215,122432,0,127448,64403,94457,0,47225,96412,127448,114701,101957,107337,151274,43324,76450,120219
57500,58214,Burst Strike,33820.0,55810,172389,166427,19111,38215,122432,33820,127448,64403,94457,0,47225,96412,127448,114701,101957,107337,151274,43324,76450,120219
58125,58883,Hypervelocity,14490.0,55810,172389,166427,19111,38215,122432,33820,127448,64403,94457,14490,47225,96412,127448,114701,101957,107337,151274,43324,76450,120219
59693,60225,Auto,6741.0,55810,179130,166427,19111,38215,122432,33820,127448,64403,94457,14490,47225,96412,127448,114701,101957,107337,151274,43324,76450,120219
60000,60623,Gnashing Fang,35427.0,55810,179130,166427,19111,38215,122432,33820,127448,64403,129884,14490,47225,96412,127448,114701,101957,107337,151274,43324,76450,120219
60625,61427,Jugular Rip,17713.0,55810,179130,166427,19111,38215,122432,33820,127448,64403,129884,14490,64938,96412,127448,114701,101957,107337,151274,43324,76450,120219
62493,63025,Auto,6741.0,55810,185871,166427,19111,38215,122432,33820,127448,64403,129884,14490,64938,96412,127448,114701,101957,107337,151274,43324,76450,120219
62500,63125,Savage Claw,40265.0,55810,185871,166427,19111,38215,122432,33820,127448,64403,129884,14490,64938,96412,127448,114701,101957,147602,151274,43324,76450,120219
63750,64507,Abdomen Tear,20933.0,76743,185871,166427,19111,38215,122432,33820,127448,64403,129884,14490,64938,96412,127448,114701,101957,147602,151274,43324,76450,120219
65293,65825,Auto,6741.0,76743,192612,166427,19111,38215,122432,33820,127448,64403,129884,14490,64938,96412,127448,114701,101957,147602,151274,43324,76450,120219
65000,66162,Wicked Talon,45094.0,76743,192612,166427,19111,38215,122432,33820,127448,64403,129884,14490,64938,96412,127448,114701,101957,147602,151274,43324,76450,165313
66250,67231,Eye Gouge,28986.0,76743,192612,166427,19111,38215,122432,33820,127448,93389,129884,14490,64938,96412,127448,114701,101957,147602,151274,43324,76450,165313
67500,68123,Gnashing Fang,42513.0,76743,192612,166427,19111,38215,122432,33820,127448,93389,172397,14490,64938,96412,127448,114701,101957,147602,151274,43324,76450,165313
68093,68625,Auto,8089.0,76743,200701,166427,19111,38215,122432,33820,127448,93389,172397,14490,64938,96412,127448,114701,101957,147602,151274,43324,76450,165313
68125,68927,Jugular Rip,21255.0,76743,200701,166427,19111,38215,122432,33820,127448,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,43324,76450,165313
70000,70716,Double Down,96639.0,76743,200701,166427,19111,38215,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,43324,76450,165313
70625,71252,Bow Shock,14490.0,76743,200701,166427,33601,38215,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,43324,76450,165313
70893,71425,Auto,8089.0,76743,208790,166427,33601,38215,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,43324,76450,165313
71250,71875,Blasting Zone,77310.0,76743,208790,243737,33601,38215,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,43324,76450,165313
72500,73081,Sonic Break,32850.0,76743,208790,243737,33601,38215,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,76174,76450,165313
70625,73500,Bow Shock (dot),5793.0,76743,208790,243737,33601,44008,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,76174,76450,165313
72500,73500,Sonic Break (dot),11592.0,76743,208790,243737,33601,44008,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,76174,88042,165313
73693,74225,Auto,8089.0,76743,216879,243737,33601,44008,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,147602,151274,76174,88042,165313
75000,75625,Savage Claw,48319.0,76743,216879,243737,33601,44008,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,88042,165313
75625,76382,Abdomen Tear,25120.0,101863,216879,243737,33601,44008,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,88042,165313
70625,76500,Bow Shock (dot),5793.0,101863,216879,243737,33601,49801,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,88042,165313
72500,76500,Sonic Break (dot),11592.0,101863,216879,243737,33601,49801,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,99634,165313
76493,77025,Auto,8089.0,101863,224968,243737,33601,49801,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,99634,165313
77500,78662,Wicked Talon,54114.0,101863,224968,243737,33601,49801,122432,33820,224087,93389,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,99634,219427
78125,79106,Eye Gouge,28986.0,101863,224968,243737,33601,49801,122432,33820,224087,122375,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,99634,219427
70625,79500,Bow Shock (dot),5793.0,101863,224968,243737,33601,55594,122432,33820,224087,122375,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,99634,219427
72500,79500,Sonic Break (dot),11592.0,101863,224968,243737,33601,55594,122432,33820,224087,122375,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,111226,219427
79293,79825,Auto,8089.0,101863,233057,243737,33601,55594,122432,33820,224087,122375,172397,14490,86193,96412,127448,114701,101957,195921,151274,76174,111226,219427
80000,81160,Reign of Beasts,77310.0,101863,233057,243737,33601,55594,122432,33820,224087,122375,172397,14490,86193,96412,127448,114701,179267,195921,151274,76174,111226,219427
72500,82500,Sonic Break (dot),11592.0,101863,233057,243737,33601,55594,122432,33820,224087,122375,172397,14490,86193,96412,127448,114701,179267,195921,151274,76174,122818,219427
70625,82500,Bow Shock (dot),5793.0,101863,233057,243737,33601,61387,122432,33820,224087,122375,172397,14490,86193,96412,127448,114701,179267,195921,151274,76174,122818,219427
82093,82625,Auto,8067.0,101863,241124,243737,33601,61387,122432,33820,224087,122375,172397,14490,86193,96412,127448,114701,179267,195921,151274,76174,122818,219427
82500,84150,Noble Blood,86732.0,101863,241124,243737,33601,61387,122432,33820,224087,122375,172397,14490,86193,96412,127448,201433,179267,195921,151274,76174,122818,219427
84893,85425,Auto,8067.0,101863,249191,243737,33601,61387,122432,33820,224087,122375,172397,14490,86193,96412,127448,201433,179267,195921,151274,76174,122818,219427
72500,85500,Sonic Break (dot),11592.0,101863,249191,243737,33601,61387,122432,33820,224087,122375,172397,14490,86193,96412,127448,201433,179267,195921,151274,76174,134410,219427
70625,85500,Bow Shock (dot),5793.0,101863,249191,243737,33601,67180,122432,33820,224087,122375,172397,14490,86193,96412,127448,201433,179267,195921,151274,76174,134410,219427
85000,86790,Lion Heart,96372.0,101863,249191,243737,33601,67180,122432,33820,224087,122375,172397,14490,86193,96412,223820,201433,179267,195921,151274,76174,134410,219427
87693,88225,Auto,6723.0,101863,255914,243737,33601,67180,122432,33820,224087,122375,172397,14490,86193,96412,223820,201433,179267,195921,151274,76174,134410,219427
87500,88393,Keen Edge,24088.0,101863,255914,243737,33601,67180,122432,33820,224087,122375,172397,14490,86193,120500,223820,201433,179267,195921,151274,76174,134410,219427
90493,91025,Auto,6723.0,101863,262637,243737,33601,67180,122432,33820,224087,122375,172397,14490,86193,120500,223820,201433,179267,195921,151274,76174,134410,219427
90000,91074,Brutal Shell,30513.0,101863,262637,243737,33601,67180,152945,33820,224087,122375,172397,14490,86193,120500,223820,201433,179267,195921,151274,76174,134410,219427
93293,93825,Auto,6723.0,101863,269360,243737,33601,67180,152945,33820,224087,122375,172397,14490,86193,120500,223820,201433,179267,195921,151274,76174,134410,219427
92500,94153,Solid Barrel,36938.0,101863,269360,243737,33601,67180,152945,33820,224087,122375,172397,14490,86193,120500,223820,201433,179267,195921,188212,76174,134410,219427
