sim_name,hits,sim_expected_average,sim_pps,sim_expected_dps,sim_expected_dps_std,sim_potency_total,sim_expected_total,sim_std_total
all,869,24033.112,307.042,27578.304,369.384,232520,20884774,279731
Auto,338,5912.754,40.17,2639.03,37.587,30420,1998511,28464
Sepulchre,34,46735.147,24.244,2098.265,94.072,18360,1588995,71240
Holy Spirit,35,44070.114,22.977,2036.808,90.153,17400,1542454,68272
Supplication,34,43013.647,22.448,1931.181,86.66,17000,1462464,65627
Blade of Honor,13,104601.231,17.166,1795.634,130.374,13000,1359816,98731
Blade of Valor,13,104601.231,17.166,1795.634,130.374,13000,1359816,98731
Confiteor,13,104601.231,17.166,1795.634,130.374,13000,1359816,98731
Royal Authority,34,38830.735,20.653,1743.381,77.826,15640,1320245,58937
Atonement,34,38307.676,20.653,1719.897,76.603,15640,1302461,58011
Blade of Truth,13,92047.769,15.106,1580.136,114.728,11440,1196621,86882
Expiacion,25,41709.08,14.856,1376.919,72.35,11250,1042727,54790
Blade of Faith,13,79497.923,13.047,1364.699,99.085,9880,1033473,75036
Goring Blade,13,73219.308,12.017,1256.917,91.261,9100,951851,69111
Riot Blade,34,26454.235,14.816,1187.714,52.527,11220,899444,39778
Imperator,13,60666.077,9.957,1041.423,75.613,7540,788659,57261
Fast Blade,34,17590.5,9.877,789.76,34.923,7480,598077,26447
Intervene,26,15686.154,5.15,538.552,27.649,3900,407840,20938
Circle of Scorn (dot),125,2778.2,4.952,458.576,10.771,3750,347275,8157
Circle of Scorn,25,12969.16,4.622,428.144,22.495,3500,324229,17035
